"Poll","Date","Sample","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Yang","Steyer","Gabbard","Spread"
"RCP Average","2/4 - 2/11","--",23.6,19.2,14.2,12.4,10.6,4.6,3,1.8,1.6,"Sanders +4.4"
"Economist/YouGovEconomist","2/9 - 2/11","552 LV",22,18,12,15,10,7,2,1,4,"Sanders +4"
"The Hill/HarrisXThe Hill","2/7 - 2/10","913 RV",20,23,16,9,9,3,3,3,1,"Biden +3"
"MonmouthMonmouth","2/6 - 2/9","357 RV",26,16,11,13,13,6,4,1,1,"Sanders +10"
"QuinnipiacQuinnipiac","2/5 - 2/9","665 RV",25,17,15,14,10,4,2,1,1,"Sanders +8"
"Morning ConsultM. Consult","2/4 - 2/9","15346 RV",25,22,17,11,11,3,4,3,1,"Sanders +3"
"Economist/YouGovEconomist","2/2 - 2/4","616 RV",19,24,9,18,9,6,3,2,3,"Biden +5"
"Morning ConsultM. Consult","1/27 - 2/2","15259 RV",24,28,14,14,6,3,4,3,2,"Biden +4"
"Harvard-HarrisHarris","1/27 - 1/29","980 RV",20,31,13,12,6,3,3,2,1,"Biden +11"
"NBC News/Wall St. JrnlNBC/WSJ","1/26 - 1/29","428 LV",27,26,9,15,7,5,4,2,2,"Sanders +1"
"Economist/YouGovEconomist","1/26 - 1/28","591 RV",24,26,4,20,7,4,4,1,3,"Biden +2"
"IBD/TIPPIBD/TIPP","1/23 - 1/30","336 RV",19,26,8,13,7,3,4,2,1,"Biden +7"
"QuinnipiacQuinnipiac","1/22 - 1/27","827 RV",21,26,8,15,6,7,3,2,1,"Biden +5"
"Morning ConsultM. Consult","1/20 - 1/26","17836 RV",23,29,12,14,7,3,5,3,1,"Biden +6"
"EmersonEmerson","1/21 - 1/23","497 LV",27,30,7,13,6,4,8,1,1,"Biden +3"
"LA Times/USCLA Times","1/15 - 1/28","2227 LV",18,34,9,16,9,3,2,2,1,"Biden +16"
"ABC News/Wash PostABC/WP","1/20 - 1/23","LV",22,34,7,14,4,4,6,1,0,"Biden +12"
"The Hill/HarrisXThe Hill","1/20 - 1/22","878 RV",17,29,11,9,5,2,4,4,2,"Biden +12"
"FOX NewsFOX News","1/19 - 1/22","495 LV",23,26,10,14,7,3,5,3,0,"Biden +3"
"Economist/YouGovEconomist","1/19 - 1/21","470 LV",18,28,6,21,8,4,3,2,3,"Biden +7"
"MonmouthMonmouth","1/16 - 1/20","372 RV",23,30,9,14,6,5,3,1,1,"Biden +7"
"CNNCNN","1/16 - 1/19","500 RV",27,24,5,14,11,4,4,2,0,"Sanders +3"
"Morning ConsultM. Consult","1/15 - 1/19","12402 LV",24,29,10,15,8,3,4,3,2,"Biden +5"
"SurveyUSASUSA","1/14 - 1/16","1086 LV",21,32,9,14,9,2,4,3,2,"Biden +11"
"The Hill/HarrisXThe Hill","1/13 - 1/14","451 RV",19,29,7,11,4,3,2,3,1,"Biden +10"
"Economist/YouGovEconomist","1/11 - 1/14","521 RV",20,27,5,19,7,3,3,1,2,"Biden +7"
"QuinnipiacQuinnipiac","1/8 - 1/12","651 RV",19,25,6,16,8,4,5,1,1,"Biden +6"
"Politico/Morning ConsultPolitico","1/6 - 1/12","17096 RV",23,29,8,14,8,3,5,4,2,"Biden +6"
"IBD/TIPPIBD/TIPP","1/3 - 1/11","333 RV",15,26,7,20,9,3,3,2,1,"Biden +6"
"Economist/YouGovEconomist","1/5 - 1/7","574 RV",20,27,3,22,7,3,3,2,3,"Biden +5"
"Morning ConsultM. Consult","12/30 - 1/5","17213 RV",23,31,7,14,8,3,4,4,2,"Biden +8"
"Harvard-HarrisHarris","12/27 - 12/29","756 RV",17,30,7,12,7,2,3,2,1,"Biden +13"
"Economist/YouGovEconomist","12/28 - 12/31","548 RV",19,29,3,18,8,4,3,2,3,"Biden +10"
"The Hill/HarrisXThe Hill","12/27 - 12/28","431 RV",16,28,11,11,6,2,2,2,2,"Biden +12"
"Politico/Morning ConsultPolitico","12/23 - 12/29","17787 RV",21,32,6,14,8,3,4,3,1,"Biden +11"
