Poll,Date,Sample,Biden,Biden 2nd,Sanders,Sanders 2nd,Warren,Warren 2nd,Bloomberg,Bloomberg 2nd,Buttigieg,Buttigieg 2nd,Klobuchar,Klobuchar 2nd,Yang,Yang 2nd,Steyer,Steyer 2nd,Gabbard,Gabbard 2nd,Patrick,Patrick 2nd,Bennet,Bennet 2nd,Spread
RCP Average,1/15 - 1/29,--,28.5,,23.3,,15.5,,8.2,,7,,4.3,,4.3,,1.8,,1.5,,0.4,,0.4,,Biden +5.2
NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,428 LV,26,20,27,15,15,24,9,9,7,8,5,8,4,6,2,1,2,2,1,-,0,1,Sanders +1
Economist/YouGovEconomist,1/26 - 1/28,591 RV,26,9,24,11,20,12,4,3,7,5,4,6,4,4,1,2,3,1,1,0,0,1,Biden +2
QuinnipiacQuinnipiac,1/22 - 1/27,827 RV,26,15,21,18,15,17,8,9,6,5,7,6,3,2,2,1,1,1,0,-,0,-,Biden +5
Morning ConsultM. Consult,1/20 - 1/26,17836 RV,29,,23,,14,,12,,7,,3,,5,,3,,1,,0,,1,,Biden +6
EmersonEmerson,1/21 - 1/23,497 LV,30,,27,,13,,7,,6,,4,,8,,1,,1,,0,,1,,Biden +3
LA Times/USCLA Times,1/15 - 1/28,2227 LV,34,,18,,16,,9,,9,,3,,2,,2,,1,,--,,--,,Biden +16
ABC News/Wash PostABC/WP,1/20 - 1/23,LV,34,18,22,18,14,27,7,8,4,6,4,6,6,6,1,3,0,1,1,0,2,2,Biden +12
The Hill/HarrisXThe Hill,1/20 - 1/22,878 RV,29,,17,,9,,11,,5,,2,,4,,4,,2,,1,,--,,Biden +12
FOX NewsFOX News,1/19 - 1/22,495 LV,26,,23,,14,,10,,7,,3,,5,,3,,0,,1,,0,,Biden +3
Economist/YouGovEconomist,1/19 - 1/21,470 LV,28,,18,,21,,6,,8,,4,,3,,2,,3,,0,,0,,Biden +7
MonmouthMonmouth,1/16 - 1/20,372 RV,30,,23,,14,,9,,6,,5,,3,,1,,1,,0,,1,,Biden +7
CNNCNN,1/16 - 1/19,500 RV,24,,27,,14,,5,,11,,4,,4,,2,,0,,0,,0,,Sanders +3
Morning ConsultM. Consult,1/15 - 1/19,12402 LV,29,,24,,15,,10,,8,,3,,4,,3,,2,,0,,1,,Biden +5
SurveyUSASUSA,1/14 - 1/16,1086 LV,32,,21,,14,,9,,9,,2,,4,,3,,2,,--,,--,,Biden +11
The Hill/HarrisXThe Hill,1/13 - 1/14,451 RV,29,,19,,11,,7,,4,,3,,2,,3,,1,,0,,2,,Biden +10
Economist/YouGovEconomist,1/11 - 1/14,521 RV,27,,20,,19,,5,,7,,3,,3,,1,,2,,0,,0,,Biden +7
QuinnipiacQuinnipiac,1/8 - 1/12,651 RV,25,,19,,16,,6,,8,,4,,5,,1,,1,,1,,1,,Biden +6
