"Poll","Date","Sample","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Steyer","Gabbard","Spread"
"RCP Average","2/13 - 2/18","--",28.7,17.3,15.2,12.7,10,6.7,2.2,"1.6","Sanders +11.4"
"ABC News/Wash Post","2/14 - 2/17","408 RV",32,16,14,12,8,7,2,"1","Sanders +16"
"Emerson","2/16 - 2/18","573 LV",29,22,14,12,8,6,3,"4","Sanders +7"
"Economist/YouGov","2/16 - 2/18","555 LV",24,18,12,16,11,7,2,"2","Sanders +6"
"NBC News/Wall St. Jrnl","2/14 - 2/17","426 LV",27,15,14,14,13,7,2,"1","Sanders +12"
"SurveyUSA","2/13 - 2/17","1022 LV",29,18,18,10,12,4,2,"--","Sanders +11"
"NPR/PBS/Marist","2/13 - 2/16","527 RV",31,15,19,12,8,9,2,"0","Sanders +12"
"The Hill/HarrisX","2/14 - 2/15","449 RV",22,19,18,12,10,5,3,"0","Sanders +3"
"Morning Consult","2/12 - 2/17","15974 RV",28,19,20,10,12,6,3,"2","Sanders +8"
"Economist/YouGov","2/9 - 2/11","552 LV",22,18,12,15,10,7,1,"4","Sanders +4"
"The Hill/HarrisX","2/7 - 2/10","913 RV",20,23,16,9,9,3,3,"1","Biden +3"
"Monmouth","2/6 - 2/9","357 RV",26,16,11,13,13,6,1,"1","Sanders +10"
"Quinnipiac","2/5 - 2/9","665 RV",25,17,15,14,10,4,1,"1","Sanders +8"
"Politico/Morning Consult","2/4 - 2/9","15346 RV",25,22,17,11,11,3,3,"1","Sanders +3"
"Economist/YouGov","2/2 - 2/4","616 RV",19,24,9,18,9,6,2,"3","Biden +5"
"Politico/Morning Consult","1/27 - 2/2","15259 RV",24,28,14,14,6,3,3,"2","Biden +4"
"Harvard-Harris","1/27 - 1/29","980 RV",20,31,13,12,6,3,2,"1","Biden +11"
"NBC News/Wall St. Jrnl","1/26 - 1/29","428 LV",27,26,9,15,7,5,2,"2","Sanders +1"
"Economist/YouGov","1/26 - 1/28","591 RV",24,26,4,20,7,4,1,"3","Biden +2"
"IBD/TIPP","1/23 - 1/30","336 RV",19,26,8,13,7,3,2,"1","Biden +7"
"Quinnipiac","1/22 - 1/27","827 RV",21,26,8,15,6,7,2,"1","Biden +5"
"Politico/Morning Consult","1/20 - 1/26","17836 RV",23,29,12,14,7,3,3,"1","Biden +6"
"Emerson","1/21 - 1/23","497 LV",27,30,7,13,6,4,1,"1","Biden +3"
"LA Times/USC","1/15 - 1/28","2227 LV",18,34,9,16,9,3,2,"1","Biden +16"
"ABC News/Wash Post","1/20 - 1/23","LV",22,34,7,14,4,4,1,"0","Biden +12"
"The Hill/HarrisX","1/20 - 1/22","878 RV",17,29,11,9,5,2,4,"2","Biden +12"
"FOX News","1/19 - 1/22","495 LV",23,26,10,14,7,3,3,"0","Biden +3"
"Economist/YouGov","1/19 - 1/21","470 LV",18,28,6,21,8,4,2,"3","Biden +7"
"Monmouth","1/16 - 1/20","372 RV",23,30,9,14,6,5,1,"1","Biden +7"
"CNN","1/16 - 1/19","500 RV",27,24,5,14,11,4,2,"0","Sanders +3"
"Politico/Morning Consult","1/15 - 1/19","12402 LV",24,29,10,15,8,3,3,"2","Biden +5"
"SurveyUSA","1/14 - 1/16","1086 LV",21,32,9,14,9,2,3,"2","Biden +11"
"The Hill/HarrisX","1/13 - 1/14","451 RV",19,29,7,11,4,3,3,"1","Biden +10"
"Economist/YouGov","1/11 - 1/14","521 RV",20,27,5,19,7,3,1,"2","Biden +7"
"Quinnipiac","1/8 - 1/12","651 RV",19,25,6,16,8,4,1,"1","Biden +6"
"Politico/Morning Consult","1/6 - 1/12","17096 RV",23,29,8,14,8,3,4,"2","Biden +6"
"IBD/TIPP","1/3 - 1/11","333 RV",15,26,7,20,9,3,2,"1","Biden +6"
"Economist/YouGov","1/5 - 1/7","574 RV",20,27,3,22,7,3,2,"3","Biden +5"
"Politico/Morning Consult","12/30 - 1/5","17213 RV",23,31,7,14,8,3,4,"2","Biden +8"
"Harvard-Harris","12/27 - 12/29","756 RV",17,30,7,12,7,2,2,"1","Biden +13"
"Economist/YouGov","12/28 - 12/31","548 RV",19,29,3,18,8,4,2,"3","Biden +10"
"The Hill/HarrisX","12/27 - 12/28","431 RV",16,28,11,11,6,2,2,"2","Biden +12"
"Politico/Morning Consult","12/23 - 12/29","17787 RV",21,32,6,14,8,3,3,"1","Biden +11"
"Economist/YouGov","12/22 - 12/24","586 LV",17,30,4,19,7,5,1,"2","Biden +11"
"Politico/Morning Consult","12/20 - 12/22","7178 RV",21,31,6,15,9,3,3,"2","Biden +10"
"Emerson","12/15 - 12/17","525 RV",25,32,3,12,8,2,2,"4","Biden +7"
"NBC News/Wall St. Jrnl","12/14 - 12/17","410 LV",21,28,4,18,9,5,1,"2","Biden +7"
"Economist/YouGov","12/14 - 12/17","555 LV",19,29,4,17,7,4,2,"3","Biden +10"
"CNN","12/12 - 12/15","408 RV",20,26,5,16,8,3,1,"1","Biden +6"
