"Poll","Date","Sample","MoE","Biden (D)","Trump (R)","Spread","id"
"ABC News/Wash Post","1/20 - 1/23","880 RV","4.0",50,46,"Biden +4",9153
"ABC News/Wash Post","10/27 - 10/30","876 RV","4.0",56,39,"Biden +17",1635
"ABC News/Wash Post","2/14 - 2/17","913 RV","4.0",52,45,"Biden +7",7058
"ABC News/Wash Post","6/28 - 7/1","875 RV","4.0",53,43,"Biden +10",4170
"ABC News/Wash Post","9/2 - 9/5","877 RV","4.0",55,40,"Biden +15",4202
"CNN","1/14 - 1/18","918 RV","3.8",57,40,"Biden +17",7625
"CNN","1/16 - 1/19","1051 RV","3.6",53,44,"Biden +9",3254
"CNN","10/17 - 10/20","892 RV","4.0",53,43,"Biden +10",8723
"CNN","12/12 - 12/15","888 RV","4.0",49,44,"Biden +5",8602
"CNN","4/25 - 4/29","470 RV","5.5",51,45,"Biden +6",2538
"Emerson","1/21 - 1/23","1128 RV","2.8",50,50,"Tie",6245
"Emerson","10/12 - 10/14","820 RV","3.4",51,42,"Biden +9",9315
"Emerson","10/18 - 10/21","1000 RV","3.0",51,49,"Biden +2",5404
"Emerson","11/17 - 11/20","1092 RV","2.9",49,51,"Trump +2",3115
"Emerson","12/15 - 12/17","1222 RV","2.7",52,48,"Biden +4",1075
"Emerson","2/14 - 2/16","1000 RV","3.3",55,45,"Biden +10",2402
"Emerson","2/16 - 2/18","1250 RV","2.7",48,52,"Trump +4",8571
"Emerson","3/17 - 3/18","1153 RV","2.8",55,45,"Biden +10",4674
"Emerson","4/11 - 4/14","914 RV","3.2",53,47,"Biden +6",1436
"Emerson","5/10 - 5/13","1006 RV","3.0",54,46,"Biden +8",1047
"Emerson","6/21 - 6/24","1096 RV","2.9",55,45,"Biden +10",8593
"Emerson","7/27 - 7/29","1233 RV","2.7",51,49,"Biden +2",5407
"Emerson","7/6 - 7/8","1100 RV","2.9",53,47,"Biden +6",7478
"Emerson","8/24 - 8/26","1458 RV","2.5",54,46,"Biden +8",3763
"Emerson","9/21 - 9/23","1019 RV","3.0",50,49,"Biden +1",4943
"FOX News","1/19 - 1/22","1005 RV","3.0",50,41,"Biden +9",2150
"FOX News","10/27 - 10/30","1040 RV","3.0",51,39,"Biden +12",8399
"FOX News","10/6 - 10/8","1003 RV","3.0",50,40,"Biden +10",1208
"FOX News","12/8 - 12/11","1000 RV","3.0",48,41,"Biden +7",6425
"FOX News","3/17 - 3/20","1002 RV","3.0",47,40,"Biden +7",4327
"FOX News","5/11 - 5/14","1001 RV","3.0",49,38,"Biden +11",2749
"FOX News","6/9 - 6/12","1001 RV","3.0",49,39,"Biden +10",2867
"FOX News","7/21 - 7/23","1004 RV","3.0",49,39,"Biden +10",9977
"FOX News","8/11 - 8/13","1013 RV","3.0",50,38,"Biden +12",7403
"FOX News","9/15 - 9/17","1008 RV","3.0",52,38,"Biden +14",2524
"IBD/TIPP","1/23 - 1/30","856 RV","3.3",49,48,"Biden +1",5586
"IBD/TIPP","1/3 - 1/11","846 RV","3.3",48,46,"Biden +2",7393
"IBD/TIPP","10/24 - 10/31","863 RV","3.5",53,43,"Biden +10",4802
"IBD/TIPP","12/5 - 12/14","849 RV","3.5",50,45,"Biden +5",9872
"IBD/TIPP","7/25 - 8/1","856 RV","3.5",54,41,"Biden +13",9355
"IBD/TIPP","8/22 - 8/30","848 RV","3.5",54,42,"Biden +12",9636
"IBD/TIPP","9/26 - 10/3","863 RV","3.5",51,44,"Biden +7",7372
"LA Times/USC","1/15 - 1/28","4869 RV","2.0",49,40,"Biden +9",9371
"NBC News/Wall St. Jrnl","1/26 - 1/29","1000 RV","3.1",50,44,"Biden +6",6317
"NBC News/Wall St. Jrnl","10/27 - 10/30","720 RV","3.7",50,41,"Biden +9",5409
"NBC News/Wall St. Jrnl","2/14 - 2/17","900 RV","3.3",52,44,"Biden +8",1762
"NBC News/Wall St. Jrnl","7/7 - 7/9","800 RV","3.5",51,42,"Biden +9",9777
"NPR/PBS/Marist","2/13 - 2/16","1164 RV","3.7",50,44,"Biden +6",3840
"Politico/Morning Consult","4/19 - 4/21","1992 RV","2.0",42,34,"Biden +8",7256
"PPP (D)","1/19 - 1/21","760 RV","3.6",53,41,"Biden +12",5396
"PPP (D)","10/27 - 10/29","572 RV","4.1",56,38,"Biden +18",8505
"PPP (D)","12/11 - 12/12","862 RV","3.3",54,40,"Biden +14",3367
"PPP (D)","2/9 - 2/11","687 RV","3.7",51,42,"Biden +9",5629
"PPP (D)","3/23 - 3/25","846 RV","3.4",56,39,"Biden +17",9002
"PPP (D)","3/27 - 3/28","846 RV","3.4",53,40,"Biden +13",1855
"PPP (D)","3/27 - 3/28","677 RV","3.8",54,40,"Biden +14",1855
"PPP (D)","4/17 - 4/18","648 RV","3.9",54,40,"Biden +14",6020
