"Poll","Date","Sample","MoE","Bloomberg (D)","Trump (R)","Spread","id"
"ABC News/Wash Post","1/20 - 1/23","880 RV","4.0",49,46,"Bloomberg +3",9153
"ABC News/Wash Post","2/14 - 2/17","913 RV","4.0",50,45,"Bloomberg +5",7058
"CNN","1/16 - 1/19","1051 RV","3.6",52,43,"Bloomberg +9",3254
"Emerson","2/16 - 2/18","1250 RV","2.7",49,51,"Trump +2",8571
"FOX News","1/19 - 1/22","1005 RV","3.0",49,41,"Bloomberg +8",2150
"FOX News","12/8 - 12/11","1000 RV","3.0",45,40,"Bloomberg +5",6425
"IBD/TIPP","1/23 - 1/30","856 RV","3.3",48,47,"Bloomberg +1",5586
"IBD/TIPP","1/3 - 1/11","846 RV","3.3",47,45,"Bloomberg +2",7393
"IBD/TIPP","12/5 - 12/14","849 RV","3.5",46,47,"Trump +1",9872
"NBC News/Wall St. Jrnl","2/14 - 2/17","900 RV","3.3",50,43,"Bloomberg +7",1762
"NPR/PBS/Marist","2/13 - 2/16","1164 RV","3.7",48,44,"Bloomberg +4",3840
"Quinnipiac","12/4 - 12/9","1553 RV","2.5",48,42,"Bloomberg +6",4652
"Quinnipiac","2/5 - 2/9","1519 RV","2.5",51,42,"Bloomberg +9",1358
"RCP Average","2/5 - 2/18","--","--",49.6,45,"Bloomberg +4.6",5599
"SurveyUSA","11/20 - 11/21","3850 RV","1.7",46,40,"Bloomberg +6",9533
"USA Today/Suffolk","12/10 - 12/14","1000 RV","3.0",34,43,"Trump +9",7677
