"Poll","Date","Sample","MoE","Buttigieg (D)","Trump (R)","Spread","id"
"ABC News/Wash Post","1/20 - 1/23","880 RV","4.0",45,48,"Trump +3",9153
"ABC News/Wash Post","10/27 - 10/30","876 RV","4.0",52,41,"Buttigieg +11",1635
"ABC News/Wash Post","2/14 - 2/17","913 RV","4.0",49,46,"Buttigieg +3",7058
"ABC News/Wash Post","6/28 - 7/1","875 RV","4.0",47,47,"Tie",4170
"ABC News/Wash Post","9/2 - 9/5","877 RV","4.0",47,43,"Buttigieg +4",4202
"CNN","1/16 - 1/19","1051 RV","3.6",49,45,"Buttigieg +4",3254
"CNN","10/17 - 10/20","892 RV","4.0",50,44,"Buttigieg +6",8723
"CNN","12/12 - 12/15","888 RV","4.0",45,46,"Trump +1",8602
"CNN","4/25 - 4/29","439 RV","5.7",47,44,"Buttigieg +3",2538
"Emerson","1/21 - 1/23","1128 RV","2.8",49,51,"Trump +2",6245
"Emerson","11/17 - 11/20","1092 RV","2.9",48,52,"Trump +4",3115
"Emerson","12/15 - 12/17","1222 RV","2.7",50,50,"Tie",1075
"Emerson","2/16 - 2/18","1250 RV","2.7",49,51,"Trump +2",8571
"Emerson","4/11 - 4/14","914 RV","3.2",49,51,"Trump +2",1436
"Emerson","5/10 - 5/13","1006 RV","3.0",50,50,"Tie",1047
"Emerson","6/21 - 6/24","1096 RV","2.9",52,48,"Buttigieg +4",8593
"Emerson","7/27 - 7/29","1233 RV","2.7",48,52,"Trump +4",5407
"Emerson","7/6 - 7/8","1100 RV","2.9",49,51,"Trump +2",7478
"Emerson","8/24 - 8/26","1458 RV","2.5",49,51,"Trump +2",3763
"FOX News","1/19 - 1/22","1005 RV","3.0",45,41,"Buttigieg +4",2150
"FOX News","10/27 - 10/30","1040 RV","3.0",41,41,"Tie",8399
"FOX News","12/8 - 12/11","1000 RV","3.0",43,42,"Buttigieg +1",6425
"FOX News","5/11 - 5/14","1001 RV","3.0",40,41,"Trump +1",2749
"FOX News","6/9 - 6/12","1001 RV","3.0",41,40,"Buttigieg +1",2867
"IBD/TIPP","1/23 - 1/30","856 RV","3.3",45,48,"Trump +3",5586
"IBD/TIPP","1/3 - 1/11","846 RV","3.3",47,46,"Buttigieg +1",7393
"IBD/TIPP","12/5 - 12/14","849 RV","3.5",44,46,"Trump +2",9872
"LA Times/USC","1/15 - 1/28","4869 RV","2.0",43,40,"Buttigieg +3",9371
"NBC News/Wall St. Jrnl","1/26 - 1/29","1000 RV","3.1",46,45,"Buttigieg +1",6317
"NBC News/Wall St. Jrnl","2/14 - 2/17","900 RV","3.3",48,44,"Buttigieg +4",1762
"NPR/PBS/Marist","2/13 - 2/16","1164 RV","3.7",47,45,"Buttigieg +2",3840
"PPP (D)","3/27 - 3/28","846 RV","3.4",45,41,"Buttigieg +4",1855
"Quinnipiac","12/4 - 12/9","1553 RV","2.5",48,43,"Buttigieg +5",4652
"Quinnipiac","2/5 - 2/9","1519 RV","2.5",47,43,"Buttigieg +4",1358
"Quinnipiac","6/6 - 6/10","1214 RV","3.5",47,42,"Buttigieg +5",9859
"Quinnipiac","8/21 - 8/26","1422 RV","4.6",49,40,"Buttigieg +9",4485
"Rasmussen Reports","4/14 - 4/18","5000 LV","1.5",40,44,"Trump +4",2207
"RCP Average","2/5 - 2/18","--","--",48,45.8,"Buttigieg +2.2",5599
"SurveyUSA","10/15 - 10/16","3080 RV","2.1",44,43,"Buttigieg +1",5573
"SurveyUSA","11/20 - 11/21","3850 RV","1.7",48,41,"Buttigieg +7",9533
"SurveyUSA","8/1 - 8/5","5459 RV","1.6",42,44,"Trump +2",4401
"USA Today/Suffolk","12/10 - 12/14","1000 RV","3.0",33,43,"Trump +10",7677
