"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Trump"
"1","6247","rcp_average","rcp_average","2/5 - 2/18","","","","",Biden,Democrat,+4.8,,NA,NA,NA,NA,NA,"Biden","Democrat","+4.8","",50.4,45.6
"2","126564","poll_rcp_avg","ABC News/Wash Post","2/14 - 2/17","","913 RV","4.0","",Biden,Democrat,+7.0,,2020-02-19 08:27:02,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1","Biden","Democrat","+7.0","",52.0,45.0
"3","126558","poll_rcp_avg","Emerson","2/16 - 2/18","","1250 RV","2.7","",Trump,Republican,+4.0,,2020-02-19 08:28:28,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1","Trump","Republican","+4.0","",48.0,52.0
"4","126549","poll_rcp_avg","NBC News/Wall St. Jrnl","2/14 - 2/17","","900 RV","3.3","",Biden,Democrat,+8.0,,2020-02-18 17:28:36,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1","Biden","Democrat","+8.0","",52.0,44.0
"5","126529","poll_rcp_avg","NPR/PBS/Marist","2/13 - 2/16","","1164 RV","3.7","",Biden,Democrat,+6.0,,2020-02-18 08:01:40,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1","Biden","Democrat","+6.0","",50.0,44.0
"6","126418","poll_rcp_avg","Quinnipiac","2/5 - 2/9","","1519 RV","2.5","",Biden,Democrat,+7.0,,2020-02-10 14:25:54,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1","Biden","Democrat","+7.0","",50.0,43.0
"7","126304","poll","NBC News/Wall St. Jrnl","1/26 - 1/29","","1000 RV","3.1","",Biden,Democrat,+6.0,,2020-02-02 10:41:47,"https://www.nbcnews.com/politics/meet-the-press/nbc-wsj-poll-country-remains-divided-over-trump-s-impeachment-n1128326",2020-01-26,2020-01-29,"1","Biden","Democrat","+6.0","",50.0,44.0
"8","126293","poll","IBD/TIPP","1/23 - 1/30","","856 RV","3.3","",Biden,Democrat,+1.0,,2020-01-31 15:50:33,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1","Biden","Democrat","+1.0","",49.0,48.0
"9","126133","poll","Emerson","1/21 - 1/23","","1128 RV","2.8","",Tie,,,,2020-01-23 22:50:22,"https://emersonpolling.reportablenews.com/pr/national-2020-biden-and-sanders-battle-in-two-way-race-for-democratic-nomination",2020-01-21,2020-01-23,"1","Tie","","","",50.0,50.0
"10","126185","poll","ABC News/Wash Post","1/20 - 1/23","","880 RV","4.0","",Biden,Democrat,+4.0,,2020-01-27 08:06:35,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1","Biden","Democrat","+4.0","",50.0,46.0
"11","126283","poll","LA Times/USC","1/15 - 1/28","","4869 RV","2.0","",Biden,Democrat,+9.0,,2020-01-31 08:42:08,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1","Biden","Democrat","+9.0","",49.0,40.0
"12","126170","poll","FOX News","1/19 - 1/22","","1005 RV","3.0","",Biden,Democrat,+9.0,,2020-01-26 09:35:17,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1","Biden","Democrat","+9.0","",50.0,41.0
"13","126056","poll","CNN","1/16 - 1/19","","1051 RV","3.6","",Biden,Democrat,+9.0,,2020-01-22 08:28:36,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1","Biden","Democrat","+9.0","",53.0,44.0
"14","125927","poll","IBD/TIPP","1/3 - 1/11","","846 RV","3.3","",Biden,Democrat,+2.0,,2020-01-13 22:30:23,"https://www.investors.com/politics/trump-impeachment-support-dips-americans-back-trump-on-iran-economy/",2020-01-03,2020-01-11,"1","Biden","Democrat","+2.0","",48.0,46.0
"15","125580","poll","Emerson","12/15 - 12/17","","1222 RV","2.7","",Biden,Democrat,+4.0,,2019-12-17 23:29:54,"https://emersonpolling.reportablenews.com/pr/december-national-poll-biden-and-sanders-pull-away-from-the-pack-as-warren-falls",2019-12-15,2019-12-17,"1","Biden","Democrat","+4.0","",52.0,48.0
"16","125658","poll","CNN","12/12 - 12/15","","888 RV","4.0","",Biden,Democrat,+5.0,,2019-12-23 13:28:19,"https://cdn.cnn.com/cnn/2019/images/12/20/rel14c.-.economy,.general.election.pdf",2019-12-12,2019-12-15,"1","Biden","Democrat","+5.0","",49.0,44.0
"17","125561","poll","USA Today/Suffolk","12/10 - 12/14","","1000 RV","3.0","",Trump,Republican,+3.0,,2019-12-16 20:02:26,"https://www.usatoday.com/story/news/politics/elections/2019/12/16/trump-impeachment-2020-election-leads-democratic-rivals/2663659001/",2019-12-10,2019-12-14,"1","Trump","Republican","+3.0","",41.0,44.0
"18","125542","poll","IBD/TIPP","12/5 - 12/14","","849 RV","3.5","",Biden,Democrat,+5.0,,2019-12-16 14:20:05,"https://www.investors.com/news/joe-biden-leads-democrats-president-trump-tops-elizabeth-warren-bernie-sanders-ibd-tipp-poll/",2019-12-05,2019-12-14,"1","Biden","Democrat","+5.0","",50.0,45.0
"19","125519","poll","FOX News","12/8 - 12/11","","1000 RV","3.0","",Biden,Democrat,+7.0,,2019-12-15 10:43:16,"https://www.foxnews.com/politics/fox-news-poll-results-december-8-11-2019",2019-12-08,2019-12-11,"1","Biden","Democrat","+7.0","",48.0,41.0
