"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread","updated","link","data_start_date","data_end_date","pollster_type"
"1","6797","rcp_average","rcp_average","2/5 - 2/18","","","","",4.6,NA,NA,NA,NA,NA
"2","126565","poll_rcp_avg","ABC News/Wash Post","2/14 - 2/17","","913 RV","4.0","",5,2020-02-19 08:29:13,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1"
"3","126557","poll_rcp_avg","Emerson","2/16 - 2/18","","1250 RV","2.7","",-2,2020-02-19 08:29:35,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1"
"4","126548","poll_rcp_avg","NBC News/Wall St. Jrnl","2/14 - 2/17","","900 RV","3.3","",7,2020-02-18 17:28:06,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1"
"5","126528","poll_rcp_avg","NPR/PBS/Marist","2/13 - 2/16","","1164 RV","3.7","",4,2020-02-18 08:01:05,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1"
"6","126421","poll_rcp_avg","Quinnipiac","2/5 - 2/9","","1519 RV","2.5","",9,2020-02-10 14:28:20,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1"
"7","126297","poll","IBD/TIPP","1/23 - 1/30","","856 RV","3.3","",1,2020-01-31 15:54:09,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1"
"8","126188","poll","ABC News/Wash Post","1/20 - 1/23","","880 RV","4.0","",3,2020-01-27 08:09:04,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1"
"9","126174","poll","FOX News","1/19 - 1/22","","1005 RV","3.0","",8,2020-01-26 09:37:55,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1"
"10","126060","poll","CNN","1/16 - 1/19","","1051 RV","3.6","",9,2020-01-22 08:31:38,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1"
"11","125931","poll","IBD/TIPP","1/3 - 1/11","","846 RV","3.3","",2,2020-01-13 22:31:50,"https://www.investors.com/politics/trump-impeachment-support-dips-americans-back-trump-on-iran-economy/",2020-01-03,2020-01-11,"1"
"12","125565","poll","USA Today/Suffolk","12/10 - 12/14","","1000 RV","3.0","",-9,2019-12-16 20:07:21,"https://www.usatoday.com/story/news/politics/elections/2019/12/16/trump-impeachment-2020-election-leads-democratic-rivals/2663659001/",2019-12-10,2019-12-14,"1"
"13","125547","poll","IBD/TIPP","12/5 - 12/14","","849 RV","3.5","",-1,2019-12-16 14:21:09,"https://www.investors.com/news/joe-biden-leads-democrats-president-trump-tops-elizabeth-warren-bernie-sanders-ibd-tipp-poll/",2019-12-05,2019-12-14,"1"
"14","125523","poll","FOX News","12/8 - 12/11","","1000 RV","3.0","",5,2019-12-15 12:28:34,"https://www.foxnews.com/politics/fox-news-poll-results-december-8-11-2019",2019-12-08,2019-12-11,"1"
"15","125351","poll","Quinnipiac","12/4 - 12/9","","1553 RV","2.5","",6,2019-12-10 15:27:27,"https://poll.qu.edu/national/release-detail?ReleaseID=3651",2019-12-04,2019-12-09,"1"
"16","125262","poll","SurveyUSA","11/20 - 11/21","","3850 RV","1.7","",6,2019-11-27 17:02:07,"http://www.surveyusa.com/client/PollReport.aspx?g=5128ee79-1b59-4146-bf80-54906bb24d4b",2019-11-20,2019-11-21,"1"
"17","120721","poll","Rasmussen Reports","1/30 - 1/31","","1000 LV","3.0","",6,2019-02-06 10:28:13,"http://www.rasmussenreports.com/public_content/politics/general_politics/january_2019/bloomberg_vs_trump_and_the_winner_is",2019-01-30,2019-01-31,"1"
