"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","updated","link","data_start_date","data_end_date","pollster_type"
"1","6872","rcp_average","rcp_average","2/5 - 2/18","","","","",NA,NA,NA,NA,NA
"2","126566","poll_rcp_avg","ABC News/Wash Post","2/14 - 2/17","","913 RV","4.0","",2020-02-19 08:30:53,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1"
"3","126555","poll_rcp_avg","Emerson","2/16 - 2/18","","1250 RV","2.7","",2020-02-19 08:31:11,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1"
"4","126546","poll_rcp_avg","NBC News/Wall St. Jrnl","2/14 - 2/17","","900 RV","3.3","",2020-02-18 17:27:05,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1"
"5","126526","poll_rcp_avg","NPR/PBS/Marist","2/13 - 2/16","","1164 RV","3.7","",2020-02-18 07:59:41,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1"
"6","126422","poll_rcp_avg","Quinnipiac","2/5 - 2/9","","1519 RV","2.5","",2020-02-10 14:28:52,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1"
"7","126307","poll","NBC News/Wall St. Jrnl","1/26 - 1/29","","1000 RV","3.1","",2020-02-02 10:58:41,"https://www.nbcnews.com/politics/meet-the-press/nbc-wsj-poll-country-remains-divided-over-trump-s-impeachment-n1128326",2020-01-26,2020-01-29,"1"
"8","126296","poll","IBD/TIPP","1/23 - 1/30","","856 RV","3.3","",2020-01-31 15:53:26,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1"
"9","126136","poll","Emerson","1/21 - 1/23","","1128 RV","2.8","",2020-01-23 22:51:03,"https://emersonpolling.reportablenews.com/pr/national-2020-biden-and-sanders-battle-in-two-way-race-for-democratic-nomination",2020-01-21,2020-01-23,"1"
"10","126189","poll","ABC News/Wash Post","1/20 - 1/23","","880 RV","4.0","",2020-01-27 08:09:38,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1"
"11","126286","poll","LA Times/USC","1/15 - 1/28","","4869 RV","2.0","",2020-02-07 08:05:45,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1"
