"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread","updated","link","data_start_date","data_end_date","pollster_type"
"1","6803","rcp_average","rcp_average","2/5 - 2/18","","","","",2.2,NA,NA,NA,NA,NA
"2","126567","poll_rcp_avg","ABC News/Wash Post","2/14 - 2/17","","913 RV","4.0","",2,2020-02-19 08:31:48,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1"
"3","126556","poll_rcp_avg","Emerson","2/16 - 2/18","","1250 RV","2.7","",-2,2020-02-19 08:32:12,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1"
"4","126547","poll_rcp_avg","NBC News/Wall St. Jrnl","2/14 - 2/17","","900 RV","3.3","",3,2020-02-18 17:27:41,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1"
"5","126527","poll_rcp_avg","NPR/PBS/Marist","2/13 - 2/16","","1164 RV","3.7","",2,2020-02-18 08:00:37,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1"
"6","126423","poll_rcp_avg","Quinnipiac","2/5 - 2/9","","1519 RV","2.5","",6,2020-02-10 14:29:29,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1"
"7","126190","poll","ABC News/Wash Post","1/20 - 1/23","","880 RV","4.0","",1,2020-01-27 08:10:12,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1"
"8","126287","poll","LA Times/USC","1/15 - 1/28","","4869 RV","2.0","",2,2020-01-31 08:44:44,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1"
"9","126175","poll","FOX News","1/19 - 1/22","","1005 RV","3.0","",1,2020-01-26 09:38:24,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1"
"10","126061","poll","CNN","1/16 - 1/19","","1051 RV","3.6","",3,2020-01-22 08:32:12,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1"
"11","125352","poll","Quinnipiac","12/4 - 12/9","","1553 RV","2.5","",4,2019-12-10 15:28:24,"https://poll.qu.edu/national/release-detail?ReleaseID=3651",2019-12-04,2019-12-09,"1"
"12","120816","poll","Emerson","2/14 - 2/16","","1000 RV","3.3","",2,2019-02-16 18:26:01,"http://emersonpolling.com/2019/02/16/majority-of-americans-disagree-with-trumps-national-emergency-despite-a-plurality-agreeing-with-border-wall-extension/",2019-02-14,2019-02-16,"1"
