"","fte_pollster_ratings_id","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Trump","fte_pollster_name","Pollster","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"12",NA,"rcp_average","6761","rcp_average","1/3 - 2/20","","","","",Biden,Democrat,+5.2,,NA,NA,NA,NA,NA,"Biden","Democrat","+5.2","",48.5,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1", 88,"Emerson","124734","poll","10/31 - 11/3","","1051 RV","3.0","",Biden,Democrat,+12.0,,2019-11-03 23:44:05,"https://emersonpolling.reportablenews.com/pr/michigan-2020-democrats-aim-to-take-back-the-state",2019-10-31,2019-11-03,"1","Biden","Democrat","+12.0","",56.0,44.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"2", 88,"Emerson","121071","poll","3/7 - 3/10","","743 RV","3.5","",Biden,Democrat,+8.0,,2019-03-10 19:14:26,"https://emersonpolling.reportablenews.com/pr/michigan-2020-primary-biden-with-strong-lead-but-sanders-waiting-in-the-wings",2019-03-07,2019-03-10,"1","Biden","Democrat","+8.0","",54.0,46.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"3",267,"Quinnipiac","126616","poll_rcp_avg","2/12 - 2/18","","845 RV","3.4","",Biden,Democrat,+4.0,,2020-02-20 12:11:33,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Biden","Democrat","+4.0","",47.0,43.0,"Quinnipiac University","Quinnipiac University",204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"4",448,"NY Times/Siena","124738","poll","10/13 - 10/25","","501 LV","5.1","",Biden,Democrat,+1.0,,2019-11-04 11:35:16,"https://github.com/ndcohn/battleground-poll-2019/blob/master/MI110419%20Crosstabs.pdf",2019-10-13,2019-10-25,"1","Biden","Democrat","+1.0","",45.0,44.0,"Siena College/New York Times Upshot","Siena College/New York Times Upshot", 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"5",NA,"Detroit News/WDIV-TV","125858","poll_rcp_avg","1/3 - 1/7","","600 LV","4.0","",Biden,Democrat,+7.0,,2020-01-09 09:38:13,"https://www.detroitnews.com/story/news/politics/2020/01/09/biden-bloomberg-have-largest-leads-against-trump-michigan-poll/2846700001/",2020-01-03,2020-01-07,"1","Biden","Democrat","+7.0","",50.0,43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Detroit News/WDIV-TV","122192","poll","5/28 - 5/30","","600 LV","4.0","",Biden,Democrat,+12.0,,2019-06-05 12:02:35,"https://www.detroitnews.com/story/news/politics/2019/06/05/biden-sanders-democrats-lead-trump-michigan-poll/1330277001/",2019-05-28,2019-05-30,"1","Biden","Democrat","+12.0","",53.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Detroit News/WDIV-TV","120599","poll","1/24 - 1/26","","600 LV","4.0","",Biden,Democrat,+13.0,,2019-01-30 09:18:27,"https://www.clickondetroit.com/michigan-politics/wdivdetroit-news-poll-trump-faces-uphill-re-election-battle-in-michigan",2019-01-24,2019-01-26,"1","Biden","Democrat","+13.0","",53.0,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"EPIC-MRA","122338","poll","6/8 - 6/12","","600 LV","4.0","",Biden,Democrat,+11.0,,2019-06-14 11:54:23,"https://www.freep.com/story/news/local/michigan/2019/06/14/donald-trump-behind-joe-biden-michigan-poll/1446377001/",2019-06-08,2019-06-12,"1","Biden","Democrat","+11.0","",52.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"EPIC-MRA","120417","poll","4/28 - 4/30","","600 RV","4.0","",Biden,Democrat,+13.0,,2019-01-10 15:09:22,"https://ssl2002.webhosting.comcast.net/epic-mra/press/Stwd_Survey_Apr2018_Media_Freq.pdf",2018-04-28,2018-04-30,"1","Biden","Democrat","+13.0","",52.0,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"EPIC-MRA","125999","poll_rcp_avg","1/9 - 1/12","","600 LV","4.0","",Biden,Democrat,+6.0,,2020-01-15 12:16:00,"https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/",2020-01-09,2020-01-12,"1","Biden","Democrat","+6.0","",50.0,44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"EPIC-MRA","123402","poll","8/17 - 8/21","","600 LV","4.0","",Biden,Democrat,+10.0,,2019-08-28 09:15:11,"https://www.woodtv.com/news/elections/mi-poll-dems-top-trump-but-undecideds-could-tip-scale/",2019-08-17,2019-08-21,"1","Biden","Democrat","+10.0","",51.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Univ. of Wis/State Journal","126671","poll_rcp_avg","2/11 - 2/20","","1249 LV","3.0","",Biden,Democrat,+4.0,,2020-02-23 12:06:51,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Biden","Democrat","+4.0","",47.0,43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"WPAi (R)*","122339","poll","4/27 - 4/30","","200 LV","6.9","",Biden,Democrat,+3.0,,2019-06-14 11:59:04,"https://www.washingtonexaminer.com/news/campaigns/gop-poll-reassuring-for-trump-in-key-states-but-offers-warning-about-michigan",2019-04-27,2019-04-30,"1","Biden","Democrat","+3.0","",45.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
