"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Steyer","Gabbard","Harris","O'Rourke","Yang","Booker","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe"
"1","6730","rcp_average","rcp_average","2/13 - 2/22","","","","",Sanders,,+12.1,#457fff,NA,NA,NA,NA,NA,"Sanders","","+12.1","#457fff",29.3,17.2,15.3,13.2, 9.8,6.3,2.2,1.4,29.3,17.2,15.3,13.2,9.8,6.3,2.2,1.4,29.3,17.2,15.3,13.2,9.8,6.3,2.2,1.4,29.3,17.2,15.3,13.2,9.8,6.3, 2.2,1.4
"2","126662","poll_rcp_avg","CBS News/YouGov","2/20 - 2/22","","6498 LV","","",Sanders,,+9.0,#457fff,2020-02-23 11:16:53,"https://drive.google.com/file/d/1OpQxzzYY4MXgQMfo2j_XicB_tEUtt7eI/view",2020-02-20,2020-02-22,"1","Sanders","","+9.0","#457fff",28.0,17.0,13.0,19.0,10.0,5.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","126562","poll_rcp_avg","ABC News/Wash Post","2/14 - 2/17","","408 RV","","",Sanders,,+16.0,#457fff,2020-02-19 08:12:26,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1","Sanders","","+16.0","#457fff",32.0,16.0,14.0,12.0, 8.0,7.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","126553","poll_rcp_avg","Emerson","2/16 - 2/18","","573 LV","","",Sanders,,+7.0,#457fff,2020-02-18 21:46:51,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1","Sanders","","+7.0","#457fff",29.0,22.0,14.0,12.0, 8.0,6.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","126575","poll","Economist/YouGov","2/16 - 2/18","","555 LV","","",Sanders,,+6.0,#457fff,2020-02-19 09:49:25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf",2020-02-16,2020-02-18,"1","Sanders","","+6.0","#457fff",24.0,18.0,12.0,16.0,11.0,7.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","126542","poll_rcp_avg","NBC News/Wall St. Jrnl","2/14 - 2/17","","426 LV","","",Sanders,,+12.0,#457fff,2020-02-18 17:18:36,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1","Sanders","","+12.0","#457fff",27.0,15.0,14.0,14.0,13.0,7.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","126550","poll_rcp_avg","SurveyUSA","2/13 - 2/17","","1022 LV","","",Sanders,,+11.0,#457fff,2020-02-18 17:34:25,"http://www.surveyusa.com/client/PollReport.aspx?g=e7feecd9-5374-42de-bfff-d16dba2dae6a",2020-02-13,2020-02-17,"1","Sanders","","+11.0","#457fff",29.0,18.0,18.0,10.0,12.0,4.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","126522","poll_rcp_avg","NPR/PBS/Marist","2/13 - 2/16","","527 RV","","",Sanders,,+12.0,#457fff,2020-02-18 06:58:22,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1","Sanders","","+12.0","#457fff",31.0,15.0,19.0,12.0, 8.0,9.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","126577","poll","The Hill/HarrisX","2/14 - 2/15","","449 RV","","",Sanders,,+3.0,#457fff,2020-02-19 13:36:55,"https://www.youtube.com/watch?v=pXGbc6ZmQvw",2020-02-14,2020-02-15,"1","Sanders","","+3.0","#457fff",22.0,19.0,18.0,12.0,10.0,5.0,3.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","126571","poll","Morning Consult","2/12 - 2/17","","15974 RV","","",Sanders,,+8.0,#457fff,2020-02-19 08:48:05,"https://morningconsult.com/2020-democratic-primary/",2020-02-12,2020-02-17,"1","Sanders","","+8.0","#457fff",28.0,19.0,20.0,10.0,12.0,6.0,3.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
