"","fte_pollster_ratings_id","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Warren","Trump","fte_pollster_name","Pollster","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"1",  3,"ABC News/Wash Post","126568","poll_rcp_avg","2/14 - 2/17","","913 RV","4.0","",Warren,Democrat,+1.0,,2020-02-19 08:33:01,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1","Warren","Democrat","+1.0","",48.0,47.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"2",  3,"ABC News/Wash Post","123557","poll","9/2 - 9/5","","877 RV","4.0","",Warren,Democrat,+7.0,,2019-09-11 08:17:23,"https://www.washingtonpost.com/context/sept-2-5-2019-washington-post-abc-news-poll/d4e18b36-79bf-492d-91e3-d1c7a49d37e2/",2019-09-02,2019-09-05,"1","Warren","Democrat","+7.0","",51.0,44.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"3",  3,"ABC News/Wash Post","122673","poll","6/28 - 7/1","","875 RV","4.0","",Tie,,,,2019-07-07 01:05:54,"https://www.washingtonpost.com/politics/aided-by-a-strong-economy-trump-approval-rises-but-a-majority-also-see-him-as-unpresidential/2019/07/04/c9c42c54-9d9f-11e9-b27f-ed2942f73d70_story.html",2019-06-28,2019-07-01,"1","Tie","","","",48.0,48.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"4",  3,"ABC News/Wash Post","126187","poll","1/20 - 1/23","","880 RV","4.0","",Tie,,,,2020-01-27 08:08:31,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1","Tie","","","",48.0,48.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"5",  3,"ABC News/Wash Post","124780","poll","10/27 - 10/30","","876 RV","4.0","",Warren,Democrat,+15.0,,2019-11-05 08:31:20,"https://www.washingtonpost.com/politics/trump-trails-democratic-rivals-in-national-survey-as-independents-move-away/2019/11/04/e068afac-ff38-11e9-9518-1e76abc088b6_story.html",2019-10-27,2019-10-30,"1","Warren","Democrat","+15.0","",55.0,40.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"6", 37,"CNN","125660","poll","12/12 - 12/15","","888 RV","4.0","",Warren,Democrat,+1.0,,2019-12-23 13:28:41,"https://cdn.cnn.com/cnn/2019/images/12/20/rel14c.-.economy,.general.election.pdf",2019-12-12,2019-12-15,"1","Warren","Democrat","+1.0","",47.0,46.0,"CNN/Opinion Research Corp.","CNN/Opinion Research Corp.", 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"7", 37,"CNN","124435","poll","10/17 - 10/20","","892 RV","4.0","",Warren,Democrat,+8.0,,2019-10-23 08:33:54,"https://cdn.cnn.com/cnn/2019/images/10/22/rel12b.-.2020.pdf",2019-10-17,2019-10-20,"1","Warren","Democrat","+8.0","",52.0,44.0,"CNN/Opinion Research Corp.","CNN/Opinion Research Corp.", 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"8", 37,"CNN","121755","poll","4/25 - 4/29","","452 RV","5.6","",Trump,Republican,+1.0,,2019-05-02 23:56:59,"https://cdn.cnn.com/cnn/2019/images/05/01/rel6d.-.trump.and.2020.pdf",2019-04-25,2019-04-29,"1","Trump","Republican","+1.0","",47.0,48.0,"CNN/Opinion Research Corp.","CNN/Opinion Research Corp.", 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"9", 37,"CNN","126058","poll","1/16 - 1/19","","1051 RV","3.6","",Warren,Democrat,+5.0,,2020-01-22 08:31:13,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1","Warren","Democrat","+5.0","",50.0,45.0,"CNN/Opinion Research Corp.","CNN/Opinion Research Corp.", 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"10", 88,"Emerson","121873","poll","5/10 - 5/13","","1006 RV","3.0","",Warren,Democrat,+3.0,,2019-05-13 21:50:15,"https://emersonpolling.reportablenews.com/pr/may-national-poll-biden-back-in-the-lead-for-the-democratic-nomination",2019-05-10,2019-05-13,"1","Warren","Democrat","+3.0","",52.0,49.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
