"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Bloomberg","Warren","Buttigieg","Klobuchar","Gabbard","Steyer","Yang","Bennet","Harris","Booker","O'Rourke","Bullock","Gillibrand","Castro","Hickenlooper","Inslee","Delaney","Williamson","Ryan","Swalwell","Moulton","Messam","Patrick"
"1","6860","rcp_average","rcp_average","1/20 - 2/20","","","","",Biden,,+1.0,,NA,NA,NA,NA,NA,"Biden","","+1.0","",21,20,13,11.5, 9,5,21,20,13,11.5, 9, 5,21,20,13,11.5, 9, 5,21,20,13,11.5, 9, 5,21
"2","126657","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","537 LV","","",Sanders,,+5.0,,2020-02-23 11:34:12,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","","+5.0","",20,25,19, 9.0,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","126264","poll_rcp_avg","Franklin &amp; Marshall","1/20 - 1/26","","292 RV","","",Biden,,+7.0,,2020-01-30 15:19:24,"https://www.fandm.edu/uploads/files/562535870732261549-f-m-poll-release-january-2020.pdf",2020-01-20,2020-01-26,"1","Biden","","+7.0","",22,15, 7,14.0, 6,5, 1, 1, 5, 0.0,NA,NA,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA
"4","124669","poll","Franklin &amp; Marshall","10/21 - 10/27","","226 RV","","",Biden,,+12.0,,2019-10-31 08:39:11,"https://www.fandm.edu/uploads/files/93374337988676509-f-m-poll-release-october-2019.pdf",2019-10-21,2019-10-27,"1","Biden","","+12.0","",30,12,NA,18.0, 8,2, 2,NA, 1, 2.0, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","124872","poll","NY Times/Siena","10/13 - 10/25","","304 LV","","",Biden,,+12.0,,2019-11-08 09:18:46,"https://www.nytimes.com/2019/11/08/us/politics/democrats-poll-moderates-battleground.html",2019-10-13,2019-10-25,"1","Biden","","+12.0","",28,14,NA,16.0, 4,1, 0,NA, 2,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","124041","poll","FOX 43/Susquehanna","9/30 - 10/6","","307 RV","","",Biden,,+8.0,,2019-10-08 09:14:54,"https://fox43.com/2019/10/08/majority-of-pennsylvanians-believe-trump-impeachment-inquiry-has-merit-new-fox43-spr-poll-finds/",2019-09-30,2019-10-06,"1","Biden","","+8.0","",17, 6,NA, 9.0, 8,1, 0,NA, 0, 2.0, 1, 0, 0,NA,NA, 0.0,NA,NA, 0, 0, 0,NA,NA, 0,NA
"7","123142","poll","Franklin &amp; Marshall","7/29 - 8/4","","295 RV","","",Biden,,+7.0,,2019-08-08 08:51:52,"https://www.fandm.edu/uploads/files/366978281722999151-f-m-poll-release-august-2019.pdf",2019-07-29,2019-08-04,"1","Biden","","+7.0","",28,12,NA,21.0, 6,0, 1,NA,NA,NA, 8, 2, 1,NA, 0,NA,NA,NA, 0, 0, 0,NA,NA,NA,NA
"8","121894","poll","Quinnipiac","5/9 - 5/14","","431 RV","6.2","",Biden,,+26.0,,2019-05-15 13:34:29,"https://poll.qu.edu/pennsylvania/release-detail?ReleaseID=2620",2019-05-09,2019-05-14,"1","Biden","","+26.0","",39,13,NA, 8.0, 6,1, 0,NA, 0, 0.0, 8, 5, 2,NA, 0, 0.0, 0, 0, 0, 0, 0, 0.0, 0, 0,NA
"9","121515","poll","Morning Call","4/3 - 4/10","","405 RV","5.5","",Biden,,+12.0,,2019-04-12 17:02:54,"https://www.mcall.com/news/pennsylvania/capitol-ideas/mc-nws-pa-morning-call-muhlenberg-poll-democrats-2020-president-20190412-ls5uqkn55zappbk3l4jjofqpha-story.html",2019-04-03,2019-04-10,"1","Biden","","+12.0","",28,16,NA, 8.0, 4,3,NA,NA,NA,NA, 8, 3, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","121312","poll","Emerson","3/26 - 3/28","","359 RV","5.1","",Biden,,+19.0,,2019-03-28 20:04:33,"https://emersonpolling.reportablenews.com/pr/pennsylvania-2020-biden-leads-democratic-field-in-pennsylvania-biden-and-sanders-lead-trump-by-10-points-in-general-election",2018-03-26,2019-03-28,"1","Biden","","+19.0","",39,20,NA,11.0, 6,0, 3,NA, 1,NA, 5, 4, 5,NA, 2, 1.0, 0, 0,NA,NA,NA,NA,NA,NA,NA
