"","fte_pollster_ratings_id","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Warren","Buttigieg","Bloomberg","Klobuchar","Steyer","Gabbard","Yang","Booker","Williamson","Castro","Delaney","Patrick","Bennet","Harris","Bullock","Ryan","Sestak","Messam","O'Rourke","Gillibrand","Hickenlooper","Inslee","fte_pollster_name","Pollster","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"1", 88,"Emerson","121140","poll","3/15 - 3/17","","324 RV","5.4","",Sanders,,+15.0,,2019-03-17 19:14:51,"https://emersonpolling.reportablenews.com/pr/wisconsin-2020-bernie-sanders-leads-democratic-field-trump-competitive-in-general-election",2019-03-15,2019-03-17,"1","Sanders","","+15.0","",39.0,24.0,14, 1,NA,4.0,NA,0.0,1.0, 2,NA, 0,NA,NA,NA, 5,NA,NA,NA,NA,6.0, 1,0.0, 0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"2",103,"FOX News","125887","poll_rcp_avg","1/5 - 1/8","","671 RV","3.5","",Biden,,+2.0,,2020-01-09 19:04:52,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Biden","","+2.0","",21.0,23.0,13, 9, 7.0,4.0,2.0,2.0,3.0, 3,1.0,NA, 0.0, 0.0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"3",103,"FOX News","123983","poll","9/29 - 10/2","","663 LV","","",Biden,,+6.0,,2019-10-06 11:02:41,"https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-wisconsin",2019-09-29,2019-10-02,"1","Biden","","+6.0","",17.0,28.0,22, 7,NA,2.0,0.0,1.0,2.0, 2,0.0, 0, 0.0,NA, 0, 5,1.0,0.0,0.0,0.0,1.0,NA,NA,NA,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"4",NA,"Marquette","124524","poll","10/13 - 10/17","","379 RV","6.3","",Biden,,+7.0,,2019-10-23 22:46:23,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Biden","","+7.0","",17.0,31.0,24, 7,NA,3.0,0.0,2.0,3.0, 1,1.0,NA,NA,NA,NA, 5,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Marquette","125463","poll","12/3 - 12/8","","358 LV","","",Biden,,+4.0,,2019-12-12 16:10:22,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Biden","","+4.0","",19.0,23.0,16,15, 3.0,3.0,0.0,1.0,3.0, 4,0.0, 0, 0.0, 0.0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Marquette","125062","poll","11/13 - 11/17","","340 LV","","",Biden,,+13.0,,2019-11-20 14:47:25,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Biden","","+13.0","",17.0,30.0,15,13,NA,3.0,1.0,NA,2.0, 3,1.0, 0, 0.0,NA, 0, 2,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Marquette","126012","poll_rcp_avg","1/8 - 1/12","","358 RV","6.3","",Biden,,+4.0,,2020-01-15 14:30:19,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Biden","","+4.0","",19.0,23.0,14,15, 6.0,4.0,1.0,1.0,6.0, 1,0.0,NA,NA, 0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"NY Times/Siena","124871","poll","10/13 - 10/26","","292 LV","","",Warren,,+2.0,,2019-11-08 09:16:12,"https://www.nytimes.com/2019/11/08/us/politics/democrats-poll-moderates-battleground.html",2019-10-13,2019-10-26,"1","Warren","","+2.0","",20.0,23.0,25, 5,NA,0.0,NA,1.0,2.0, 1,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"rcp_average","6848","rcp_average","1/5 - 2/20","","","","",Sanders,,+3.6,,NA,NA,NA,NA,NA,"Sanders","","+3.6","",23.3,19.7,13,12, 8.7,5.7,1.5,1.5,4.5, 2,0.5, 0,23.3,19.7,13,12,8.7,5.7,1.5,1.5,4.5, 2,0.5, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Univ. of Wis/State Journal","126656","poll_rcp_avg","2/11 - 2/20","","428 LV","","",Sanders,,+17.0,,2020-02-23 11:31:14,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","","+17.0","",30.0,13.0,12,12,13.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
