"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Trump"
"1","6850","rcp_average","rcp_average","1/5 - 2/20","","","","",Tie,,,,NA,NA,NA,NA,NA,"Tie","","","",45.5,45.5
"2","126658","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","936 RV","4.0","",Sanders,Democrat,+2.0,,2020-02-23 12:08:59,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","Democrat","+2.0","",46.0,44.0
"3","126628","poll_rcp_avg","Quinnipiac","2/12 - 2/18","","823 RV","3.4","",Trump,Republican,+7.0,,2020-02-20 12:26:41,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Trump","Republican","+7.0","",43.0,50.0
"4","126014","poll_rcp_avg","Marquette","1/8 - 1/12","","800 RV","4.1","",Sanders,Democrat,+1.0,,2020-01-15 14:36:57,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Sanders","Democrat","+1.0","",47.0,46.0
"5","125889","poll_rcp_avg","FOX News","1/5 - 1/8","","1504 RV","2.5","",Sanders,Democrat,+4.0,,2020-01-09 19:10:42,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Sanders","Democrat","+4.0","",46.0,42.0
"6","125465","poll","Marquette","12/3 - 12/8","","800 RV","4.1","",Trump,Republican,+2.0,,2019-12-12 16:17:40,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Trump","Republican","+2.0","",45.0,47.0
"7","125065","poll","Marquette","11/13 - 11/17","","801 RV","4.1","",Trump,Republican,+3.0,,2019-11-20 15:19:10,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Trump","Republican","+3.0","",45.0,48.0
"8","124746","poll","NY Times/Siena","10/13 - 10/26","","651 LV","4.4","",Sanders,Democrat,+1.0,,2019-11-04 11:31:00,"https://github.com/ndcohn/battleground-poll-2019/blob/master/WI110419%20Crosstabs.pdf",2019-10-13,2019-10-26,"1","Sanders","Democrat","+1.0","",47.0,46.0
"9","124527","poll","Marquette","10/13 - 10/17","","799 RV","4.2","",Sanders,Democrat,+2.0,,2019-10-23 22:51:56,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Sanders","Democrat","+2.0","",48.0,46.0
"10","123986","poll","FOX News","9/29 - 10/2","","1512 RV","2.5","",Sanders,Democrat,+5.0,,2019-10-06 11:08:25,"https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-wisconsin",2019-09-29,2019-10-02,"1","Sanders","Democrat","+5.0","",45.0,40.0
"11","123490","poll","Marquette","8/25 - 8/29","","800 RV","3.9","",Sanders,Democrat,+4.0,,2019-09-04 17:11:13,"https://law.marquette.edu/poll/wp-content/uploads/2019/09/MLSP53Toplines.pdf",2019-08-25,2019-08-29,"1","Sanders","Democrat","+4.0","",48.0,44.0
"12","121142","poll","Emerson","3/15 - 3/17","","775 RV","3.5","",Sanders,Democrat,+4.0,,2019-03-17 19:22:45,"https://emersonpolling.reportablenews.com/pr/wisconsin-2020-bernie-sanders-leads-democratic-field-trump-competitive-in-general-election",2019-03-15,2019-03-17,"1","Sanders","Democrat","+4.0","",52.0,48.0
