"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Trump","Warren"
"1","6852","rcp_average","rcp_average","1/5 - 2/20","","","","",Trump,Republican,+2.3,,NA,NA,NA,NA,NA,"Trump","Republican","+2.3","",46.3,44
"2","126673","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","1249 LV","3.0","",Warren,Democrat,+2.0,,2020-02-23 12:11:10,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Warren","Democrat","+2.0","",44.0,46
"3","126632","poll_rcp_avg","Quinnipiac","2/12 - 2/18","","823 RV","3.4","",Trump,Republican,+10.0,,2020-02-20 12:31:14,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Trump","Republican","+10.0","",51.0,41
"4","126015","poll_rcp_avg","Marquette","1/8 - 1/12","","800 RV","4.1","",Trump,Republican,+3.0,,2020-01-15 14:36:44,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Trump","Republican","+3.0","",48.0,45
"5","125890","poll_rcp_avg","FOX News","1/5 - 1/8","","1504 RV","2.5","",Warren,Democrat,+2.0,,2020-01-09 19:11:07,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Warren","Democrat","+2.0","",42.0,44
"6","125466","poll","Marquette","12/3 - 12/8","","800 RV","4.1","",Trump,Republican,+1.0,,2019-12-12 16:18:23,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Trump","Republican","+1.0","",45.0,44
"7","125064","poll","Marquette","11/13 - 11/17","","801 RV","4.1","",Trump,Republican,+5.0,,2019-11-20 15:18:23,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Trump","Republican","+5.0","",48.0,43
"8","124745","poll","NY Times/Siena","10/13 - 10/26","","651 LV","4.4","",Trump,Republican,+2.0,,2019-11-04 11:30:02,"https://github.com/ndcohn/battleground-poll-2019/blob/master/WI110419%20Crosstabs.pdf",2019-10-13,2019-10-26,"1","Trump","Republican","+2.0","",47.0,45
"9","124526","poll","Marquette","10/13 - 10/17","","799 RV","4.2","",Warren,Democrat,+1.0,,2019-10-23 22:51:23,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Warren","Democrat","+1.0","",46.0,47
"10","123985","poll","FOX News","9/29 - 10/2","","1512 RV","2.5","",Warren,Democrat,+4.0,,2019-10-06 11:07:43,"https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-wisconsin",2019-09-29,2019-10-02,"1","Warren","Democrat","+4.0","",41.0,45
"11","123491","poll","Marquette","8/25 - 8/29","","800 RV","3.9","",Tie,,,,2019-09-04 17:12:01,"https://law.marquette.edu/poll/wp-content/uploads/2019/09/MLSP53Toplines.pdf",2019-08-25,2019-08-29,"1","Tie","","","",45.0,45
"12","121144","poll","Emerson","3/15 - 3/17","","775 RV","3.5","",Warren,Democrat,+4.0,,2019-03-17 19:27:42,"https://emersonpolling.reportablenews.com/pr/wisconsin-2020-bernie-sanders-leads-democratic-field-trump-competitive-in-general-election",2019-03-15,2019-03-17,"1","Warren","Democrat","+4.0","",48.0,52
