"Poll","Date","Sample","MoE","Biden (D)","Trump (R)","Spread","id"
"ABC News/Wash PostABC/WP","1/20 - 1/23","880 RV","4.0",50,46,"Biden +4",1387
"ABC News/Wash PostABC/WP","10/27 - 10/30","876 RV","4.0",56,39,"Biden +17",6143
"ABC News/Wash PostABC/WP","2/14 - 2/17","913 RV","4.0",52,45,"Biden +7",1309
"ABC News/Wash PostABC/WP","6/28 - 7/1","875 RV","4.0",53,43,"Biden +10",2927
"ABC News/Wash PostABC/WP","9/2 - 9/5","877 RV","4.0",55,40,"Biden +15",8006
"CNNCNN","1/14 - 1/18","918 RV","3.8",57,40,"Biden +17",2273
"CNNCNN","1/16 - 1/19","1051 RV","3.6",53,44,"Biden +9",6863
"CNNCNN","10/17 - 10/20","892 RV","4.0",53,43,"Biden +10",3051
"CNNCNN","12/12 - 12/15","888 RV","4.0",49,44,"Biden +5",8408
"CNNCNN","4/25 - 4/29","470 RV","5.5",51,45,"Biden +6",1948
"EmersonEmerson","1/21 - 1/23","1128 RV","2.8",50,50,"Tie",7035
"EmersonEmerson","10/12 - 10/14","820 RV","3.4",51,42,"Biden +9",9031
"EmersonEmerson","10/18 - 10/21","1000 RV","3.0",51,49,"Biden +2",3752
"EmersonEmerson","11/17 - 11/20","1092 RV","2.9",49,51,"Trump +2",5929
"EmersonEmerson","12/15 - 12/17","1222 RV","2.7",52,48,"Biden +4",4212
"EmersonEmerson","2/14 - 2/16","1000 RV","3.3",55,45,"Biden +10",1390
"EmersonEmerson","2/16 - 2/18","1250 RV","2.7",48,52,"Trump +4",2216
"EmersonEmerson","3/17 - 3/18","1153 RV","2.8",55,45,"Biden +10",3111
"EmersonEmerson","4/11 - 4/14","914 RV","3.2",53,47,"Biden +6",4112
"EmersonEmerson","5/10 - 5/13","1006 RV","3.0",54,46,"Biden +8",8187
"EmersonEmerson","6/21 - 6/24","1096 RV","2.9",55,45,"Biden +10",7485
"EmersonEmerson","7/27 - 7/29","1233 RV","2.7",51,49,"Biden +2",7214
"EmersonEmerson","7/6 - 7/8","1100 RV","2.9",53,47,"Biden +6",2279
"EmersonEmerson","8/24 - 8/26","1458 RV","2.5",54,46,"Biden +8",1051
"EmersonEmerson","9/21 - 9/23","1019 RV","3.0",50,49,"Biden +1",6690
"FOX NewsFOX News","1/19 - 1/22","1005 RV","3.0",50,41,"Biden +9",6779
"FOX NewsFOX News","10/27 - 10/30","1040 RV","3.0",51,39,"Biden +12",9520
"FOX NewsFOX News","10/6 - 10/8","1003 RV","3.0",50,40,"Biden +10",7932
"FOX NewsFOX News","12/8 - 12/11","1000 RV","3.0",48,41,"Biden +7",7294
"FOX NewsFOX News","3/17 - 3/20","1002 RV","3.0",47,40,"Biden +7",5009
"FOX NewsFOX News","5/11 - 5/14","1001 RV","3.0",49,38,"Biden +11",8194
"FOX NewsFOX News","6/9 - 6/12","1001 RV","3.0",49,39,"Biden +10",8960
"FOX NewsFOX News","7/21 - 7/23","1004 RV","3.0",49,39,"Biden +10",2427
"FOX NewsFOX News","8/11 - 8/13","1013 RV","3.0",50,38,"Biden +12",7405
"FOX NewsFOX News","9/15 - 9/17","1008 RV","3.0",52,38,"Biden +14",3150
"IBD/TIPPIBD/TIPP","1/23 - 1/30","856 RV","3.3",49,48,"Biden +1",1089
