"Poll","Date","Sample","MoE","Bloomberg (D)","Trump (R)","Spread","id"
"ABC News/Wash PostABC/WP","1/20 - 1/23","880 RV","4.0",49,46,"Bloomberg +3",1387
"ABC News/Wash PostABC/WP","2/14 - 2/17","913 RV","4.0",50,45,"Bloomberg +5",1309
"CNNCNN","1/16 - 1/19","1051 RV","3.6",52,43,"Bloomberg +9",6863
"EmersonEmerson","2/16 - 2/18","1250 RV","2.7",49,51,"Trump +2",2216
"FOX NewsFOX News","1/19 - 1/22","1005 RV","3.0",49,41,"Bloomberg +8",6779
"FOX NewsFOX News","12/8 - 12/11","1000 RV","3.0",45,40,"Bloomberg +5",7294
"IBD/TIPPIBD/TIPP","1/23 - 1/30","856 RV","3.3",48,47,"Bloomberg +1",1089
"IBD/TIPPIBD/TIPP","1/3 - 1/11","846 RV","3.3",47,45,"Bloomberg +2",7793
"IBD/TIPPIBD/TIPP","12/5 - 12/14","849 RV","3.5",46,47,"Trump +1",1372
"NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/17","900 RV","3.3",50,43,"Bloomberg +7",4399
"NPR/PBS/MaristNPR/PBS","2/13 - 2/16","1164 RV","3.7",48,44,"Bloomberg +4",7943
"QuinnipiacQuinnipiac","12/4 - 12/9","1553 RV","2.5",48,42,"Bloomberg +6",6957
"QuinnipiacQuinnipiac","2/5 - 2/9","1519 RV","2.5",51,42,"Bloomberg +9",9196
"RCP Average","2/5 - 2/18","--","--",49.6,45,"Bloomberg +4.6",7062
"SurveyUSASUSA","11/20 - 11/21","3850 RV","1.7",46,40,"Bloomberg +6",2527
"USA Today/SuffolkUSA Today","12/10 - 12/14","1000 RV","3.0",34,43,"Trump +9",2565
