"Poll","Date","Sample","MoE","Sanders (D)","Trump (R)","Spread","id"
"ABC News/Wash PostABC/WP","1/20 - 1/23","880 RV","4.0",49,47,"Sanders +2",8610
"ABC News/Wash PostABC/WP","10/27 - 10/30","876 RV","4.0",55,41,"Sanders +14",4046
"ABC News/Wash PostABC/WP","6/28 - 7/1","875 RV","4.0",49,48,"Sanders +1",1694
"ABC News/Wash PostABC/WP","9/2 - 9/5","877 RV","4.0",52,43,"Sanders +9",7777
"CNNCNN","1/14 - 1/18","918 RV","3.8",55,42,"Sanders +13",6620
"CNNCNN","1/16 - 1/19","1051 RV","3.6",52,45,"Sanders +7",5369
"CNNCNN","10/17 - 10/20","892 RV","4.0",52,43,"Sanders +9",4802
"CNNCNN","12/12 - 12/15","888 RV","4.0",49,45,"Sanders +4",2388
"CNNCNN","4/25 - 4/29","456 RV","5.6",50,44,"Sanders +6",1591
"EmersonEmerson","1/21 - 1/23","1128 RV","2.8",51,49,"Sanders +2",6817
"EmersonEmerson","10/18 - 10/21","1000 RV","3.0",51,49,"Sanders +2",5097
"EmersonEmerson","11/17 - 11/20","1092 RV","2.9",50,49,"Sanders +1",1838
"EmersonEmerson","12/15 - 12/17","1222 RV","2.7",52,48,"Sanders +4",4736
"EmersonEmerson","2/14 - 2/16","1000 RV","3.3",51,49,"Sanders +2",6707
"EmersonEmerson","3/17 - 3/18","1153 RV","2.8",51,49,"Sanders +2",2589
"EmersonEmerson","4/11 - 4/14","914 RV","3.2",51,48,"Sanders +3",9891
"EmersonEmerson","5/10 - 5/13","1006 RV","3.0",54,46,"Sanders +8",5541
"EmersonEmerson","6/21 - 6/24","1096 RV","2.9",55,45,"Sanders +10",9204
"EmersonEmerson","7/27 - 7/29","1233 RV","2.7",51,49,"Sanders +2",2502
"EmersonEmerson","7/6 - 7/8","1100 RV","2.9",51,49,"Sanders +2",5028
"EmersonEmerson","8/24 - 8/26","1458 RV","2.5",52,48,"Sanders +4",7713
"EmersonEmerson","9/21 - 9/23","1019 RV","3.0",49,51,"Trump +2",3581
"FOX NewsFOX News","1/19 - 1/22","1005 RV","3.0",48,42,"Sanders +6",2164
