"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Warren","Bloomberg","Buttigieg","Klobuchar","Steyer","Gabbard","Harris","O'Rourke","Yang","Booker","Bennet","Castro","Williamson","Delaney","Bullock","Sestak","Patrick","Ryan","Inslee","Blasio","Gillibrand","Messam","Hickenlooper","Gravel","McAuliffe","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"33",NA,"rcp_average","6879","rcp_average","2/28 - 3/2","","","","",Sanders,,+12.0,#457fff,NA,NA,NA,NA,NA,"Sanders","","+12.0","#457fff",35,23,16,14, 6,4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Data for Progress (D)","126870","poll_rcp_avg","2/28 - 3/2","","516 LV","5.4","",Sanders,,+7.0,#457fff,2020-03-03 09:16:18,"http://filesforprogress.org/datasets/2020/2/super_tuesday/final/ca_3_2.pdf",2020-02-28,2020-03-02,"1","Sanders","","+7.0","#457fff",32,25,16,17, 5,3,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Emerson College","Emerson","126852","poll_rcp_avg","2/29 - 3/1","","545 LV","4.1","",Sanders,,+17.0,#457fff,2020-03-02 11:32:14,"https://emersonpolling.reportablenews.com/pr/california-2020-sanders-positioned-to-capture-california-on-super-tuesday",2020-02-29,2020-03-01,"1","Sanders","","+17.0","#457fff",38,21,16,11, 7,5, 2,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"8","Suffolk University","USA Today/Suffolk","126850","poll","2/26 - 2/29","","500 LV","","",Sanders,,+19.0,#457fff,2020-03-01 18:36:15,"https://www.usatoday.com/story/news/politics/elections/2020/03/01/super-tuesday-bernie-sanders-california-usa-today-suffolk-poll/4902797002/",2020-02-26,2020-02-29,"1","Sanders","","+19.0","#457fff",35,14,12,16, 7,5, 3,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"12",NA,"CBS News/YouGov","126848","poll","2/27 - 2/29","","1411 LV","","",Sanders,,+12.0,#457fff,2020-03-01 11:20:42,"https://drive.google.com/file/d/12inCh6uWKgHaqw6wpbLX-hewghd4H_np/view",2020-02-27,2020-02-29,"1","Sanders","","+12.0","#457fff",31,19,18,12, 9,4, 3,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Stanford/YouGov","126861","poll","2/26 - 2/28","","1020 RV","","",Sanders,,+9.0,#457fff,2020-03-02 17:56:29,"https://www.hoover.org/sites/default/files/hoover_ca_primary_toplines_20200228.pdf",2020-02-26,2020-02-28,"1","Sanders","","+9.0","#457fff",28,19,18,13, 9,6, 4,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","CNN/Opinion Research Corp.","CNN","126792","poll","2/22 - 2/26","","488 LV","","",Sanders,,+21.0,#457fff,2020-02-28 13:35:33,"https://cdn.cnn.com/cnn/2020/images/02/28/rel1_ca.pdf",2020-02-22,2020-02-26,"1","Sanders","","+21.0","#457fff",35,13,14,12, 7,6, 3,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"9",NA,"Berkeley IGS","126787","poll","2/20 - 2/25","","3002 LV","","",Sanders,,+17.0,#457fff,2020-02-28 07:22:29,"https://www.latimes.com/politics/story/2020-02-28/bernie-sanders-leading-in-california-poll",2020-02-20,2020-02-25,"1","Sanders","","+17.0","#457fff",34, 8,17,12,11,6, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"KQED/NPR","126717","poll","2/20 - 2/23","","1069 LV","","",Sanders,,+17.0,#457fff,2020-02-26 17:08:20,"https://www.kqed.org/news/11803348/kqed-poll-bernie-sanders-dominates-the-field-in-california",2020-02-20,2020-02-23,"1","Sanders","","+17.0","#457fff",37,12,20, 6,11,5, 3,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"UMass Lowell","126653","poll","2/12 - 2/20","","450 LV","","",Sanders,,+8.0,#457fff,2020-02-22 12:23:15,"https://www.uml.edu/docs/2020-California-topline_tcm18-322536.pdf",2020-02-12,2020-02-20,"1","Sanders","","+8.0","#457fff",24,13,16,12,12,7, 2,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
