"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Gabbard","Bloomberg","Warren","Klobuchar","Buttigieg","Steyer","Yang","Booker","Bennet","Delaney","Patrick","O'Rourke","Harris","Messam","Bullock","de Blasio","Ryan","Castro","Gillibrand","Moulton","Gravel","Hickenlooper","Inslee","Delaney","Williamson","Swalwell","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"9",NA,"rcp_average","6847","rcp_average","3/4 - 3/7","","","","",Biden,,+42.5,,NA,NA,NA,NA,NA,"Biden","","+42.5","",61,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"Florida Atlantic University","127009","poll_rcp_avg","3/5 - 3/7","","399 LV","4.9","",Biden,,+36.0,,2020-03-10 09:11:56,"https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-way-ahead-in-sunshine-state.php",2020-03-05,2020-03-07,"1","Biden","","+36.0","",61,25.0, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"St. Pete Polls","126939","poll_rcp_avg","3/4 - 3/4","","1882 LV","","",Biden,,+47.0,,2020-03-05 10:38:13,"https://www.realclearpolitics.com/docs/2020/St._Pete_Polls_Florida_March_5_2020_.pdf",2020-03-04,2020-03-04,"1","Biden","","+47.0","",61,12.0,NA,14, 5, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"St. Pete Polls","126753","poll","2/25 - 2/26","","2788 LV","","",Biden,,+9.0,,2020-02-27 07:49:45,"http://stpetepolls.org/files/StPetePolls_2020_State_DEMprimaryFebruary26_AG3D.pdf",2020-02-25,2020-02-26,"1","Biden","","+9.0","",34,13.0,NA,25, 5, 4, 8, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"St. Pete Polls","126636","poll","2/18 - 2/19","","2412 LV","","",Bloomberg,,+5.0,,2020-02-20 13:49:34,"http://stpetepolls.org/files/StPetePolls_2020_State_DEMprimaryFebruary19_Z8U3J.pdf",2020-02-18,2020-02-19,"1","Bloomberg","","+5.0","",27,11.0,NA,32, 5, 7, 8, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"St. Pete Polls","126509","poll","2/12 - 2/13","","3047 LV","","",Bloomberg,,+1.0,,2020-02-14 07:56:46,"http://stpetepolls.org/files/StPetePolls_2020_State_DEMprimaryFebruary13_YBN5.pdf",2020-02-12,2020-02-13,"1","Bloomberg","","+1.0","",26,10.0,NA,27, 5, 9,11, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"St. Pete Polls","126204","poll","1/27 - 1/28","","2590 LV","","",Biden,,+24.0,,2020-01-29 09:46:19,"http://stpetepolls.org/files/StPetePolls_2020_State_DEMprimary_January28_WN2A.pdf",2020-01-27,2020-01-28,"1","Biden","","+24.0","",41, 9.0,NA,17, 7, 5, 6, 2, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Florida Atlantic University","126004","poll","1/9 - 1/12","","494 RV","4.4","",Biden,,+26.0,,2020-01-15 13:03:14,"https://www.realclearpolitics.com/docs/2020/FAU_Florida_Jan_2020.pdf",2020-01-09,2020-01-12,"1","Biden","","+26.0","",42,16.0, 1, 7,10, 6, 3, 2, 5, 3, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Siena College/New York Times Upshot","NY Times/Siena","124870","poll","10/13 - 10/26","","236 LV","","",Biden,,+8.0,,2020-01-29 09:03:41,"https://www.nytimes.com/2019/11/08/us/politics/democrats-poll-moderates-battleground.html",2019-10-13,2019-10-26,"1","Biden","","+8.0","",27,13.0, 1,NA,19, 2, 5, 0, 0, 0,NA,NA,NA, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"6",NA,"Florida Atlantic University","123696","poll","9/12 - 9/15",""," RV","4.9","",Biden,,+10.0,,2019-09-18 12:14:33,"https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2019/warren-cutting-into-bidens-lead-in-florida.php",2019-09-12,2019-09-15,"1","Biden","","+10.0","",34,14.0, 1,NA,24, 0, 5,NA, 2, 1, 1, 0,NA, 2, 4, 3, 1, 1, 1, 0,NA,NA,NA,NA,NA, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
