"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Buttigieg","Warren","Klobuchar","Yang","Steyer","Gabbard","Bloomberg","Harris","O'Rourke","Booker","Bennet","Williamson","Delaney","Castro","Patrick","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","McAuliffe","Brown","Swalwell","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"46",NA,"rcp_average","6731","rcp_average","1/20 - 2/2","","","","",Sanders,,+3.7,#457fff,NA,NA,NA,NA,NA,"Sanders","","+3.7","#457fff",23,19.3,16.8,15.5, 9,3.3, 3,1.5, 1,NA,NA,NA,0.3,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Emerson College","Emerson","126310","poll_rcp_avg","1/31 - 2/2","","853 LV","3.3","",Sanders,,+7.0,#457fff,2020-02-02 18:23:37,"https://emersonpolling.reportablenews.com/pr/iowa-2020-sanders-on-top-going-into-caucus-night",2020-01-31,2020-02-02,"1","Sanders","","+7.0","#457fff",28,21.0,15.0,14.0,11,5.0, 4,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"19",NA,"CBS News/YouGov","126308","poll","1/22 - 1/31","","1835 RV","3.0","",Tie,,,,2020-02-02 11:08:50,"https://www.cbsnews.com/news/election-2020-battleground-tracker-what-could-happen-in-iowa-monday-2020-02-02/",2020-01-22,2020-01-31,"1","Tie","","","",25,25.0,21.0,16.0, 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"FRA/David Binder (D)","126314","poll_rcp_avg","1/28 - 1/30","","300 LV","","",Buttigieg,,+2.0,#990099,2020-02-03 12:32:49,"https://www.focusonruralamerica.com/wp-content/uploads/2020/02/200130-Iowa-Voter-Results.pdf",2020-01-28,2020-01-30,"1","Buttigieg","","+2.0","#990099",17,15.0,19.0,15.0,11,1.0, 3,3.0, 1,NA,NA,NA,0.0,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"DFP/Civiqs","126309","poll_rcp_avg","1/26 - 1/29","","615 LV","","",Sanders,,+7.0,#457fff,2020-02-02 12:57:36,"https://www.realclearpolitics.com/docs/2020/Iowa_Voter_Survey_DFP-Civiqs.pdf",2020-01-26,2020-01-29,"1","Sanders","","+7.0","#457fff",28,15.0,15.0,21.0, 8,5.0, 2,2.0,NA,NA,NA,NA,0.0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Monmouth University","Monmouth","126245","poll_rcp_avg","1/23 - 1/27","","544 LV","4.2","",Biden,,+2.0,#009900,2020-01-29 10:24:59,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_ia_012920/",2020-01-23,2020-01-27,"1","Biden","","+2.0","#009900",21,23.0,16.0,15.0,10,3.0, 4,1.0,NA,NA,NA,NA,1.0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"34",NA,"Iowa St./Civiqs","126203","poll","1/23 - 1/27","","655 LV","","",Sanders,,+5.0,#457fff,2020-02-02 12:58:09,"https://www.news.iastate.edu/news/2020/01/29/caucuspoll",2020-01-23,2020-01-27,"1","Sanders","","+5.0","#457fff",24,15.0,17.0,19.0,11,5.0, 4,2.0, 1,NA,NA,NA,0.0,NA, 1,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Emerson College","Emerson","126184","poll","1/23 - 1/26","","450 LV","","",Sanders,,+9.0,#457fff,2020-01-26 23:58:55,"https://emersonpolling.reportablenews.com/pr/iowa-2020-sanders-solidifies-frontrunner-status-in-iowa-while-klobuchar-nears-viability",2020-01-23,2020-01-26,"1","Sanders","","+9.0","#457fff",30,21.0,10.0,11.0,13,5.0, 5,5.0,NA,NA,NA,NA,0.0,NA, 1,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"16","Suffolk University","USA Today/Suffolk","126183","poll_rcp_avg","1/23 - 1/26","","500 LV","4.4","",Biden,,+6.0,#009900,2020-01-26 19:50:08,"https://www.usatoday.com/story/news/politics/elections/2020/01/26/iowa-poll-biden-leads-sanders-and-warren-one-week-before-caucuses/4582032002/",2020-01-23,2020-01-26,"1","Biden","","+6.0","#009900",19,25.0,18.0,13.0, 6,3.0, 2,1.0,NA,NA,NA,NA,0.0,NA, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"13","Siena College/New York Times Upshot","NY Times/Siena","126148","poll_rcp_avg","1/20 - 1/23","","584 LV","4.8","",Sanders,,+7.0,#457fff,2020-01-25 13:37:46,"https://www.nytimes.com/2020/01/25/us/politics/democratic-iowa-poll-sanders.html",2020-01-20,2020-01-23,"1","Sanders","","+7.0","#457fff",25,17.0,18.0,15.0, 8,3.0, 3,1.0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
