"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Warren","Sanders","Biden","Bloomberg","Buttigieg","Klobuchar","Gabbard","Steyer","Harris","Yang","Delaney","O'Rourke","Booker","Bullock","Bennet","Castro","Moulton","Sestak","de Blasio","Ryan","Williamson","Gillibrand","Messam","Inslee","Hickenlooper","Swalwell","Gravel","Patrick","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"7",NA,"rcp_average","6786","rcp_average","12/31 - 12/31","","","","",Sanders,,+4.0,,NA,NA,NA,NA,NA,"Sanders","","+4.0","",20.7,24.7,10.7,11.7,13.3,6, 2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Data for Progress (D)","126875","poll","2/28 - 3/2","","301 LV","","",Warren,,+2.0,,2020-03-03 08:01:09,"http://filesforprogress.org/datasets/2020/2/super_tuesday/final/ma_3_2.pdf",2020-02-28,2020-03-02,"1","Warren","","+2.0","",28.0,26.0,26.0,15.0, 2.0,1, 1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"Boston Globe/Suffolk","126819","poll","2/26 - 2/29","","500 LV","4.4","",Sanders,,+2.0,,2020-02-29 18:58:42,"https://assets.documentcloud.org/documents/6790395/SATURDAY-MA-Marginals.pdf",2020-02-26,2020-02-29,"1","Sanders","","+2.0","",22.0,24.0,11.0,13.0,12.0,5, 1,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"WBUR/MassINC","126788","poll","2/23 - 2/26","","426 LV","","",Sanders,,+8.0,,2020-02-28 07:26:19,"https://www.wbur.org/news/2020/02/28/wbur-poll-sanders-opens-substantial-lead-in-massachusetts-challenging-warren-on-her-home-turf",2020-02-23,2020-02-26,"1","Sanders","","+8.0","",17.0,25.0, 9.0,13.0,14.0,6, 1,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"UMass Amherst","126789","poll","2/18 - 2/24","","400 LV","","",Sanders,,+2.0,,2020-02-28 08:09:26,"https://htv-prod-media.s3.amazonaws.com/files/supertuesdaymatoplines-1582851435.pdf",2020-02-18,2020-02-24,"1","Sanders","","+2.0","",23.0,25.0,12.0, 9.0,14.0,7, 4,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"UMass Lowell","126650","poll","2/12 - 2/19","","450 LV","","",Sanders,,+1.0,,2020-02-21 11:00:21,"https://www.uml.edu/docs/2020-Mass-topline_tcm18-322473.pdf",2020-02-12,2020-02-19,"1","Sanders","","+1.0","",20.0,21.0,14.0,12.0,15.0,9, 3,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"WBUR/MassINC","124452","poll","10/16 - 10/20","","456 LV","","",Warren,,+15.0,,2019-10-23 09:05:28,"https://www.wbur.org/news/2019/10/23/wbur-poll-warren-medicare-for-all",2019-10-16,2019-10-20,"1","Warren","","+15.0","",33.0,13.0,18.0,NA, 7.0,1, 2,1.0, 3, 1, 1, 0, 0, 0, 0, 0,NA, 0,NA, 0, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"Boston Globe/Suffolk","123506","poll","9/3 - 9/5","","500 RV","4.4","",Biden,,+2.0,,2019-09-07 20:38:28,"https://www.bostonglobe.com/2019/09/07/read-full-results-suffolk-university-boston-globe-poll/4kjM6UIh4psGG4mNiePkOP/story.html",2019-09-03,2019-09-05,"1","Biden","","+2.0","",24.0, 8.0,26.0,NA, 5.0,0, 2,0.0, 3, 1, 0, 1, 1, 1, 1, 0,NA, 0, 0, 0, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Boston Globe/Suffolk","122253","poll","6/5 - 6/9","","370 RV","","",Biden,,+12.0,,2019-06-11 09:05:01,"https://www.bostonglobe.com/news/politics/2019/06/10/biden-leading-warren-among-democratic-voters-mass-poll-finds/GUVxw1pzDjA9Nau9cMAlCP/story.html",2019-06-05,2019-06-09,"1","Biden","","+12.0","",10.0, 6.0,22.0,NA, 8.0,0, 1,NA, 5, 1, 0, 1, 1, 0, 0, 0, 1,NA, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Emerson College","Emerson","121424","poll","4/4 - 4/7","","371 RV","5.0","",Sanders,,+3.0,,2019-04-07 18:19:57,"https://emersonpolling.reportablenews.com/pr/massachusetts-2020-sanders-biden-lead-warren-in-her-home-state",2019-04-04,2019-04-07,"1","Sanders","","+3.0","",14.0,26.0,23.0,NA,11.0,2, 1,NA, 7, 1, 1, 8, 2,NA,NA, 1,NA,NA,NA,NA,NA, 0,NA, 0,NA,NA,NA,NA,88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%", 5,6.1,-0.9,-1.1,-1,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"9",NA,"UMass Amherst","120667","poll","11/7 - 11/14","","655 RV","","",Biden,,+5.0,,2019-01-31 12:36:08,"https://www.umass.edu/newsoffice/article/new-umass-amherst-polls-show-biden-early",2018-11-07,2018-11-14,"1","Biden","","+5.0","",11.0,14.0,19.0,NA,NA,3,NA,NA, 6,NA,NA,10, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
