"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Warren","Bloomberg","Buttigieg","Klobuchar","Gabbard","Harris","Booker","Yang","O'Rourke","Castro","Bennet","Delaney","Sestak","Bullock","Williamson","Hickenlooper","Gillibrand","Inslee","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"9",NA,"rcp_average","6835","rcp_average","3/4 - 3/9","","","","",Biden,,+22.4,,NA,NA,NA,NA,NA,"Biden","","+22.4","",55.7,33.3, 2.3, 2, 0.5,0.7,1.5,55.7,33.3,2.3, 2,0.5,0.7,1.5,55.7,33.3,2.3, 2,0.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Data for Progress (D)","127003","poll_rcp_avg","3/7 - 3/9","","320 LV","5.5","",Biden,,+21.0,,2020-03-09 22:40:57,"http://filesforprogress.org/datasets/2020/3/primary_polling/mi_3_9.pdf",2020-03-07,2020-03-09,"1","Biden","","+21.0","",59.0,38.0,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Monmouth University","Monmouth","126977","poll_rcp_avg","3/5 - 3/8","","411 LV","4.8","",Biden,,+15.0,,2020-03-09 13:10:03,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_MI_030920/",2020-03-05,2020-03-08,"1","Biden","","+15.0","",51.0,36.0, 1.0, 3, 0.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"8",NA,"Yahoo News/YouGov","126990","poll_rcp_avg","3/6 - 3/8",""," RV","","",Biden,,+12.0,,2020-03-09 15:26:44,"https://news.yahoo.com/new-yahoo-news-you-gov-poll-shows-biden-crushing-sanders-in-michigan-and-other-battleground-states-ahead-of-tuesdays-primary-180347138.html",2020-03-06,2020-03-08,"1","Biden","","+12.0","",54.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Mitchell Research","126955","poll_rcp_avg","3/8 - 3/8","","602 LV","4.0","",Biden,,+21.0,,2020-03-09 08:40:37,"https://www.realclearpolitics.com/docs/2020/Mitchell_Poll_of_MI_Dem_Pres_Primary_Press_Release_3-8-20.pdf",2020-03-08,2020-03-08,"1","Biden","","+21.0","",54.0,33.0, 3.0, 1, 1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Target-Insyght","126975","poll_rcp_avg","3/8 - 3/8","","600 LV","4.0","",Biden,,+41.0,,2020-03-09 11:16:29,"https://www.realclearpolitics.com/docs/2020/Target_Insyght_Michigan_Dem_Primary_March_9_2020.pdf",2020-03-08,2020-03-08,"1","Biden","","+41.0","",65.0,24.0, 3.0, 2,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Detroit Free Press","126957","poll_rcp_avg","3/4 - 3/6","","400 LV","4.9","",Biden,,+24.0,,2020-03-09 08:51:23,"https://www.freep.com/story/news/politics/elections/2020/03/09/polls-joe-biden-holds-lead-over-bernie-sanders-michigan-primaries/4994142002/",2020-03-04,2020-03-06,"1","Biden","","+24.0","",51.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Detroit News/WDIV-TV","126887","poll","2/28 - 3/3","","600 LV","4.0","",Biden,,+6.0,,2020-03-04 08:25:01,"https://www.clickondetroit.com/decision-2020/2020/03/04/poll-where-michigan-voters-stand-ahead-of-the-2020-democratic-primary-election/",2020-02-28,2020-03-03,"1","Biden","","+6.0","",29.0,23.0, 7.0,11, 6.0,3.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Univ. of Wis/State Journal","126655","poll","2/11 - 2/20","","662 LV","","",Sanders,,+9.0,,2020-02-23 11:30:00,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","","+9.0","",16.0,25.0,13.0,13,11.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Emerson College","Emerson","124733","poll","10/31 - 11/3","","454 RV","4.6","",Biden,,+6.0,,2019-11-03 23:32:15,"https://emersonpolling.reportablenews.com/pr/michigan-2020-democrats-aim-to-take-back-the-state",2019-10-31,2019-11-03,"1","Biden","","+6.0","",34.0,28.0,19.0,NA, 8.0,0.0,1.0, 3.0, 3.0,2.0,NA,0.0,0.0,0.0, 0.0, 0.0,0.0,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
