"","fte_pollster_ratings_id","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Klobuchar","Trump","fte_pollster_name","Pollster","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"13",NA,"rcp_average","6803","rcp_average","2/5 - 2/26","","","","",Klobuchar,Democrat,+1.6,,NA,NA,NA,NA,NA,"Klobuchar","Democrat","+1.6","",47,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",103,"FOX News","126775","poll_rcp_avg","2/23 - 2/26","","1000 RV","3.0","",Klobuchar,Democrat,+1.0,,2020-02-27 18:39:58,"https://www.foxnews.com/politics/fox-news-poll-february-23-26-2020",2020-02-23,2020-02-26,"1","Klobuchar","Democrat","+1.0","",44,43.0,"Fox News/Beacon Research/Shaw & Co. Research","Fox News/Beacon Research/Shaw & Co. Research", 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"14",NA,"CBS News/YouGov","126667","poll_rcp_avg","2/20 - 2/22","","10000 RV","1.2","",Trump,Republican,+1.0,,2020-02-23 11:24:32,"https://drive.google.com/file/d/1OpQxzzYY4MXgQMfo2j_XicB_tEUtt7eI/view",2020-02-20,2020-02-22,"1","Trump","Republican","+1.0","",44,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5", 88,"Emerson","126556","poll_rcp_avg","2/16 - 2/18","","1250 RV","2.7","",Trump,Republican,+2.0,,2020-02-19 08:32:12,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1","Trump","Republican","+2.0","",49,51.0,"Emerson College","Emerson College",142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"1",  3,"ABC News/Wash Post","126567","poll_rcp_avg","2/14 - 2/17","","913 RV","4.0","",Klobuchar,Democrat,+2.0,,2020-02-19 08:31:48,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1","Klobuchar","Democrat","+2.0","",48,46.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"9",221,"NBC News/Wall St. Jrnl","126547","poll_rcp_avg","2/14 - 2/17","","900 RV","3.3","",Klobuchar,Democrat,+3.0,,2020-02-18 17:27:41,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1","Klobuchar","Democrat","+3.0","",48,45.0,"NBC News/Wall Street Journal","NBC News/Wall Street Journal", 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"8",183,"NPR/PBS/Marist","126527","poll_rcp_avg","2/13 - 2/16","","1164 RV","3.7","",Klobuchar,Democrat,+2.0,,2020-02-18 08:00:37,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1","Klobuchar","Democrat","+2.0","",47,45.0,"Marist College","Marist College",172,"yes","yes","Live","no",-1.1,-1.0,"A+","R +0.2","84%","24%",5.2,6.3,-1.0,-1.1,-0.9,-1.0,111,"R +0.2","R +0.2","R +0.0",5.1,0.03
"10",267,"Quinnipiac","126423","poll_rcp_avg","2/5 - 2/9","","1519 RV","2.5","",Klobuchar,Democrat,+6.0,,2020-02-10 14:29:29,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1","Klobuchar","Democrat","+6.0","",49,43.0,"Quinnipiac University","Quinnipiac University",204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"12",343,"LA Times/USC","126287","poll","1/15 - 1/28","","4869 RV","2.0","",Klobuchar,Democrat,+2.0,,2020-01-31 08:44:44,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1","Klobuchar","Democrat","+2.0","",42,40.0,"USC Dornsife/LA Times","USC Dornsife/LA Times",  6,"yes","no","Online","no", 3.5, 1.2,"B/C°","D +0.3","67%","83%",5.3,3.1, 2.3, 3.5, 0.8, 1.2,  6,"D +1.2","D +0.3","D +1.1",9.0,0.00
"2",  3,"ABC News/Wash Post","126190","poll","1/20 - 1/23","","880 RV","4.0","",Klobuchar,Democrat,+1.0,,2020-01-27 08:10:12,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1","Klobuchar","Democrat","+1.0","",48,47.0,"ABC News/Washington Post","ABC News/Washington Post", 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
