"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Trump","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"83",NA,"rcp_average","6250","rcp_average","2/13 - 3/13","","","","",Sanders,Democrat,+5.0,,NA,NA,NA,NA,NA,"Sanders","Democrat","+5.0","",49.9,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","127089","poll_rcp_avg","3/11 - 3/13","","900 RV","3.3","",Sanders,Democrat,+4.0,,2020-03-15 11:13:17,"https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html",2020-03-11,2020-03-13,"1","Sanders","Democrat","+4.0","",49.0,45.0,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"82","YouGov","Economist/YouGov","127043","poll_rcp_avg","3/8 - 3/10","","1191 RV","2.9","",Sanders,Democrat,+4.0,,2020-03-11 10:05:14,"https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf",2020-03-08,2020-03-10,"1","Sanders","Democrat","+4.0","",47.0,43.0,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"71","Quinnipiac University","Quinnipiac","126982","poll_rcp_avg","3/5 - 3/8","","1261 RV","2.8","",Sanders,Democrat,+7.0,,2020-03-09 15:12:36,"https://poll.qu.edu/national/release-detail?ReleaseID=3657",2020-03-05,2020-03-08,"1","Sanders","Democrat","+7.0","",49.0,42.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"8","CNN/Opinion Research Corp.","CNN","126963","poll_rcp_avg","3/4 - 3/7","","1084 RV","3.5","",Sanders,Democrat,+7.0,,2020-03-09 15:12:01,"https://cdn.cnn.com/cnn/2020/images/03/09/rel2a.-.2020.pdf",2020-03-04,2020-03-07,"1","Sanders","Democrat","+7.0","",52.0,45.0, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"40","IBD/TIPP","IBD/TIPP","126915","poll_rcp_avg","2/20 - 2/29","","839 RV","3.5","",Sanders,Democrat,+2.0,,2020-03-04 13:13:58,"https://www.investors.com/bernie-sanders-leads-joe-biden-super-tuesday-march-2020-ibd-tipp-poll/",2020-02-20,2020-02-29,"1","Sanders","Democrat","+2.0","",49.0,47.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"37","Harris Insights & Analytics","Harvard-Harris","127055","poll_rcp_avg","2/26 - 2/28","","2592 RV","","",Sanders,Democrat,+8.0,,2020-03-11 17:53:02,"https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/6677acd8-4be1-4a78-92e1-dbbd51036f1d/HHP_Feb20.pdf",2020-02-26,2020-02-28,"1","Sanders","Democrat","+8.0","",54.0,46.0,133,169,"yes","no","Online","no", 0.8, 0.9,"C+","R +1.3","83%","49%",5.1,3.5, 1.8, 0.8, 0.6, 0.9,169,"R +1.5","R +1.3","D +0.7",4.0,0.00
"85",NA,"Yahoo News/YouGov","126798","poll","2/26 - 2/27",""," RV","","",Sanders,Democrat,+6.0,,2020-02-28 17:52:56,"https://news.yahoo.com/new-yahoo-news-you-gov-poll-biden-holds-edge-over-sanders-in-battlegrounds-171601673.html",2020-02-26,2020-02-27,"1","Sanders","Democrat","+6.0","",48.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Fox News/Beacon Research/Shaw & Co. Research","FOX News","126770","poll_rcp_avg","2/23 - 2/26","","1000 RV","3.0","",Sanders,Democrat,+7.0,,2020-02-27 18:36:35,"https://www.foxnews.com/politics/fox-news-poll-february-23-26-2020",2020-02-23,2020-02-26,"1","Sanders","Democrat","+7.0","",49.0,42.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"84",NA,"CBS News/YouGov","126663","poll","2/20 - 2/22","","10000 RV","1.2","",Sanders,Democrat,+3.0,,2020-02-23 11:21:20,"https://drive.google.com/file/d/1OpQxzzYY4MXgQMfo2j_XicB_tEUtt7eI/view",2020-02-20,2020-02-22,"1","Sanders","Democrat","+3.0","",47.0,44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Emerson College","Emerson","126554","poll_rcp_avg","2/16 - 2/18","","1250 RV","2.7","",Sanders,Democrat,+2.0,,2020-02-18 21:56:43,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1","Sanders","Democrat","+2.0","",51.0,49.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"5","ABC News/Washington Post","ABC News/Wash Post","126563","poll_rcp_avg","2/14 - 2/17","","913 RV","4.0","",Sanders,Democrat,+6.0,,2020-02-19 08:25:25,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1","Sanders","Democrat","+6.0","",51.0,45.0,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"53","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","126545","poll","2/14 - 2/17","","900 RV","3.3","",Sanders,Democrat,+4.0,,2020-02-18 17:26:11,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1","Sanders","Democrat","+4.0","",50.0,46.0,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"46","Marist College","NPR/PBS/Marist","126525","poll_rcp_avg","2/13 - 2/16","","1164 RV","3.7","",Sanders,Democrat,+3.0,,2020-02-18 07:58:51,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1","Sanders","Democrat","+3.0","",48.0,45.0,183,172,"yes","yes","Live","no",-1.1,-1.0,"A+","R +0.2","84%","24%",5.2,6.3,-1.0,-1.1,-0.9,-1.0,111,"R +0.2","R +0.2","R +0.0",5.1,0.03
"70","Quinnipiac University","Quinnipiac","126419","poll","2/5 - 2/9","","1519 RV","2.5","",Sanders,Democrat,+8.0,,2020-02-10 14:26:44,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1","Sanders","Democrat","+8.0","",51.0,43.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"39","IBD/TIPP","IBD/TIPP","126294","poll","1/23 - 1/30","","856 RV","3.3","",Trump,Republican,+2.0,,2020-01-31 15:51:36,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1","Trump","Republican","+2.0","",47.0,49.0,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"50","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","126305","poll","1/26 - 1/29","","1000 RV","3.1","",Sanders,Democrat,+4.0,,2020-02-02 10:42:30,"https://www.nbcnews.com/politics/meet-the-press/nbc-wsj-poll-country-remains-divided-over-trump-s-impeachment-n1128326",2020-01-26,2020-01-29,"1","Sanders","Democrat","+4.0","",49.0,45.0,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"81","USC Dornsife/LA Times","LA Times/USC","126284","poll","1/15 - 1/28","","4869 RV","2.0","",Sanders,Democrat,+7.0,,2020-01-31 08:42:55,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1","Sanders","Democrat","+7.0","",47.0,40.0,343,  6,"yes","no","Online","no", 3.5, 1.2,"B/C°","D +0.3","67%","83%",5.3,3.1, 2.3, 3.5, 0.8, 1.2,  6,"D +1.2","D +0.3","D +1.1",9.0,0.00
"3","ABC News/Washington Post","ABC News/Wash Post","126186","poll","1/20 - 1/23","","880 RV","4.0","",Sanders,Democrat,+2.0,,2020-01-27 08:07:53,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1","Sanders","Democrat","+2.0","",49.0,47.0,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"25","Emerson College","Emerson","126134","poll","1/21 - 1/23","","1128 RV","2.8","",Sanders,Democrat,+2.0,,2020-01-23 22:48:43,"https://emersonpolling.reportablenews.com/pr/national-2020-biden-and-sanders-battle-in-two-way-race-for-democratic-nomination",2020-01-21,2020-01-23,"1","Sanders","Democrat","+2.0","",51.0,49.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"29","Fox News/Beacon Research/Shaw & Co. Research","FOX News","126171","poll","1/19 - 1/22","","1005 RV","3.0","",Sanders,Democrat,+6.0,,2020-01-26 09:35:53,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1","Sanders","Democrat","+6.0","",48.0,42.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
