"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Warren","Bloomberg","Buttigieg","Klobuchar","Harris","O'Rourke","Yang","Gabbard","Booker","Steyer","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"280",NA,"rcp_average","6730","rcp_average","3/18 - 3/31","","","","",Biden,,+20.5,#009900,NA,NA,NA,NA,NA,"Biden","","+20.5","#009900",56,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","YouGov","Economist/YouGov","127367","poll_rcp_avg","3/29 - 3/31","","573 LV","","",Biden,,+15.0,#009900,2020-04-01 13:35:25,"https://docs.cdn.yougov.com/p8nwhxp50n/econTabReport.pdf",2020-03-29,2020-03-31,"1","Biden","","+15.0","#009900",55,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"260",NA,"The Hill/HarrisX","127326","poll_rcp_avg","3/29 - 3/30","","425 RV","","",Biden,,+22.0,#009900,2020-03-31 00:03:22,"https://thehill.com/hilltv/what-americas-thinking/490255-poll-biden-leads-sanders-by-22-points-in-new-2020-democratic",2020-03-29,2020-03-30,"1","Biden","","+22.0","#009900",54,32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Morning Consult","Morning Consult","127327","poll_rcp_avg","3/23 - 3/29","","15101 RV","","",Biden,,+25.0,#009900,2020-03-31 00:05:18,"https://morningconsult.com/2020-democratic-primary/",2020-03-23,2020-03-29,"1","Biden","","+25.0","#009900",61,36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"49","Harris Insights & Analytics","Harvard-Harris","127309","poll_rcp_avg","3/24 - 3/26","","903 RV","","",Biden,,+26.0,#009900,2020-03-30 16:55:29,"https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_March2020_RegisteredVoters_Topline.pdf",2020-03-24,2020-03-26,"1","Biden","","+26.0","#009900",58,32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,169,"yes","no","Online","no", 0.8, 0.9,"C+","R +1.3","83%","49%",5.1,3.5, 1.8, 0.8, 0.6, 0.9,169,"R +1.5","R +1.3","D +0.7",4.0,0.00
"4","ABC News/Washington Post","ABC News/Wash Post","127301","poll_rcp_avg","3/22 - 3/25","","388 RV","","",Biden,,+16.0,#009900,2020-03-29 00:32:13,"https://www.washingtonpost.com/politics/poll-shows-trump-and-biden-in-a-competitive-race-for-the-white-house/2020/03/28/515cb8ba-7037-11ea-b148-e4ce3fbd85b5_story.html",2020-03-22,2020-03-25,"1","Biden","","+16.0","#009900",55,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"84","Ipsos","Reuters/Ipsos","127248","poll_rcp_avg","3/18 - 3/24","","1981 RV","","",Biden,,+19.0,#009900,2020-03-25 00:45:32,"https://www.realclearpolitics.com/docs/2020/Ipsos_March_18-24_2020.pdf",2020-03-18,2020-03-24,"1","Biden","","+19.0","#009900",53,34.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"228","YouGov","Economist/YouGov","127261","poll","3/22 - 3/24","","547 LV","","",Biden,,+18.0,#009900,2020-03-25 10:02:07,"https://docs.cdn.yougov.com/bfiid7tfh3/econTabReport.pdf",2020-03-22,2020-03-24,"1","Biden","","+18.0","#009900",57,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"112","Morning Consult","Morning Consult","127237","poll","3/16 - 3/22","","16180 LV","","",Biden,,+24.0,#009900,2020-03-24 09:10:33,"https://morningconsult.com/2020-democratic-primary/",2020-03-16,2020-03-22,"1","Biden","","+24.0","#009900",60,36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"36","Emerson College","Emerson","127229","poll","3/18 - 3/19","","519 RV","4.3","",Biden,,+12.0,#009900,2020-03-20 15:48:24,"https://emersonpolling.reportablenews.com/pr/march-national-poll-70-of-americans-worried-about-catching-coronavirus",2020-03-18,2020-03-19,"1","Biden","","+12.0","#009900",54,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"220","YouGov","Economist/YouGov","127180","poll","3/15 - 3/17","","551 LV","","",Biden,,+21.0,#009900,2020-03-19 11:45:36,"https://docs.cdn.yougov.com/fcdckgt368/econTabReport.pdf",2020-03-15,2020-03-17,"1","Biden","","+21.0","#009900",57,36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"87","Ipsos","Reuters/Ipsos","127111","poll","3/13 - 3/16","","458 RV","","",Biden,,+9.0,#009900,2020-03-17 11:37:18,"https://www.realclearpolitics.com/docs/2020/Ipsos_Dem_Primary_March_13_to_16_2020.pdf",2020-03-13,2020-03-16,"1","Biden","","+9.0","#009900",48,39.0,NA,NA,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
