"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Buttigieg","Warren","Klobuchar","Steyer","Gabbard","O'Rourke","Harris","Booker","Yang","Castro","Bloomberg","Bennet","Williamson","Bullock","Delaney","Patrick","Ryan","de Blasio","Gillibrand","Hickenlooper","Inslee","Moulton","Messam","Gravel","Swalwell","Sestak","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"18",NA,"rcp_average","6866","rcp_average","2/19 - 2/21","","","","",Sanders,,+16.5,#457fff,NA,NA,NA,NA,NA,"Sanders","","+16.5","#457fff",32.5,16,16,14, 9.5, 9, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Data for Progress (D)","126652","poll_rcp_avg","2/19 - 2/21","","1010 LV","","",Sanders,,+19.0,#457fff,2020-02-22 08:45:26,"http://filesforprogress.org/datasets/2020/2/nv/nv_2_21_2020.pdf",2020-02-19,2020-02-21,"1","Sanders","","+19.0","#457fff",35.0,16,15,16, 8.0, 8, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"KLAS-TV/Emerson","126649","poll_rcp_avg","2/19 - 2/20","","425 LV","","",Sanders,,+13.0,#457fff,2020-02-20 18:07:47,"https://emersonpolling.reportablenews.com/pr/nevada-2020-sanders-with-comfortable-lead-heading-into-caucus-tight-race-for-second-place",2020-02-19,2020-02-20,"1","Sanders","","+13.0","#457fff",30.0,16,17,12,11.0,10, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Data for Progress (D)","126519","poll","2/12 - 2/15","","766 LV","","",Sanders,,+19.0,#457fff,2020-02-17 18:39:43,"http://filesforprogress.org/datasets/2020/2/nv/nv_2_17_2020.pdf",2020-02-12,2020-02-15,"1","Sanders","","+19.0","#457fff",35.0,14,15,16, 9.0,10, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Las Vegas Review-Journal","126517","poll","2/11 - 2/13","","413 LV","4.8","",Sanders,,+7.0,#457fff,2020-02-14 12:19:49,"https://www.reviewjournal.com/news/politics-and-government/nevada/sanders-holds-lead-heading-into-nevadas-democratic-caucuses-poll-finds-1957583/",2020-02-11,2020-02-13,"1","Sanders","","+7.0","#457fff",25.0,18,10,13,10.0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Suffolk University","USA Today/Suffolk","125916","poll","1/8 - 1/11","","500 LV","4.4","",Biden,,+1.0,#009900,2020-01-14 09:42:51,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2020/1_14_2020_marginals_pdftxt.pdf",2020-01-08,2020-01-11,"1","Biden","","+1.0","#009900",18.0,19, 8,11, 4.0, 8, 1,NA,NA, 2, 4,NA,NA, 0, 0,NA, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"4","Fox News/Beacon Research/Shaw & Co. Research","FOX News","125881","poll","1/5 - 1/8","","635 LV","4.0","",Biden,,+6.0,#009900,2020-01-09 18:46:50,"https://www.foxnews.com/politics/fox-news-poll-biden-and-sanders-vie-for-lead-in-nevada-biden-tops-trump",2020-01-05,2020-01-08,"1","Biden","","+6.0","#009900",17.0,23, 6,12, 2.0,12, 2,NA,NA, 3, 4,NA, 2, 0, 1,NA, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"5","Fox News/Beacon Research/Shaw & Co. Research","FOX News","124957","poll","11/10 - 11/13","","627 RV","4.0","",Biden,,+6.0,#009900,2019-11-14 22:52:40,"https://www.foxnews.com/politics/fox-news-poll-biden-has-edge-over-dems-in-nevada-bests-trump-by-7-points",2019-11-10,2019-11-13,"1","Biden","","+6.0","#009900",18.0,24, 8,18, 2.0, 5, 2,NA, 4, 1, 3, 1,NA, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA, 0,NA,NA, 0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"9",NA,"CBS News/YouGov","124972","poll","11/6 - 11/13","","708 LV","","",Biden,,+10.0,#009900,2019-11-17 11:31:31,"https://drive.google.com/file/d/1jgKZ5VeYaiRia45NZeDD9DLOnHUgscCV/view",2019-11-06,2019-11-13,"1","Biden","","+10.0","#009900",23.0,33, 9,21, 2.0, 2, 0,NA, 4, 2, 1, 1,NA, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Emerson College","Emerson","124729","poll","10/31 - 11/2","","451 RV","4.6","",Biden,,+8.0,#009900,2019-11-03 23:10:48,"https://emersonpolling.reportablenews.com/pr/nevada-2020-biden-extends-lead-warren-jumps-to-second",2019-10-31,2019-11-02,"1","Biden","","+8.0","#009900",19.0,30, 5,22, 1.0, 3, 1,NA, 5, 1, 5, 1,NA, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
