"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Buttigieg","Klobuchar","Warren","Biden","Yang","Gabbard","Steyer","Patrick","Bennet","Harris","O'Rourke","Booker","Williamson","Bloomberg","Castro","Delaney","Bullock","Sestak","Messam","de Blasio","Hickenlooper","Gillibrand","Inslee","Moulton","Gravel","Brown","McAuliffe","Swalwell","Kennedy","O'Malley","Zuckerberg","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"49",NA,"rcp_average","6276","rcp_average","2/6 - 2/9","","","","",Sanders,,+7.4,#457fff,NA,NA,NA,NA,NA,"Sanders","","+7.4","#457fff",28.7,21.3,11.7,11,11,3.7,3.3,1.7, 1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Boston Globe/Suffolk","126404","poll_rcp_avg","2/8 - 2/9","","500 LV","","",Sanders,,+8.0,#457fff,2020-02-09 22:46:22,"https://www.suffolk.edu/academics/research-at-suffolk/political-research-center/polls/new-hampshire",2020-02-08,2020-02-09,"1","Sanders","","+8.0","#457fff",27.0,19.0,14.0,12,12,3.0,3.0,2.0, 1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"CNN/UNH","126413","poll_rcp_avg","2/6 - 2/9","","365 LV","5.1","",Sanders,,+7.0,#457fff,2020-02-10 12:16:40,"https://scholars.unh.edu/cgi/viewcontent.cgi?article=1574&amp;context=survey_center_polls",2020-02-06,2020-02-09,"1","Sanders","","+7.0","#457fff",29.0,22.0, 7.0,10,11,4.0,5.0,1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"WHDH/Emerson","126405","poll_rcp_avg","2/8 - 2/9","","500 LV","4.3","",Sanders,,+7.0,#457fff,2020-02-10 13:02:52,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-8-sanders-heads-into-primary-with-lead-buttigieg-within-margin-of-error",2020-02-08,2020-02-09,"1","Sanders","","+7.0","#457fff",30.0,23.0,14.0,11,10,4.0,2.0,2.0, 1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Boston Globe/Suffolk","126400","poll","2/7 - 2/8","","500 LV","","",Sanders,,+2.0,#457fff,2020-02-08 23:42:30,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/2-8-20_final_nh_tracking_marginals.pdf?la=en&amp;hash=3CA7E48FD91E05169F46419567102D731E091F28",2020-02-07,2020-02-08,"1","Sanders","","+2.0","#457fff",24.0,22.0, 9.0,13,10,3.0,2.0,2.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"Boston Herald/FPU","126403","poll","2/5 - 2/8","","512 LV","","",Sanders,,+3.0,#457fff,2020-02-09 13:34:05,"https://www.bostonherald.com/2020/02/09/bernie-sanders-pete-buttigieg-in-a-statistical-dead-heat-latest-poll-shows/",2020-02-05,2020-02-08,"1","Sanders","","+3.0","#457fff",23.0,20.0, 6.0,16,14,3.0,0.0,2.0, 0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"CBS News/YouGov","126402","poll","2/5 - 2/8","","848 LV","","",Sanders,,+4.0,#457fff,2020-02-09 10:54:49,"https://drive.google.com/file/d/1Gapsi49dofC_4vQSFVeJGSlEIXg2wjfx/view",2020-02-05,2020-02-08,"1","Sanders","","+4.0","#457fff",29.0,25.0,10.0,17,12,1.0,2.0,1.0, 1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"CNN/UNH","126401","poll","2/5 - 2/8","","384 LV","","",Sanders,,+7.0,#457fff,2020-02-09 10:35:42,"https://scholars.unh.edu/survey_center_polls/574/",2020-02-05,2020-02-08,"1","Sanders","","+7.0","#457fff",28.0,21.0, 6.0, 9,12,4.0,5.0,2.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,"WHDH/Emerson","126399","poll","2/7 - 2/8","","500 LV","","",Sanders,,+10.0,#457fff,2020-02-08 23:10:09,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-7-debate-shifts-momentum-for-candidates-but-sanders-stays-in-strong-position",2020-02-07,2020-02-08,"1","Sanders","","+10.0","#457fff",30.0,20.0,13.0,12,11,4.0,3.0,2.0, 1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Boston Globe/Suffolk","126396","poll","2/6 - 2/7","","500 LV","","",Buttigieg,,+1.0,#990099,2020-02-07 23:22:10,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/2-7-20_final_nh_tracking_marginals.pdf?la=en&amp;hash=A8D45C7F0186A711B623DB41D91EBAF2557C581D",2020-02-06,2020-02-07,"1","Buttigieg","","+1.0","#990099",24.0,25.0, 6.0,14,11,3.0,2.0,2.0, 0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
