"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Bloomberg","Warren","Klobuchar","Buttigieg","Gabbard","Harris","Booker","Yang","Castro","Steyer","Bennet","Bullock","Williamson","Messam","Sestak","Delaney","O'Rourke","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"20",NA,"rcp_average","6874","rcp_average","2/27 - 3/2","","","","",Biden,,+13.4,#009900,NA,NA,NA,NA,NA,"Biden","","+13.4","#009900",36.7,23.3,14.3,10.7,3.3, 3.3, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Civitas (R)","126864","poll_rcp_avg","3/1 - 3/2","","543 LV","4.2","",Biden,,+27.0,#009900,2020-03-03 07:46:43,"https://www.realclearpolitics.com/docs/2020/Civitas_NC_Dem_FInal.pdf",2020-03-01,2020-03-02,"1","Biden","","+27.0","#009900",45.0,18.0,11.0, 7.0,3.0, 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Data for Progress (D)","126867","poll_rcp_avg","2/28 - 3/2","","334 LV","5.3","",Biden,,+9.0,#009900,2020-03-03 09:19:04,"http://filesforprogress.org/datasets/2020/2/super_tuesday/final/nc_3_2.pdf",2020-02-28,2020-03-02,"1","Biden","","+9.0","#009900",36.0,27.0,18.0,14.0,2.0, 3.0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"East Carolina U.","126823","poll_rcp_avg","2/27 - 2/28","","499 LV","","",Biden,,+4.0,#009900,2020-03-01 09:46:32,"https://surveyresearch-ecu.reportablenews.com/pr/biden-and-sanders-in-close-race-in-north-carolina-presidential-primary-potential-general-election-matchups-competitive",2020-02-27,2020-02-28,"1","Biden","","+4.0","#009900",29.0,25.0,14.0,11.0,5.0, 4.0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"High Point","126860","poll","2/21 - 2/28","","274 LV","","",Sanders,,+8.0,#457fff,2020-03-02 11:30:29,"http://www.highpoint.edu/src/files/2020/03/70memoA.pdf",2020-02-21,2020-02-28,"1","Sanders","","+8.0","#457fff",14.0,28.0,20.0,12.0,4.0, 8.0, 1,NA,NA,NA,NA, 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Civitas (R)","126795","poll","2/26 - 2/27","","587 LV","","",Biden,,+8.0,#009900,2020-02-28 15:02:38,"https://mcusercontent.com/259a50ef0a1608ab2bc2cf891/files/a58dc4e6-e2c2-49f5-9a17-84fdc61bc9f3/Civitas_Democratic_Presidential_Tracking_RD_2_Toplines.pdf",2020-02-26,2020-02-27,"1","Biden","","+8.0","#009900",27.0,19.0,16.0,11.0,5.0, 4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Data for Progress (D)","126817","poll","2/23 - 2/27","","536 LV","","",Sanders,,+2.0,#457fff,2020-02-28 22:43:29,"http://filesforprogress.org/datasets/2020/2/super_tuesday/nc_2_28.pdf",2020-02-23,2020-02-27,"1","Sanders","","+2.0","#457fff",25.0,27.0,18.0,11.0,6.0,10.0, 1,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"NBC News/Marist","126821","poll","2/23 - 2/27","","568 LV","","",Sanders,,+2.0,#457fff,2020-03-01 09:26:27,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-NC-NOS-and-Tables_2002281453.pdf",2020-02-23,2020-02-27,"1","Sanders","","+2.0","#457fff",24.0,26.0,15.0,11.0,5.0, 7.0, 1,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Public Policy Polling","PPP (D)","126699","poll","2/23 - 2/24","","852 LV","","",Biden,,+3.0,#009900,2020-02-25 09:05:43,"https://www.publicpolicypolling.com/wp-content/uploads/2020/02/NorthCarolinaResultsFebruary2020.pdf",2020-02-23,2020-02-24,"1","Biden","","+3.0","#009900",23.0,20.0,17.0,11.0,4.0, 9.0, 1,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"10",NA,"Civitas (R)","126716","poll","2/21 - 2/23","","561 LV","","",Tie,,,,2020-02-25 15:20:02,"https://www.nccivitas.org/polling/civitas-primary-tracking-poll-biden-bloomberg-sanders-tied-one-week-nc-primary/",2020-02-21,2020-02-23,"1","Tie","","","",20.0,20.0,20.0, 9.0,6.0, 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
