"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Steyer","Buttigieg","Warren","Klobuchar","Gabbard","Harris","Booker","O'Rourke","Yang","Castro","Patrick","Bloomberg","Williamson","Delaney","Bennet","Ryan","Bullock","de Blasio","Hickenlooper","Inslee","Gillibrand","Moulton","Gravel","Messam","Swalwell","Abrams","Brown","Sestak","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"31",NA,"rcp_average","6824","rcp_average","2/23 - 2/27","","","","",Biden,,+15.4,#009900,NA,NA,NA,NA,NA,"Biden","","+15.4","#009900",39.7,24.3,11.7,11.3, 6,5.7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Emerson College","Emerson","126768","poll_rcp_avg","2/26 - 2/27","","550 LV","","",Biden,,+16.0,#009900,2020-02-27 17:02:27,"https://emersonpolling.reportablenews.com/pr/south-carolina-2020-biden-poised-to-win-his-first-contest",2020-02-26,2020-02-27,"1","Biden","","+16.0","#009900",41.0,25.0,11.0,11.0, 5,6.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"21",NA,"Data for Progress (D)","126786","poll_rcp_avg","2/23 - 2/27","","1416 LV","","",Biden,,+9.0,#009900,2020-02-28 07:12:56,"https://www.dataforprogress.org/blog/2020/2/27/biden-maintains-lead-in-south-carolina",2020-02-23,2020-02-27,"1","Biden","","+9.0","#009900",34.0,25.0,13.0,13.0, 7,5.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"Trafalgar Group (R)","126796","poll_rcp_avg","2/26 - 2/27","","1081 LV","","",Biden,,+21.0,#009900,2020-02-28 17:13:19,"https://www.fitsnews.com/2020/02/28/2020-first-in-the-south-democratic-presidential-primary-the-oracle-speaks/",2020-02-26,2020-02-27,"1","Biden","","+21.0","#009900",44.0,23.0,11.0,10.0, 6,6.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Post and Courier","126767","poll","2/23 - 2/27","","543 LV","","",Biden,,+4.0,#009900,2020-02-28 07:15:19,"https://www.postandcourier.com/politics/new-sc-polls-show-biden-continues-to-lead-over-sanders/article_05d916aa-58df-11ea-9452-23751758f31e.html",2020-02-23,2020-02-27,"1","Biden","","+4.0","#009900",28.0,24.0,16.0,11.0,12,4.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Monmouth University","Monmouth","126755","poll","2/23 - 2/25","","454 LV","","",Biden,,+20.0,#009900,2020-02-27 10:10:19,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_sc_022720/",2020-02-23,2020-02-25,"1","Biden","","+20.0","#009900",36.0,16.0,15.0, 6.0, 8,4.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"19",NA,"Clemson","126743","poll","2/17 - 2/25","","650 LV","","",Biden,,+18.0,#009900,2020-02-26 12:41:32,"https://www.postandcourier.com/politics/biden-holds-wide-lead-in-sc-race-new-clemson-poll/article_354f073a-58aa-11ea-958f-bf34a5f650e9.html",2020-02-17,2020-02-25,"1","Biden","","+18.0","#009900",35.0,13.0,17.0, 8.0, 8,4.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Public Policy Polling","PPP (D)","126696","poll","2/23 - 2/24","","866 LV","3.3","",Biden,,+15.0,#009900,2020-02-24 15:21:02,"https://www.publicpolicypolling.com/wp-content/uploads/2020/02/SouthCarolinaResultsFebruary2020.pdf",2020-02-23,2020-02-24,"1","Biden","","+15.0","#009900",36.0,21.0, 7.0, 7.0, 8,3.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,418,"no","no","IVR/Online/Text","no",-0.3, 0.2,"B","D +0.3","80%","31%",5.0,5.4,-0.2,-0.3,-0.3, 0.2,298,"D +0.3","D +0.3","D +0.9",4.6,0.00
"23",NA,"East Carolina U.","126738","poll","2/23 - 2/24","","1142 LV","3.4","",Biden,,+8.0,#009900,2020-02-26 11:17:04,"https://surveyresearch-ecu.reportablenews.com/pr/biden-maintains-lead-in-south-carolina-sanders-in-second-steyer-a-close-third",2020-02-23,2020-02-24,"1","Biden","","+8.0","#009900",31.0,23.0,20.0, 6.0, 8,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"CBS News/YouGov","126661","poll","2/20 - 2/22","","1238 LV","","",Biden,,+5.0,#009900,2020-02-23 11:04:21,"https://drive.google.com/file/d/1af1YadukuDouIbnoGHCAkIDgaRAXjr8M/view",2020-02-20,2020-02-22,"1","Biden","","+5.0","#009900",28.0,23.0,18.0,10.0,12,4.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
