"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Gabbard","Steyer","O'Rourke","Harris","Castro","Yang","Booker","Patrick","Delaney","Williamson","Ryan","Gillibrand","Hickenlooper","Inslee","Swalwell","Messam","Moulton","de Blasio","Gravel","Sestak","Bennet","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"13",NA,"rcp_average","6875","rcp_average","2/28 - 3/2","","","","",Sanders,,+1.5,#457fff,NA,NA,NA,NA,NA,"Sanders","","+1.5","#457fff",29.5,28,18,14.5, 4.5,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Data for Progress (D)","126868","poll_rcp_avg","2/28 - 3/2","","300 LV","5.3","",Biden,,+2.0,#009900,2020-03-03 09:17:05,"http://filesforprogress.org/datasets/2020/2/super_tuesday/final/tx_3_2.pdf",2020-02-28,2020-03-02,"1","Biden","","+2.0","#009900",28.0,30,20,15.0, 4.0,3.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Emerson College","Emerson","126851","poll_rcp_avg","2/29 - 3/1","","450 LV","4.6","",Sanders,,+5.0,#457fff,2020-03-02 11:31:17,"https://emersonpolling.reportablenews.com/pr/texas-2020-sanders-with-slight-lead-over-biden-heading-into-super-tuesday",2020-02-29,2020-03-01,"1","Sanders","","+5.0","#457fff",31.0,26,16,14.0, 5.0,4.0,3, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"7",NA,"CBS News/YouGov","126849","poll","2/27 - 2/29","","635 LV","","",Sanders,,+4.0,#457fff,2020-03-01 11:22:57,"https://drive.google.com/file/d/1weevKvGFYvyHzEpUfU_ilzpFm1GrSM7-/view",2020-02-27,2020-02-29,"1","Sanders","","+4.0","#457fff",30.0,26,13,17.0, 6.0,6.0,0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Data for Progress (D)","126816","poll","2/23 - 2/27","","513 LV","","",Sanders,,+9.0,#457fff,2020-02-28 22:34:17,"http://filesforprogress.org/datasets/2020/2/super_tuesday/tx_2_28.pdf",2020-02-23,2020-02-27,"1","Sanders","","+9.0","#457fff",30.0,21,21,13.0, 9.0,5.0,1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"NBC News/Marist","126820","poll","2/23 - 2/27","","556 LV","","",Sanders,,+15.0,#457fff,2020-03-01 09:24:02,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-TX-NOS-and-Tables_2002281546.pdf",2020-02-23,2020-02-27,"1","Sanders","","+15.0","#457fff",34.0,19,15,10.0, 8.0,3.0,1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","CNN/Opinion Research Corp.","CNN","126793","poll","2/22 - 2/26","","387 LV","","",Sanders,,+9.0,#457fff,2020-02-28 14:00:29,"https://cdn.cnn.com/cnn/2020/images/02/28/rel1_tx.pdf",2020-02-22,2020-02-26,"1","Sanders","","+9.0","#457fff",29.0,20,18,15.0, 8.0,3.0,0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"11",NA,"Dallas Morning News","126822","poll","2/17 - 2/26","","586 LV","","",Sanders,,+8.0,#457fff,2020-03-01 09:39:04,"https://www.scribd.com/document/449521374/DMN-UTTyler-Poll-February-2020-Registered-voters",2020-02-17,2020-02-26,"1","Sanders","","+8.0","#457fff",29.0,19,21,10.0, 8.0,4.0,1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Univision/U. of Houston","126794","poll","2/21 - 2/26","","527 LV","","",Sanders,,+6.0,#457fff,2020-02-28 18:22:39,"https://st1.uvnimg.com/ac/23/c0b90672493cbe07ae750f9b79c9/finalunivisionpolling-tx-weighted.pdf",2020-02-21,2020-02-26,"1","Sanders","","+6.0","#457fff",26.0,20,20,11.0, 6.0,2.0,1, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"UMass Lowell","126647","poll","2/12 - 2/18","","600 LV","","",Sanders,,+3.0,#457fff,2020-02-20 17:40:32,"https://www.uml.edu/docs/2020-TX-topline_tcm18-322450.pdf",2020-02-12,2020-02-18,"1","Sanders","","+3.0","#457fff",23.0,20,18,14.0, 7.0,9.0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
