"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.bennetm","results.buttigiegp","results.yanga","results.steyert","results.bookerc","results.gabbardt","results.klobuchara","results.castroj","results.delaneyj","results.williamsonm","results.uncommitted"
"1","01001","Autauga",  3552, 18, 18, 2239,  604,  427,  193,   22,   10,    9,    7,    6,    5,    5,    2,    1,    1,   21
"2","01003","Baldwin", 12570, 50, 50, 7321, 2475, 1516,  892,   33,   77,   29,   42,   13,   48,   26,    3,    5,    6,   84
"3","01005","Barbour",  2533, 21, 21, 1899,  202,  287,   57,   31,    7,    2,    5,    6,    5,    5,    2,    4,    4,   17
"4","01007","Bibb",   995, 16, 16,  559,  138,  243,   34,    4,    5,    2,    1,    1,    0,    0,    0,    2,    0,    6
"5","01009","Blount",  1286, 25, 25,  654,  336,  147,   91,    5,    9,    8,    4,    1,    5,    0,    2,    1,    0,   23
"6","01011","Bullock",  2235, 17, 17, 1569,  149,  356,   44,   41,    5,    7,    3,    6,   10,    6,    1,    3,    3,   32
"7","01013","Butler",  2201, 22, 22, 1451,  171,  507,   28,    9,    4,    2,    4,    3,    1,    1,    3,    3,    2,   12
"8","01015","Calhoun",  7905, 44, 44, 4855, 1506,  881,  457,   32,   25,   19,   12,   13,   27,   22,    1,    4,    8,   43
"9","01017","Chambers",  2815, 29, 29, 1835,  285,  569,   61,   18,    4,    9,    6,    4,   10,    1,    0,    0,    1,   12
"10","01019","Cherokee",   845, 23, 23,  455,  163,  147,   42,    2,    4,    1,    2,    3,    5,    5,    0,    1,    1,   14
"11","01021","Chilton",  1375, 18, 18,  856,  231,  168,   63,   15,    3,    5,    7,    2,    5,    2,    0,    1,    0,   17
"12","01023","Choctaw",  2277, 47, 47, 1351,  216,  440,   30,   32,   11,    7,   11,    6,   17,   17,    2,    1,    0,  136
"13","01025","Clarke",  3284, 48, 48, 1968,  258,  932,   43,   33,    6,    3,    8,    4,    2,    1,    2,    1,    3,   20
"14","01027","Clay",   725, 25, 25,  486,   74,   94,   27,   10,    7,    3,    3,    0,    2,    3,    1,    1,    0,   14
"15","01029","Cleburne",   364, 13, 13,  219,   60,   43,   25,    2,    5,    0,    1,    0,    0,    2,    1,    0,    0,    6
"16","01031","Coffee",  2503, 31, 31, 1597,  433,  276,  118,   10,   11,    5,    7,    9,    9,    3,    1,    0,    0,   24
"17","01033","Colbert",  4712, 16, 16, 2996,  783,  603,  181,   26,   22,    5,    7,    7,   18,    9,    1,    2,    1,   51
"18","01035","Conecuh",  2485, 29, 29, 1214,  254,  704,   52,   55,    5,    9,   27,   18,   14,    6,    3,    5,    7,  112
"19","01037","Coosa",   870, 21, 21,  574,   99,  156,   21,    8,    1,    2,    0,    1,    0,    1,    0,    1,    0,    6
"20","01039","Covington",  1290, 25, 25,  856,  184,  166,   45,   12,    5,    1,    8,    1,    0,    1,    1,    0,    1,    9
"21","01041","Crenshaw",   882, 18, 18,  554,   70,  221,   17,    5,    4,    3,    0,    2,    0,    0,    0,    0,    0,    6
"22","01043","Cullman",  2531, 49, 49, 1262,  633,  317,  173,   10,   20,   11,    9,    5,    6,   15,    3,    2,    1,   64
"23","01045","Dale",  2415, 19, 19, 1656,  401,  203,   86,    8,   14,    5,    9,    2,    6,    4,    0,    2,    0,   19
