"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.buttigiegp","results.gabbardt","results.yanga","results.williamsonm","results.de_la_fuente_iiir","results.patrickd","results.castroj","results.hewesh","results.ellingerm","results.bennetm","results.bloombergm","results.bookerc","results.delaneyj","results.klobuchara","results.steyert"
"1","04001","Apache",  5069, 44, 44,  2482,  2064,   230,   133,    34,    27,    24,    21,    20,    15,    12,     7,     0,     0,     0,     0,     0,     0
"2","04003","Cochise",  7610, 49, 49,  3814,  2450,   667,   464,    91,    34,    20,    26,    10,    22,     8,     4,     0,     0,     0,     0,     0,     0
"3","04005","Coconino", 15336, 71, 71,  6279,  7068,  1240,   519,    88,    63,    21,    17,    11,    16,     9,     5,     0,     0,     0,     0,     0,     0
"4","04007","Gila",  2730, 39, 39,  1562,   705,   185,   180,    28,    24,    22,     8,     3,     0,    11,     2,     0,     0,     0,     0,     0,     0
"5","04009","Graham",  1364, 22, 22,   774,   420,    70,    44,    17,    14,     5,    10,     0,     8,     2,     0,     0,     0,     0,     0,     0,     0
"6","04011","Greenlee",   542,  8,  8,   316,   138,    25,    30,    14,     6,     1,     4,     0,     4,     3,     1,     0,     0,     0,     0,     0,     0
"7","04012","La Paz",   513, 11, 11,   272,   170,    27,    20,     6,     6,     3,     2,     0,     4,     1,     2,     0,     0,     0,     0,     0,     0
"8","04013","Maricopa",354919,743,743,152772,118924, 20564, 15325,  1607,  1102,   307,   298,   130,   348,    99,    92,   130, 36099,   279,   208,  5963,   672
"9","04015","Mohave",  9216, 24, 24,  4425,  2097,   432,   493,    64,    37,    18,    16,     7,     7,     7,     5,     9,  1250,    14,    25,   201,   109
"10","04017","Navajo",  5806, 14, 14,  2947,  2176,   303,   193,    49,    52,    25,    17,     9,    13,    12,    10,     0,     0,     0,     0,     0,     0
"11","04019","Pima",130923,141,141, 59624, 41420,  8590,  4902,   605,   305,   104,    88,    30,   149,    20,    32,    64, 12046,    72,    59,  2581,   232
"12","04021","Pinal", 25459,102,102, 12412,  6638,  1164,  1030,   148,   106,    33,    45,     6,    39,    12,     3,    18,  3230,    28,    24,   464,    59
"13","04023","Santa Cruz",  4302, 24, 24,  1714,  1437,   190,   131,    14,    18,    12,    25,     2,    22,     0,     6,     7,   645,     7,     5,    62,     5
"14","04025","Yavapai", 15144, 45, 45,  8115,  4546,  1285,   985,   113,    47,    34,     5,     2,     4,     5,     3,     0,     0,     0,     0,     0,     0
"15","04027","Yuma",  7954, 44, 44,  2854,  3021,   373,   331,    54,    42,    21,    40,    10,    75,     4,     8,    20,   853,    10,    17,   176,    45
