"","fips","name","votes","reporting","precincts","results.bidenj","results.bloombergm","results.sandersb","results.warrene","results.klobuchara","results.buttigiegp","results.steyert","results.gabbardt","results.boydm","results.delaneyj","results.bullocks","results.castroj","results.bennetm","results.harrisk","results.williamsonm","results.bookerc","results.sestakj","results.yanga"
"1","05001","Arkansas",  914, 30, 30,  450,  158,  125,   81,   35,   21,   16,   10,    6,    4,    3,    2,    1,    1,    1,    0,    0,    0
"2","05003","Ashley", 1208, 31, 31,  633,  133,  253,   62,   29,   29,    7,    7,    6,    3,   12,    4,    7,    5,   10,    5,    0,    3
"3","05005","Baxter", 2215, 43, 43,  955,  398,  446,  188,   79,   99,   11,    7,    1,    3,    4,    1,    0,    8,    5,    0,    3,    7
"4","05007","Benton",18121,119,119, 5739, 2813, 5259, 2434,  497,  998,  118,   95,    5,    9,   16,   17,   10,    9,   18,   13,   11,   60
"5","05009","Boone", 1675, 61, 61,  676,  265,  406,  152,   55,   65,    8,   22,    1,    3,    5,    1,    2,    2,    3,    1,    2,    6
"6","05011","Bradley", 1046, 16, 16,  380,  124,  116,   44,   30,   36,   37,   27,   23,   23,   22,   23,   26,   36,   24,   29,   23,   23
"7","05013","Calhoun",  321, 21, 21,  141,   66,   53,   13,    8,   13,    2,    1,    2,    2,    3,    1,    5,    1,    1,    4,    3,    2
"8","05015","Carroll", 2327, 13, 13,  734,  290,  721,  306,   91,  120,   11,   28,    1,    1,    3,    2,    2,    4,    4,    1,    0,    8
"9","05017","Chicot", 1310, 15, 15,  711,  266,  197,   45,   18,   14,   10,    4,    5,    6,    7,    3,    7,    8,    1,    1,    3,    4
"10","05019","Clark", 1941, 14, 14,  947,  282,  330,  150,   68,   57,   28,   11,   10,    7,    3,    2,    0,   23,    5,    2,    8,    8
"11","05021","Clay",  660, 17, 17,  262,  179,  115,   35,   14,   14,   10,    5,    2,    4,    2,    0,    2,    6,    6,    2,    2,    0
"12","05023","Cleburne", 1214, 34, 34,  555,  277,  178,   85,   42,   40,   14,    8,    1,    0,    4,    2,    2,    2,    0,    1,    1,    2
"13","05025","Cleveland",  393, 14, 14,  185,   70,   66,   17,   17,    9,    5,    5,    2,    1,    3,    1,    0,    1,    5,    0,    3,    3
"14","05027","Columbia", 1160, 16, 16,  610,  187,  175,   50,   25,   16,   26,   13,    0,   10,    7,    3,    6,    8,    8,    6,    6,    4
