"","fips","name","votes","reporting","precincts","results.sandersb","results.bidenj","results.warrene","results.bloombergm","results.buttigiegp","results.klobuchara","results.steyert","results.yanga","results.gabbardt","results.bookerc","results.ellingerm","results.castroj","results.delaneyj","results.williamsonm","results.bennetm","results.greensteinm","results.de_la_fuente_iiir","results.sestakj","results.patrickd","results.boydm"
"1","06001","Alameda", 370116,1014,1014,138478, 91980, 72467, 38439, 11110,  6758,  4492,  2961,  1714,   272,   236,   226,   207,   191,   131,   124,   111,   103,    61,    55
"2","06003","Alpine",    305,   5,   5,    92,    74,    50,    17,    33,    18,    15,     3,     3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"3","06005","Amador",   5656,  30,  30,  1192,  1634,   619,   969,   500,   297,   301,    23,    55,    11,     3,     4,     9,    15,    10,     0,     8,     0,     2,     4
"4","06007","Butte",  27318, 165, 165, 10383,  5565,  3792,  2379,  2034,  1106,  1334,   253,   236,    29,    21,    38,    28,    32,    25,    15,    12,    16,    10,    10
"5","06009","Calaveras",   6450,  29,  29,  1641,  1651,   669,  1070,   631,   309,   309,    34,    72,     9,     2,     5,     0,    13,    11,     2,    15,     4,     3,     0
"6","06011","Colusa",   1610,  18,  18,   607,   409,   120,   243,    84,    24,    57,     9,    15,     3,     0,    15,     5,     4,     5,     2,     6,     0,     0,     2
"7","06013","Contra Costa", 223746, 855, 855, 66032, 70172, 29784, 34315,  9486,  6427,  4025,  1274,  1244,   183,    34,   134,    69,   127,   151,    43,    90,    56,    41,    59
"8","06015","Del Norte",   2923,  18,  18,  1099,   728,   346,   237,   177,   117,   131,    26,    23,     5,     3,     6,     0,     5,     7,     0,     5,     5,     3,     0
"9","06017","El Dorado",  29680, 198, 198,  7761,  8606,  3581,  3980,  2582,  1472,  1087,   147,   262,    24,     7,    16,    14,    53,    20,     7,    20,    12,    11,    18
"10","06019","Fresno",  89215, 334, 334, 32319, 25005,  7472, 11599,  3922,  1870,  4114,  1257,   571,   124,    55,   287,    80,    90,   142,    35,   124,    70,    37,    42
"11","06021","Glenn",   2068,  34,  34,   680,   560,   186,   226,   127,    52,   141,    29,    15,     4,     5,     9,     9,     7,     0,     0,     9,     4,     2,     3
"12","06023","Humboldt",  26983, 141, 141, 13310,  4791,  4161,  1418,  1171,   755,   829,   152,   219,    21,    20,    16,    14,    32,    19,     4,    15,    16,    11,     9
"13","06025","Imperial",  12620, 218, 218,  5391,  3684,   687,  1510,   341,   109,   174,    85,    55,    51,    17,   241,    65,    22,    52,    15,    77,    23,    10,    11
"14","06027","Inyo",   2948,  21,  21,  1051,   694,   432,   318,   172,   116,    95,    18,    23,     6,     0,     3,     0,     7,     6,     0,     4,     0,     3,     0
"15","06029","Kern",  56783, 657, 657, 21327, 15843,  4527,  7226,  2493,  1100,  2180,   423,   456,   133,    42,   308,    57,    79,   212,    47,   138,    72,    75,    45
"16","06031","Kings",   6581,  64,  64,  2259,  1999,   421,   951,   256,   129,   326,    59,    62,     8,     3,    31,     9,    11,    18,     3,    14,     6,    12,     4
"17","06033","Lake",   3709,  70,  70,  1088,  1022,   302,   626,   250,   101,   183,    45,    50,     5,     0,     5,     7,     5,     3,     2,     9,     4,     0,     2
"18","06035","Lassen",   1630,  51,  51,   432,   482,   191,   136,   111,    80,   128,    15,    25,     6,     0,     4,     4,     3,     4,     5,     0,     2,     0,     2
"19","06037","Los Angeles",1459568,2642,3072,572060,414892,193703,148061, 43584, 19994, 22497, 11490,  7277,  2158,  1833,  7236,  1856,  3249,  2860,  1675,  2846,  1009,   783,   505
"20","06039","Madera",  11091,  72,  72,  3880,  2837,   823,  1600,   597,   359,   598,    92,    77,    25,     5,    41,    25,    36,    18,     4,    30,    20,    13,    11
