"","fips","name","votes","reporting","precincts","results.sandersb","results.bidenj","results.bloombergm","results.warrene","results.gabbardt","results.yanga","results.steyert","results.de_la_fuente_iiir","results.bookerc","results.williamsonm","results.krichevskyr","results.wellsr","results.patrickd","results.buttigiegp","results.klobuchara"
"1","08001","Adams", 66153,261,261,28300,14998,12517, 8760,  690,  319,  204,   96,   92,   82,   40,   30,   25,    0,    0
"2","08003","Alamosa",  2168,  8,  8,  933,  481,  348,  328,   20,    8,   21,   11,    2,   10,    3,    2,    1,    0,    0
"3","08005","Arapahoe",105255,345,400,37845,27209,21584,16399, 1008,  425,  324,   96,  157,  116,   41,   28,   23,    0,    0
"4","08007","Archuleta",  1889,  9,  9,  662,  465,  373,  333,   23,    2,   14,    2,    4,    7,    4,    0,    0,    0,    0
"5","08009","Baca",   239,  9,  9,   60,   71,   43,   31,   13,    2,    3,    2,    7,    1,    3,    1,    2,    0,    0
"6","08011","Bent",   450,  3,  5,  154,  108,  128,   36,    4,    3,    9,    2,    1,    3,    1,    1,    0,    0,    0
"7","08013","Boulder", 93788,180,236,34929,21620,14291,21475,  723,  292,  218,   47,   74,   79,   14,   17,    9,    0,    0
"8","08014","Broomfield", 16050, 37, 37, 5547, 4152, 2988, 3029,  187,   74,   48,    4,    5,    4,    5,    3,    4,    0,    0
"9","08015","Chaffee",  4212, 10, 10, 1505, 1046,  794,  768,   48,   20,   13,    4,    1,    7,    2,    4,    0,    0,    0
"10","08017","Cheyenne",    83,  5,  5,   17,   22,   28,    8,    2,    1,    3,    0,    0,    1,    0,    1,    0,    0,    0
"11","08019","Clear Creek",  1970,  6, 10,  726,  481,  380,  327,   28,   11,    8,    1,    1,    6,    0,    0,    1,    0,    0
"12","08021","Conejos",  1285,  6, 10,  482,  388,  278,   81,   18,   12,   10,    5,    2,    3,    4,    2,    0,    0,    0
"13","08023","Costilla",   797,  9,  9,  319,  202,  158,   83,   10,    8,    7,    3,    1,    2,    0,    4,    0,    0,    0
"14","08025","Crowley",   273,  6,  6,   71,   81,   78,   29,    6,    1,    3,    2,    1,    0,    0,    1,    0,    0,    0
"15","08027","Custer",   531,  4,  4,  136,  154,  111,  110,    9,    2,    4,    1,    2,    1,    0,    1,    0,    0,    0
"16","08029","Delta",  3449, 21, 21, 1362,  783,  651,  525,   48,   13,   28,    2,    8,   19,    5,    4,    1,    0,    0
"17","08031","Denver",179421,288,356,69725,40881,29216,37176, 1027,  536,  351,  101,  206,  114,   41,   21,   26,    0,    0
"18","08033","Dolores",   179,  4,  4,   75,   41,   23,   28,    6,    0,    4,    2,    0,    0,    0,    0,    0,    0,    0
"19","08035","Douglas", 48701,126,169,14109,14725,11313, 7388,  620,  215,  144,   52,   53,   45,   18,   10,    9,    0,    0
