"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.bloombergm","results.buttigiegp","results.klobuchara","results.gabbardt","results.yanga","results.steyert","results.bennetm","results.williamsonm","results.bookerc","results.delaneyj","results.castroj","results.sestakj","results.patrickd"
"1","12001","Alachua", 37273, 63, 63, 19070, 14897,   920,   841,   587,   317,   260,   141,    74,    43,    35,    27,    23,    15,    12,    11
"2","12003","Baker",   924,  9,  9,   593,   150,    14,    50,    14,    15,    15,    16,     7,    16,    11,     3,    14,     3,     1,     2
"3","12005","Bay",  7817, 44, 44,  5183,  1775,   133,   265,   169,    90,    62,    44,    22,    21,    11,     9,     7,     7,    10,     9
"4","12007","Bradford",  1547, 14, 14,   952,   250,    27,   153,    28,    23,    24,    24,     7,     9,     9,    12,    18,     5,     3,     3
"5","12009","Brevard", 54781,161,161, 33004, 13185,  1274,  4412,  1306,   650,   388,   173,    82,   110,    63,    41,    33,    14,    23,    23
"6","12011","Broward",182105,577,577,122616, 35957,  2288, 14608,  3563,  1139,   628,   408,   147,   309,   118,   114,    63,    77,    37,    33
"7","12013","Calhoun",   659, 15, 15,   389,   107,    22,    34,    15,    18,    10,    16,    16,     8,    10,     3,     7,     1,     1,     2
"8","12015","Charlotte", 14865, 68, 68,  9078,  2565,   316,  1804,   623,   266,    56,    39,    40,    21,    21,     9,    12,     2,     3,    10
"9","12017","Citrus", 11504, 31, 31,  6951,  2130,   260,  1292,   362,   229,    91,    36,    41,    38,    23,    12,    14,     6,    10,     9
"10","12019","Clay", 10916, 47, 47,  6707,  2785,   236,   648,   223,   119,    67,    33,    16,    28,     8,    13,    27,     2,     3,     1
"11","12021","Collier", 23615, 61, 61, 15569,  3749,   369,  2525,   814,   314,    75,    42,    25,    54,    25,    16,    12,    15,     5,     6
"12","12023","Columbia",  3546, 22, 22,  2289,   655,    61,   255,    57,    47,    62,    35,    22,    16,     9,     5,    19,     5,     5,     4
"13","12027","DeSoto",  1321, 15, 15,   863,   241,    36,    85,    19,    10,    10,    16,     7,     9,     5,     4,    10,     2,     0,     4
"14","12029","Dixie",   587, 10, 10,   338,   104,    25,    40,    11,    17,     6,    13,     4,    12,     4,     3,     7,     2,     1,     0
"15","12031","Duval", 84690,199,199, 56224, 19927,  1334,  4453,   896,   383,   363,   239,    97,   213,    69,    85,   317,    34,    28,    28
"16","12033","Escambia", 25522, 80, 80, 17027,  5446,   426,  1200,   585,   283,   209,    97,    85,    56,    23,    33,    24,     9,     8,    11
"17","12035","Flagler", 10913, 25, 25,  7517,  1917,   157,   881,   229,    95,    43,    16,    10,    20,     9,     6,     4,     5,     3,     1
"18","12037","Franklin",  1190,  8,  8,   764,   214,    27,    50,    32,    14,    35,    22,     6,     9,     5,     5,     5,     1,     1,     0
