"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bennetm","results.steyert","results.delaneyj","results.yanga","results.bloombergm","results.warrene","results.gabbardt","results.klobuchara","results.buttigiegp","results.patrickd"
"1","13001","Appling",   811,  9,  9,   668,    61,    15,    14,    13,    10,     7,     7,     5,     5,     3,     3
"2","13003","Atkinson",   318,  4,  4,   269,    24,     8,     2,     3,     1,     4,     3,     2,     0,     0,     2
"3","13005","Bacon",   177,  1,  1,   137,    14,     3,     4,     4,     1,     4,     9,     0,     1,     0,     0
"4","13007","Baker",   549,  5,  5,   374,    52,    13,    10,     9,    23,    13,    23,    16,     8,     6,     2
"5","13009","Baldwin",  5141, 14, 14,  4418,   426,    50,     3,    10,    26,    61,    94,    15,    15,    22,     1
"6","13011","Banks",   362, 13, 13,   272,    64,     0,     0,     2,     5,     6,     6,     2,     3,     1,     1
"7","13013","Barrow",  3724,  8,  8,  3061,   442,    15,     4,     4,    40,    30,    70,    15,    17,    26,     0
"8","13015","Bartow",  4383, 16, 16,  3566,   546,    21,     7,     2,    43,    37,    75,    20,    22,    40,     4
"9","13017","Ben Hill",  1266,  2,  2,  1118,    71,    10,     4,     7,     3,    26,    14,     7,     3,     1,     2
"10","13019","Berrien",   442,  5,  5,   361,    53,     8,     2,     2,     3,     2,     4,     1,     5,     1,     0
"11","13021","Bibb", 17309, 31, 31, 14451,  1460,   202,    31,    38,   174,   235,   309,   158,   118,   112,    21
"12","13023","Bleckley",   439,  1,  1,   366,    40,     9,     0,     3,     4,     1,     6,     1,     5,     4,     0
"13","13025","Brantley",   257,  3,  3,   210,    28,     3,     2,     0,     3,     4,     4,     1,     0,     2,     0
"14","13027","Brooks",   995,  7,  7,   904,    53,     4,     1,     3,     6,     8,    11,     2,     0,     3,     0
"15","13029","Bryan",  2415, 10, 10,  2045,   204,    13,    16,     5,    26,    15,    51,     5,    11,    21,     3
"16","13031","Bulloch",  4232, 16, 16,  3483,   470,    28,    25,     8,    32,    31,   109,     7,    13,    22,     4
"17","13033","Burke",  3128, 16, 16,  2605,   213,    43,    53,    18,    44,    37,    42,    23,    27,    14,     9
"18","13035","Butts",  1357,  1,  1,  1198,    92,    11,     2,     4,     8,    17,    14,     3,     6,     2,     0
"19","13037","Calhoun",  1034,  5,  5,   787,    89,    31,     9,    12,    26,    17,    21,    12,    18,     7,     5
"20","13039","Camden",  2562, 14, 14,  2230,   197,    12,     2,     2,    11,    17,    45,     9,    14,    19,     4
"21","13043","Candler",   419,  1,  1,   374,    24,     3,     4,     1,     5,     1,     5,     0,     1,     1,     0
"22","13045","Carroll",  6832, 28, 28,  5663,   783,    32,     3,     8,    41,    48,   149,    27,    28,    45,     5
"23","13047","Catoosa",  1891, 11, 11,  1536,   231,     4,     2,     1,    23,    22,    37,     6,    14,    15,     0
"24","13049","Charlton",   125,  5,  8,   113,     3,     1,     0,     2,     3,     1,     1,     0,     0,     0,     1
"25","13051","Chatham", 18462, 76, 92, 15914,  1638,   111,    78,    27,   125,    85,   273,    44,    52,   103,    12
"26","13053","Chattahoochee",   363,  1,  1,   281,    40,     7,     1,     0,     7,     4,    13,     4,     2,     0,     4
"27","13055","Chattooga",   744, 13, 13,   627,    70,     6,     1,     3,     0,     9,    11,     2,     6,     7,     2
"28","13057","Cherokee", 15739, 42, 42, 12753,  1986,    32,    12,     9,   153,   104,   374,    77,    68,   166,     5
