"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.bloombergm","results.buttigiegp","results.gabbardt","results.klobuchara","results.yanga","results.bennetm","results.steyert","results.williamsonm","results.bookerc","results.castroj","results.delaneyj","results.de_la_fuente_iiir","results.burkes","results.patrickd"
"1","16001","Ada",47519,150,150,22704,21361, 1289,  794,  572,  311,  264,  128,   32,   25,   14,    8,    5,    5,    3,    2,    2
"2","16003","Adams",  234,  7,  7,  133,   77,    8,    2,    3,    3,    7,    0,    0,    0,    0,    0,    0,    1,    0,    0,    0
"3","16005","Bannock", 6329, 54, 54, 2874, 2821,  159,  209,  108,   62,   46,   12,    3,   10,    2,    5,    4,    5,    2,    6,    1
"4","16007","Bear Lake",  137, 15, 15,   87,   27,    3,    5,    3,    1,    8,    0,    0,    2,    0,    0,    0,    0,    0,    1,    0
"5","16009","Benewah",  427, 11, 11,  235,  154,   14,    8,    3,    8,    2,    1,    0,    1,    0,    1,    0,    0,    0,    0,    0
"6","16011","Bingham", 1185, 29, 29,  537,  467,   26,   81,   21,   18,   14,    4,    2,    6,    2,    1,    1,    1,    2,    2,    0
"7","16013","Blaine", 3865, 17, 17, 2315, 1213,   91,  127,   55,   22,   28,    4,    2,    3,    2,    1,    0,    1,    0,    0,    1
"8","16015","Boise",  464,  7,  7,  273,  145,   13,    6,   12,    6,    5,    0,    0,    2,    0,    0,    0,    1,    1,    0,    0
"9","16017","Bonner", 2675, 32, 32, 1274, 1126,   94,   83,   34,   13,   35,    7,    2,    4,    0,    1,    0,    0,    0,    1,    1
"10","16019","Bonneville", 4278, 52, 52, 2082, 1835,  102,  112,   43,   40,   35,   11,    2,    3,    1,    3,    1,    3,    1,    3,    1
"11","16021","Boundary",  442,  7,  7,  196,  200,   13,   12,    6,    6,    5,    2,    1,    0,    1,    0,    0,    0,    0,    0,    0
"12","16023","Butte",   72,  4,  4,   46,   23,    0,    1,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,    0,    0
"13","16025","Camas",   49,  2,  2,   21,   22,    1,    2,    0,    2,    0,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0
"14","16027","Canyon", 8436, 64, 64, 3800, 3882,  222,  206,   89,   72,   52,   34,   10,   10,    9,   14,   11,   14,    5,    6,    0
"15","16029","Caribou",  118,  9,  9,   65,   47,    2,    2,    1,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"16","16031","Cassia",  462, 24, 24,  241,  178,    8,   13,    8,    4,    0,    1,    3,    1,    0,    1,    1,    1,    0,    0,    2
"17","16033","Clark",    8,  3,  3,    3,    3,    0,    1,    0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"18","16035","Clearwater",  394, 15, 15,  216,  132,   13,   15,    4,    4,    2,    0,    3,    3,    0,    1,    0,    1,    0,    0,    0
"19","16037","Custer",  216, 10, 10,  123,   67,    9,    9,    3,    0,    1,    0,    0,    0,    0,    2,    0,    1,    0,    1,    0
"20","16039","Elmore",  747, 18, 18,  388,  305,    4,   14,    5,   15,    4,    4,    1,    1,    1,    0,    0,    3,    0,    1,    1
"21","16041","Franklin",  186, 18, 18,  110,   49,    6,    4,    4,    4,    3,    0,    1,    1,    1,    0,    2,    0,    0,    1,    0
"22","16043","Fremont",  279, 13, 13,  164,   89,    6,    8,    4,    3,    2,    2,    0,    0,    0,    1,    0,    0,    0,    0,    0
"23","16045","Gem",  621, 14, 14,  369,  188,   13,   15,    8,    8,   11,    0,    3,    3,    0,    0,    0,    1,    0,    1,    1
"24","16047","Gooding",  376,  6,  6,  190,  129,   14,   20,    5,    9,    2,    2,    1,    1,    1,    0,    2,    0,    0,    0,    0
"25","16049","Idaho County",  708, 28, 28,  407,  210,   24,   20,   14,    8,   13,    4,    0,    2,    1,    0,    0,    2,    2,    1,    0
"26","16051","Jefferson",  451, 21, 21,  241,  178,    6,   14,    3,    5,    1,    2,    0,    1,    0,    0,    0,    0,    0,    0,    0
"27","16053","Jerome",  475, 12, 12,  239,  187,    9,   17,    4,    6,    4,    0,    2,    2,    0,    1,    2,    2,    0,    0,    0
"28","16055","Kootenai", 8973, 73, 73, 4857, 3220,  207,  319,  162,   65,   78,   31,    3,    8,    5,    4,    3,    3,    2,    4,    2
"29","16057","Latah", 5022, 34, 34, 1880, 2736,  216,   40,   55,   36,   40,    9,    1,    4,    2,    0,    0,    2,    0,    1,    0
"30","16059","Lemhi",  428, 10, 10,  237,  137,   16,   21,   11,    4,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"31","16061","Lewis",  176,  8,  8,  104,   46,    2,    7,    2,    3,    5,    3,    0,    0,    2,    0,    2,    0,    0,    0,    0
"32","16063","Lincoln",  145,  6,  6,   79,   51,    2,    3,    2,    0,    3,    0,    0,    0,    3,    0,    0,    1,    0,    1,    0
"33","16065","Madison",  788, 22, 22,  356,  350,   18,    9,    5,   24,   10,    9,    3,    1,    0,    2,    0,    1,    0,    0,    0
"34","16067","Minidoka",  357, 12, 12,  178,  147,    4,   11,    2,    5,    3,    3,    1,    0,    0,    0,    2,    0,    1,    0,    0
"35","16069","Nez Perce", 2518, 33, 33, 1380,  846,   68,  116,   39,   17,   18,   12,    5,    7,    1,    2,    1,    4,    0,    1,    1
"36","16071","Oneida",   96,  6,  6,   55,   29,    1,    4,    3,    1,    0,    0,    1,    2,    0,    0,    0,    0,    0,    0,    0
"37","16073","Owyhee",  254, 13, 13,  133,  102,    3,    8,    1,    1,    2,    2,    0,    0,    1,    1,    0,    0,    0,    0,    0
"38","16075","Payette",  664, 10, 10,  332,  256,   11,   28,   12,   11,    5,    2,    1,    1,    0,    0,    0,    3,    0,    1,    1
"39","16077","Power",  313,  6,  6,  166,  101,    4,   22,    8,    1,    4,    1,    0,    0,    0,    0,    3,    2,    0,    1,    0
"40","16079","Shoshone", 1045, 14, 14,  577,  324,   20,   58,   19,   14,   12,    4,    2,    4,    2,    5,    0,    2,    1,    1,    0
"41","16081","Teton", 1409,  8,  8,  613,  687,   41,   19,   14,   14,   12,    3,    0,    0,    2,    0,    2,    1,    0,    1,    0
"42","16083","Twin Falls", 2952, 44, 44, 1505, 1188,   73,   75,   43,   30,   15,    7,    2,    2,    1,    1,    5,    1,    1,    1,    2
"43","16085","Valley", 1142,  9,  9,  653,  399,   28,   25,   11,    8,   10,    2,    0,    1,    1,    0,    2,    1,    0,    0,    1
"44","16087","Washington",  366, 11, 11,  241,   81,    2,   24,    4,    2,    5,    2,    1,    1,    1,    1,    0,    1,    0,    0,    0
