"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.buttigiegp","results.warrene","results.bloombergm","results.gabbardt","results.steyert","results.bookerc","results.yanga","results.bennetm","results.delaneyj","results.patrickd","results.klobuchara"
"1","17001","Adams",  3615,  74,  74,  2415,   928,    71,    69,    56,    22,    22,    13,     7,     6,     3,     3,     0
"2","17003","Alexander",     0,   0,  11,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"3","17005","Bond",  1136,  25,  25,   721,   330,    20,    16,    24,    10,     5,     7,     2,     0,     1,     0,     0
"4","17007","Boone",  4326,  38,  38,  2326,  1790,    37,    58,    71,    24,     5,     1,    12,     1,     0,     1,     0
"5","17009","Brown",   211,  14,  14,   153,    44,     2,     3,     3,     1,     3,     1,     0,     1,     0,     0,     0
"6","17011","Bureau",  2650,  50,  50,  1744,   778,    20,    41,    28,    11,     7,     4,    12,     3,     1,     1,     0
"7","17013","Calhoun",   354,   7,   7,   260,    71,     2,     4,    11,     2,     0,     1,     0,     1,     0,     2,     0
"8","17015","Carroll",  1054,  22,  22,   689,   270,    25,    21,    18,    10,     9,     4,     6,     0,     1,     1,     0
"9","17017","Cass",   728,  21,  21,   464,   196,    16,    11,    26,     5,     0,     1,     2,     2,     2,     3,     0
"10","17019","Champaign", 24546, 118, 118, 11164, 11877,   156,   825,   273,   125,    21,    28,    55,    11,     3,     8,     0
"11","17021","Christian",  1947,  30,  30,  1244,   541,    29,    22,    54,    21,     9,     7,     7,     2,     7,     4,     0
"12","17023","Clark",  1047,  23,  23,   631,   301,    25,    29,    34,     6,     4,     5,     2,     3,     2,     5,     0
"13","17025","Clay",   478,  22,  22,   316,   134,     5,     6,    10,     2,     1,     3,     0,     1,     0,     0,     0
"14","17027","Clinton",  1497,  39,  39,   948,   452,     7,    29,    36,     9,     4,     0,     5,     1,     4,     2,     0
"15","17029","Coles",  3301,  44,  44,  1876,  1187,    40,    77,    79,    18,     7,     7,     5,     0,     4,     1,     0
