"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.buttigiegp","results.warrene","results.bloombergm","results.klobuchara","results.yanga","results.gabbardt","results.steyert"
"1","18001","Adams", 1246, 25, 25,  978,  141,   34,   31,   18,   16,   11,    9,    8
"2","18003","Allen",27511,289,289,21285, 3939,  809,  747,  206,  189,  193,   87,   56
"3","18005","Bartholomew", 5493, 66, 66, 4286,  672,  193,  177,   42,   52,   42,   20,    9
"4","18007","Benton",  331, 15, 15,  246,   53,   16,   10,    3,    1,    2,    0,    0
"5","18009","Blackford",  622, 12, 12,  492,   63,   26,   10,   13,    5,    5,    5,    3
"6","18011","Boone", 5003, 53, 53, 3952,  530,  238,  162,   20,   36,   42,   19,    4
"7","18013","Brown", 1218, 12, 12,  956,  185,   32,   22,    6,    7,    5,    4,    1
"8","18015","Carroll",  851, 19, 19,  645,   94,   31,   33,   12,   14,   12,    2,    8
"9","18017","Cass", 1578, 39, 39, 1256,  188,   58,   22,   20,   12,   14,    3,    5
"10","18019","Clark",10235, 72, 72, 7779, 1320,  345,  299,  136,  109,  142,   60,   45
"11","18021","Clay", 1161, 23, 23,  897,  107,   44,   27,   22,   26,   17,    9,   12
"12","18023","Clinton",  985, 39, 39,  746,  137,   39,   26,   14,   10,    9,    3,    1
"13","18025","Crawford",  727, 18, 18,  569,   71,   15,   23,    9,   17,    5,   10,    8
"14","18027","Daviess",  752, 28, 28,  569,  113,   15,   18,   13,    6,    8,    3,    7
"15","18033","DeKalb", 1722, 39, 39, 1360,  198,   70,   33,   19,   11,   14,    8,    9
"16","18029","Dearborn", 1669, 45, 45, 1326,  190,   48,   23,   30,   15,   20,   13,    4
"17","18031","Decatur",  840, 20, 20,  646,   94,   32,   23,   16,   10,    8,    4,    7
"18","18035","Delaware", 9279, 78, 78, 6740, 1480,  329,  289,  124,   90,  128,   62,   37
"19","18037","Dubois", 2612, 40, 40, 2066,  265,   97,   59,   39,   31,   27,   16,   12
"20","18039","Elkhart", 7038,117,117, 5348,  980,  328,  224,   31,   48,   45,   20,   14
"21","18041","Fayette",  941, 28, 28,  739,  103,   36,   16,   19,    8,    6,   11,    3
"22","18043","Floyd", 7323, 60, 60, 5490, 1034,  247,  253,   91,   62,   81,   43,   22
"23","18045","Fountain",  576, 18, 18,  462,   69,   16,    9,    6,    6,    0,    2,    6
"24","18047","Franklin",  824, 23, 23,  666,   86,   30,   13,   11,    2,    9,    3,    4
"25","18049","Fulton",  711, 17, 17,  555,   71,   41,   10,   11,    7,    6,    7,    3
"26","18051","Gibson", 1650, 34, 34, 1317,  165,   37,   30,   27,   30,   27,    7,   10
"27","18053","Grant", 3122, 63, 63, 2485,  335,   80,   90,   44,   26,   31,   17,   14
"28","18055","Greene", 1548, 32, 32, 1205,  153,   68,   37,   34,   18,   12,   11,   10
"29","18057","Hamilton",28229,221,221,22170, 3539, 1047,  882,  111,  136,  233,   85,   26
"30","18059","Hancock", 3340, 47, 47, 2620,  404,  134,  104,   15,   15,   30,   13,    5
"31","18061","Harrison", 2310, 39, 39, 1825,  234,   70,   63,   40,   25,   24,   16,   13
"32","18063","Hendricks", 9047,104,104, 6992, 1247,  367,  230,   47,   45,   81,   31,    7
"33","18065","Henry", 2123, 41, 41, 1621,  296,   60,   50,   30,   23,   22,    8,   13
"34","18067","Howard", 4993, 77, 77, 3944,  640,  162,   97,   65,   30,   35,   12,    8
"35","18069","Huntington", 1257, 36, 36,  972,  179,   35,   29,   12,    9,    9,    8,    4
"36","18071","Jackson", 1831, 30, 30, 1413,  211,   47,   42,   39,   31,   21,   11,   16
"37","18073","Jasper", 1398, 29, 29, 1094,  185,   46,   22,   28,    8,    8,    5,    2
