"","fips","name","votes","reporting","precincts","results.sandersb","results.klobuchara","results.buttigiegp","results.yanga","results.bidenj","results.warrene","results.steyert","results.bennetm","results.bloombergm","results.delaneyj","results.gabbardt","results.patrickd","results.uncommitted","results.other","votes_align1","results_align1.klobuchara","results_align1.sandersb","results_align1.bidenj","results_align1.buttigiegp","results_align1.warrene","results_align1.yanga","results_align1.steyert","results_align1.bennetm","results_align1.bloombergm","results_align1.delaneyj","results_align1.gabbardt","results_align1.patrickd","results_align1.uncommitted","results_align1.other","votes_alignfinal","results_alignfinal.klobuchara","results_alignfinal.sandersb","results_alignfinal.buttigiegp","results_alignfinal.yanga","results_alignfinal.bidenj","results_alignfinal.warrene","results_alignfinal.steyert","results_alignfinal.bennetm","results_alignfinal.bloombergm","results_alignfinal.delaneyj","results_alignfinal.gabbardt","results_alignfinal.patrickd","results_alignfinal.uncommitted","results_alignfinal.other"
"1","19001","Adair",  4.00,  5,  5,  1.02,  0.86,  0.71,  0.55,  0.39,  0.31,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  229,  50,  45,  36,  34,  28,  28,   8,   0,   0,   0,   0,   0,   0,   0,  228,   58,   53,   41,   29,   22,   18,    7,    0,    0,    0,    0,    0,    0,    0
"2","19003","Adams",  3.01,  5,  5,  0.43,  0.86,  0.43,  0.00,  0.86,  0.43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  107,  23,  20,  30,  18,  16,   0,   0,   0,   0,   0,   0,   0,   0,   0,  100,   24,   15,   15,    0,   31,   15,    0,    0,    0,    0,    0,    0,    0,    0
"3","19005","Allamakee",  7.00, 11, 11,  1.09,  1.40,  2.49,  0.39,  1.01,  0.54,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  501,  79,  73,  69, 151,  56,  37,  28,   1,   0,   0,   3,   0,   4,   0,  496,   97,   83,  173,   23,   59,   46,    9,    0,    0,    0,    0,    0,    4,    2
"4","19007","Appanoose",  6.00, 12, 12,  1.04,  0.48,  2.32,  0.08,  1.76,  0.08,  0.24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  360,  32,  63,  86, 122,  35,   4,  15,   0,   0,   0,   1,   0,   2,   0,  359,   24,   59,  143,    4,  102,    7,   12,    0,    0,    0,    0,    0,    8,    0
"5","atlarge-satellite-caucus","At-Large Satellite Caucus",  4.04, 27, 27,  0.58,  1.05,  0.77,  0.02,  0.71,  0.88,  0.00,  0.00,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00, 1186, 295, 187, 182, 217, 248,  23,   6,   3,  18,   0,   2,   1,   3,   1, 1178,  302,  172,  224,    7,  199,  247,    0,    0,    9,    0,    0,    0,   16,    2
"6","19009","Audubon",  3.00,  2,  2,  0.50,  0.90,  0.40,  0.00,  0.90,  0.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  203,  42,  31,  45,  31,  32,   9,  11,   0,   0,   0,   0,   0,   2,   0,  203,   55,   35,   31,    0,   61,   21,    0,    0,    0,    0,    0,    0,    0,    0
"7","19011","Benton", 15.01, 19, 19,  3.53,  1.50,  4.35,  0.00,  4.65,  0.98,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  813,  93, 159, 226, 194,  94,  17,  22,   0,   0,   0,   3,   0,   4,   1,  803,   82,  179,  228,    1,  245,   65,    0,    0,    0,    0,    0,    0,    3,    0
"8","19013","Black Hawk",101.40, 62, 62, 31.71,  9.90, 23.03,  0.81, 17.57, 17.57,  0.81,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 7033, 820,1929,1038,1420,1231, 332, 204,   2,   5,   0,  22,   1,  26,   3, 6874,  765, 2128, 1626,   43, 1005, 1248,   43,    0,    0,    0,    0,    0,   14,    2
"9","19015","Boone", 19.00, 15, 15,  5.32,  2.28,  5.89,  0.00,  1.52,  3.80,  0.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 1356, 178, 305, 148, 363, 235,  79,  38,   3,   1,   0,   0,   0,   6,   0, 1351,  172,  339,  436,   14,  107,  257,   18,    0,    2,    0,    0,    0,    6,    0
"10","19017","Bremer", 17.01, 13, 13,  1.59,  2.72,  5.67,  0.00,  3.17,  3.63,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.23,  0.00, 1292, 196, 189, 210, 369, 247,  47,  24,   0,   0,   0,   1,   0,   9,   0, 1289,  195,  170,  412,    1,  195,  288,    8,    0,    0,    0,    0,    0,   18,    2
