"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt","results.klobuchara","results.steyert","results.yanga","results.buttigiegp","results.bennetm","results.patrickd","results.uncommitted"
"1","21001","Adair", 149, 16, 16,  82,  18,   6,   5,   5,   4,   4,   2,   1,   0,  22
"2","21003","Allen",   0,  0, 13,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"3","21005","Anderson",   0,  0, 14,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"4","21007","Ballard",   0,  0, 13,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"5","21009","Barren", 762, 25, 25, 405,  84,  26,  11,  13,   5,  17,  11,  12,   3, 175
"6","21011","Bath",1942, 12, 12,1105, 186,  51,  25,  20,  16,  19,  29,  23,   8, 460
"7","21013","Bell",   0,  0, 30,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"8","21015","Boone",1276, 63, 63, 807, 202,  40,  15,  21,   3,  25,  31,   6,   4, 122
"9","21017","Bourbon",   0,  0, 16,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"10","21019","Boyd",1409, 48, 48, 764, 167,  35,  27,  21,  15,  40,  33,   9,   5, 293
"11","21021","Boyle", 808, 25, 25, 450, 106,  15,  14,  11,   9,  18,  14,   9,   2, 160
"12","21023","Bracken",   0,  0,  8,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"13","21025","Breathitt",   0,  0, 21,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"14","21027","Breckinridge", 330, 16, 16, 181,  35,  15,   2,   6,   8,   6,   8,   6,   1,  62
"15","21029","Bullitt",1126, 47, 47, 530, 156,  39,  23,  22,  15,  27,  26,   8,   6, 274
"16","21031","Butler",   0,  0, 12,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"17","21033","Caldwell", 238, 13, 13,  92,  38,   6,   6,   6,   3,   6,   6,   0,   2,  73
"18","21035","Calloway", 601, 23, 23, 294, 110,  17,  11,   9,  11,  16,   9,   6,   0, 118
"19","21037","Campbell", 574, 67, 67, 376,  65,  21,  12,  12,   5,   7,   9,   5,   2,  60
"20","21039","Carlisle", 131,  6,  6,  45,   7,   3,   4,   4,   3,   4,   2,   3,   1,  55
"21","21041","Carroll", 214, 11, 11,  59,  32,   4,   7,   8,   3,   2,   9,   3,   3,  84
"22","21043","Carter",2322, 26, 26,1427, 232,  43,  33,  34,  18,  29,  32,  20,   8, 446
"23","21045","Casey", 339, 15, 15, 236,  38,  14,   0,   3,   1,   2,   4,   2,   1,  38
"24","21047","Christian",   0,  0, 41,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"25","21049","Clark", 325, 26, 26, 192,   4,   7,  13,   4,   4,   6,  12,   2,   1,  80
"26","21051","Clay",  35, 20, 20,  19,   6,   0,   0,   0,   0,   3,   0,   1,   0,   6
"27","21053","Clinton",   0,  0, 13,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"28","21055","Crittenden",   0,  0, 12,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"29","21057","Cumberland",   0,  0, 10,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"30","21059","Daviess",6713, 85, 85,4457, 681, 162,  96,  88,  39,  81, 153,  48,  19, 889
"31","21061","Edmonson",  90,  8,  8,  59,  16,   0,   1,   0,   0,   1,   0,   1,   0,  12
"32","21063","Elliott", 148,  7,  7,  66,  11,   2,   3,   7,   3,   1,   3,   0,   2,  50
"33","21065","Estill",   0,  0, 15,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"34","21067","Fayette",   0,  0,286,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"35","21069","Fleming",1420, 18, 18, 991, 154,  34,  27,  26,  15,  26,  34,  22,   4,  87
"36","21071","Floyd", 531, 42, 42, 174,  80,  29,  15,  18,   9,  17,   8,  13,   3, 165
"37","21073","Franklin",   0,  0, 44,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
"38","21075","Fulton", 153, 11, 11,  75,  17,   3,   5,   2,   3,   3,   2,   2,   0,  41
"39","21077","Gallatin",   0,  0,  8,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
