"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.bloombergm","results.buttigiegp","results.klobuchara","results.steyert","results.gabbardt","results.patrickd","results.no_preference","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.bookerc","results.castroj"
"1","25001","Barnstable", 55378, 65, 65, 21387, 12041,  9348,  7996,  2157,  1045,   425,   388,   212,   185,    85,    45,    31,    18,    13,     2
"2","25003","Berkshire", 28482, 59, 59, 10965,  8171,  5521,  2633,   457,   225,    29,   117,   210,    72,    26,    15,    13,    11,     6,    11
"3","25005","Bristol", 76313,172,172, 28713, 22236,  9946, 10067,  2052,   758,   464,   640,   545,   506,   115,    87,    66,    60,    34,    24
"4","25007","Dukes",  5999,  7,  7,  1961,  1632,  1283,   721,   192,    99,    30,    36,    19,     7,     8,     5,     3,     0,     2,     1
"5","25009","Essex",153832,239,239, 52228, 41939, 27968, 20544,  4653,  2076,   880,  1476,   831,   580,   249,   165,    68,    78,    49,    48
"6","25011","Franklin", 19640, 39, 40,  4648,  7894,  4948,  1241,   310,   152,    66,   156,    83,    43,    31,     8,    10,    47,     2,     1
"7","25013","Hampden", 62103,165,166, 22892, 19169,  8547,  7814,  1162,   594,   146,   482,   545,   313,   117,   164,    29,    61,    28,    40
"8","25015","Hampshire", 43629, 56, 56, 10700, 15228, 12885,  3040,   713,   422,    57,   230,   141,   101,    56,    17,    16,     9,     8,     6
"9","25017","Middlesex",398925,474,474,122454, 98627,107955, 45491, 10845,  5214,  1503,  2723,  1361,  1222,   856,   246,   140,   138,   102,    48
"10","25019","Nantucket",  2593,  1,  1,  1052,   622,   384,   373,    66,    35,    17,    15,     9,     9,     4,     2,     1,     4,     0,     0
"11","25021","Norfolk",164368,211,211, 61414, 35480, 33389, 22620,  4536,  2208,   832,  1450,   641,   688,   341,   275,    77,   357,    50,    10
"12","25023","Plymouth", 95336,143,143, 37157, 22922, 14125, 13325,  3313,  1379,   781,   926,   559,   456,   161,    54,    64,    62,    33,    19
"13","25025","Suffolk",157693,298,298, 47436, 48273, 41522, 13659,  2441,   941,   374,   817,   967,   461,   309,   213,    67,   103,    59,    51
"14","25027","Worcester",133388,242,242, 47287, 38939, 21912, 15165,  4275,  1714,  1062,  1160,   728,   569,   263,   113,    68,    52,    45,    36
