"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.gabbardt","results.buttigiegp","results.klobuchara","results.delaneyj","results.steyert","results.bennetm","results.bookerc","results.williamsonm","results.castroj","results.sestakj","results.yanga","results.uncommitted"
"1","26001","Alcona",  1172,  12,  12,   742,   307,    61,    16,    12,     6,     4,     3,     3,     1,     1,     1,     0,     0,     0,    15
"2","26003","Alger",  1328,  10,  10,   769,   451,    29,    21,    18,    12,    10,     1,     1,     2,     0,     0,     0,     1,     1,    12
"3","26005","Allegan", 13798,  46,  46,  7572,  4839,   520,   195,   109,   259,   111,     6,    19,     9,     4,     5,     4,     3,    13,   130
"4","26007","Alpena",  4114,  17,  17,  2370,  1185,   214,    81,    27,    65,    59,     2,     7,     6,     2,     3,     2,     3,     2,    86
"5","26009","Antrim",  3471,  16,  16,  1871,  1219,   173,    70,    15,    51,    27,     1,     4,     3,     0,     2,     1,     1,     8,    25
"6","26011","Arenac",  1578,  17,  17,  1017,   468,    26,    15,    11,     8,    10,     0,     2,     1,     0,     1,     0,     1,     1,    17
"7","26013","Baraga",   798,   8,   8,   441,   280,    12,    10,    11,     9,    12,     0,     1,     2,     0,     0,     0,     0,     2,    18
"8","26015","Barry",  6520,  25,  25,  3417,  2324,   351,    98,    50,    84,    57,     1,    13,     6,     6,     2,     0,     4,     8,    99
"9","26017","Bay", 15320,  46,  46,  7993,  5046,  1013,   218,   106,   347,   140,     5,    34,    22,     7,     3,     2,    11,    21,   352
"10","26019","Benzie",  4303,  13,  13,  2129,  1602,   211,   102,    37,    69,    53,     2,     3,     3,     2,     3,     0,     0,     3,    84
"11","26021","Berrien", 19043,  62,  62, 11149,  5704,   483,   237,   124,   913,   131,     7,    17,     9,    11,    13,     5,    16,    19,   205
"12","26023","Branch",  3055,  22,  22,  1706,   981,   140,    60,    23,    57,    19,     2,     2,     3,     0,     2,     0,     3,     3,    54
"13","26025","Calhoun", 14020,  60,  60,  7546,  4942,   618,   245,    74,   233,    88,     3,    18,    19,     7,     3,     2,     8,    18,   196
"14","26027","Cass",  4590,  22,  22,  2907,  1264,    77,    39,    18,   175,    29,     1,     8,    11,    20,     0,     1,     2,     2,    36
"15","26029","Charlevoix",  3950,  20,  20,  2120,  1344,   211,    70,    20,    70,    59,     1,     6,     2,     2,     0,     1,     0,     6,    38
"16","26031","Cheboygan",  2683,  22,  22,  1538,   803,   158,    55,    17,    48,    22,     1,     5,     3,     0,     0,     0,     1,     1,    31
"17","26033","Chippewa",  3535,  19,  19,  1817,  1326,   138,    69,    35,    57,    31,     2,     7,     0,     1,     0,     1,     1,     6,    44
"18","26035","Clare",  2890,  19,  19,  1568,   951,   161,    37,    22,    41,    31,     0,     4,     1,     1,     3,     0,     8,     2,    60
"19","26037","Clinton", 12001,  34,  34,  6719,  3956,   585,   202,    76,   171,    99,     4,    11,    10,     3,     5,     1,     4,    12,   143
"20","26039","Crawford",  1595,  10,  10,   891,   494,    79,    23,    15,    36,    20,     2,     1,     3,     0,     1,     1,     1,     1,    27
"21","26041","Delta",  4137,  23,  23,  2317,  1302,   156,    58,    33,    90,    39,     1,     7,     5,     3,     3,     0,     1,     8,   114
"22","26043","Dickinson",  2685,  16,  16,  1518,   871,    93,    30,    28,    47,    28,     0,     5,     2,     1,     0,     0,     1,     1,    60
"23","26045","Eaton", 17883,  51,  51,  9244,  6088,  1206,   363,   113,   325,   200,     4,    31,    13,    11,     6,     4,     4,    36,   235
"24","26047","Emmet",  5715,  23,  23,  2943,  2099,   247,   122,    42,   111,    65,     0,     4,    10,     1,     6,     0,     0,     9,    56
"25","26049","Genesee", 64128, 231, 231, 37558, 20788,  2584,   690,   320,   633,   372,    26,    82,    67,    27,    24,     8,    36,    69,   844
"26","26051","Gladwin",  2495,  20,  20,  1491,   659,   170,    35,    16,    36,    21,     1,     3,     2,     2,     1,     1,     0,    11,    46
"27","26053","Gogebic",  2056,  11,  11,  1256,   626,    71,    22,    12,    11,    25,     0,     2,     2,     1,     0,     0,     3,     3,    22
"28","26055","Grand Traverse", 17573,  36,  36,  8485,  6814,   926,   387,   117,   397,   220,     4,    21,     7,     4,     9,     4,     4,    24,   150
"29","26057","Gratiot",  3639,  21,  21,  2091,  1250,    91,    53,    17,    45,    26,     0,     5,     3,     1,     1,     1,     4,     7,    44
"30","26059","Hillsdale",  3228,  26,  26,  1775,  1082,   155,    45,    30,    50,    30,     1,     6,     3,     0,     2,     3,     2,     2,    42
"31","26061","Houghton",  4531,  30,  30,  2171,  2005,    76,    89,    37,    39,    49,     0,     1,     3,     1,     1,     0,     2,     8,    49
"32","26063","Huron",  2948,  31,  31,  1765,   869,   128,    33,    24,    41,    16,     2,     7,     2,     3,     1,     0,     1,     8,    48
"33","26065","Ingham", 59466, 121, 121, 26857, 25016,  2921,  1729,   358,   995,   504,    13,    73,    53,    27,    28,    21,    22,   106,   743
