"","fips","name","votes","reporting","precincts","results.bidenj","results.klobuchara","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.steyert","results.gabbardt","results.delaneyj","results.patrickd","results.williamsonm","results.yanga","results.bennetm","results.bookerc","results.castroj","results.uncommitted"
"1","27001","Aitkin",  1553, 54, 54,  510,  395,  260,  228,   84,   36,    8,    4,    2,    1,    1,    1,    0,    0,    0,   23
"2","27003","Anoka", 35962,128,128,15176, 1425,11280, 3303, 4156,  221,   19,  133,    4,    1,    9,  105,   15,    1,    3,  111
"3","27005","Becker",  2213, 48, 48, 1120,  211,  440,  187,  188,   26,    4,   11,    2,    0,    0,    5,    0,    0,    1,   18
"4","27007","Beltrami",  4423, 63, 63, 1450,  357, 1720,  362,  407,   58,    5,   23,    2,    0,    1,    6,    5,    0,    1,   26
"5","27009","Benton",  2436, 27, 27,  982,  120,  817,  221,  244,   15,    1,   11,    2,    1,    0,    4,    3,    2,    1,   12
"6","27011","Big Stone",   473, 23, 23,  123,  175,   56,   58,   29,   17,    3,    3,    0,    0,    0,    1,    0,    0,    0,    8
"7","27013","Blue Earth",  7413, 54, 54, 2417,  632, 2766,  553,  826,  119,    7,   31,    1,    1,    2,   22,    4,    3,    3,   26
"8","27015","Brown",  1629, 32, 32,  650,  215,  336,  218,  148,   32,    4,    6,    0,    0,    1,    0,    0,    1,    1,   17
"9","27017","Carlton",  4554, 38, 38, 2057,  389, 1134,  516,  329,   56,    6,   19,    2,    1,    2,    8,    3,    3,    0,   29
"10","27019","Carver", 10729, 35, 35, 5165,  514, 2417, 1044, 1386,  120,    9,   34,    0,    0,    3,   14,    0,    0,    0,   23
"11","27021","Cass",  2525, 73, 73,  903,  342,  615,  371,  165,   76,    6,   10,    1,    0,    4,    9,    3,    0,    2,   18
"12","27023","Chippewa",   827, 25, 25,  319,  179,  149,   86,   57,   18,    1,    5,    2,    0,    0,    0,    0,    1,    1,    9
"13","27025","Chisago",  4182, 23, 23, 2030,  182,  973,  474,  436,   32,    2,   19,    3,    0,    3,    7,    2,    0,    0,   19
"14","27027","Clay",  5810, 58, 58, 2281,  500, 1768,  360,  762,   59,    4,   22,    2,    2,    2,    7,    1,    2,    0,   38
"15","27029","Clearwater",   500, 29, 29,  255,   45,  129,   33,   22,    4,    1,    1,    0,    0,    0,    2,    0,    0,    0,    8
"16","27031","Cook",  1554, 13, 13,  333,  339,  376,  126,  271,   78,    3,   11,    2,    0,    1,    0,    0,    1,    1,   12
"17","27033","Cottonwood",   539, 29, 29,  275,   21,  107,   73,   52,    4,    0,    1,    0,    0,    0,    1,    0,    0,    0,    5
"18","27035","Crow Wing",  5111, 62, 62, 2325,  476, 1139,  576,  438,   89,    3,   17,    1,    0,    3,    9,    4,    0,    1,   30
"19","27037","Dakota", 56478,141,141,24759, 2624,15479, 5116, 7457,  519,   24,  182,    7,    2,   17,  106,   13,   14,   12,  147
"20","27039","Dodge",  1304, 22, 22,  685,   59,  301,  109,  128,    7,    2,    5,    0,    0,    0,    3,    0,    1,    0,    4
"21","27041","Douglas",  2730, 37, 37, 1445,  175,  468,  340,  245,   22,    2,   12,    0,    0,    4,    3,    3,    0,    1,   10
"22","27043","Faribault",   834, 33, 33,  398,   74,  148,  129,   60,    9,    2,    2,    1,    0,    1,    1,    0,    1,    2,    6
"23","27045","Fillmore",  1710, 37, 37,  777,  176,  348,  162,  172,   29,   16,    4,    1,    0,    0,   12,    2,    1,    0,   10
"24","27047","Freeborn",  2641, 41, 41, 1315,  205,  656,  255,  143,   28,    4,    7,    1,    0,    0,    6,    4,    1,    0,   16
"25","27049","Goodhue",  4543, 40, 40, 2178,  289,  960,  509,  492,   49,    6,   28,    1,    0,    0,    8,    1,    1,    1,   20
"26","27051","Grant",   607, 23, 23,  115,  236,   80,   89,   28,   29,    0,    6,    0,    0,    1,    5,    0,    1,    0,   17
"27","27053","Hennepin",266801,425,425,92107,10991,88560,19072,51339, 2508,  127,  734,   49,   19,   66,  532,   84,   67,   31,  515
"28","27055","Houston",  1961, 27, 27,  964,   74,  506,  189,  196,    6,    1,    8,    1,    0,    0,    0,    1,    0,    0,   15
"29","27057","Hubbard",  1824, 38, 38,  788,  196,  421,  209,  149,   28,    8,    5,    2,    0,    0,    3,    1,    0,    0,   14
"30","27059","Isanti",  2470, 19, 19, 1217,  124,  595,  292,  195,   12,    1,   15,    0,    0,    0,    6,    1,    1,    0,   11
"31","27061","Itasca",  5187, 76, 76, 1988,  879, 1001,  667,  340,  156,   13,   27,    1,    3,    3,   15,    4,    5,    2,   83
"32","27063","Jackson",   617, 28, 28,  282,   95,  107,   74,   36,    7,    2,    3,    0,    0,    0,    1,    3,    0,    0,    7
"33","27065","Kanabec",   994, 20, 20,  513,   40,  228,  106,   82,   10,    0,    3,    1,    0,    1,    2,    0,    1,    1,    6
"34","27067","Kandiyohi",  3011, 48, 48, 1496,  238,  589,  371,  236,   31,    3,    8,    1,    0,    3,   12,    3,    3,    1,   16
"35","27069","Kittson",   508, 39, 39,  158,  198,   50,   39,   28,   13,    0,    3,    1,    0,    0,    0,    3,    0,    1,   14
