"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.gabbardt","results.warrene","results.yanga","results.buttigiegp","results.klobuchara","results.steyert","results.patrickd"
"1","28001","Adams", 3854, 19, 19, 3223,  468,  106,   18,    9,    8,    7,    7,    5,    3
"2","28003","Alcorn", 1303, 17, 17, 1035,  208,   30,   11,    4,    1,    3,    5,    3,    3
"3","28005","Amite", 1386, 21, 21, 1169,  154,   37,    4,    3,    4,    3,    4,    5,    3
"4","28007","Attala", 1858, 20, 20, 1487,  291,   49,   11,    9,    5,    2,    0,    3,    1
"5","28009","Benton",  680,  5,  5,  531,   86,   42,    2,    4,    3,    5,    1,    5,    1
"6","28011","Bolivar", 4368, 28, 28, 3638,  556,  108,   17,   20,    9,    8,    5,    5,    2
"7","28013","Calhoun",  910, 10, 10,  728,  129,   29,    2,   12,    2,    1,    4,    2,    1
"8","28015","Carroll",  999, 14, 14,  791,  138,   50,    7,    3,    4,    2,    1,    2,    1
"9","28017","Chickasaw", 1930, 15, 15, 1612,  218,   65,    8,    7,    0,    7,    5,    7,    1
"10","28019","Choctaw",  585, 13, 13,  474,   67,   26,    7,    2,    3,    1,    3,    0,    2
"11","28021","Claiborne", 1841, 11, 11, 1487,  237,   81,    6,    8,    4,    8,    4,    3,    3
"12","28023","Clarke", 1376, 23, 23, 1196,  116,   46,    3,    6,    5,    2,    1,    1,    0
"13","28025","Clay", 3005, 14, 14, 2603,  263,   96,   12,   17,    1,    7,    2,    1,    3
"14","28027","Coahoma", 3076, 18, 18, 2382,  462,   84,   38,   34,   28,    7,   17,   16,    8
"15","28029","Copiah", 3981, 19, 19, 3060,  719,  137,   16,   17,   10,    4,    5,    6,    7
"16","28031","Covington", 1684, 15, 15, 1442,  176,   46,    4,    5,    2,    3,    2,    1,    3
"17","28033","DeSoto",11102, 41, 41, 8592, 2187,  158,   31,   72,   10,   20,   19,   11,    2
"18","28035","Forrest", 6527, 34, 34, 4846, 1378,  182,   22,   57,   11,   11,    6,    6,    8
"19","28037","Franklin",  826, 14, 14,  624,  155,   40,    1,    2,    1,    2,    0,    0,    1
"20","28039","George",  561, 22, 22,  424,  105,   18,    0,    6,    2,    2,    2,    2,    0
"21","28041","Greene",  439, 13, 13,  376,   38,   15,    1,    1,    1,    3,    1,    2,    1
"22","28043","Grenada", 2314, 13, 13, 1918,  230,  103,   16,   13,    6,    5,   14,    5,    4
"23","28045","Hancock", 2081, 25, 25, 1419,  543,   34,   28,   26,    4,   13,   11,    2,    1
"24","28047","Harrison",12632, 53, 53, 9754, 2435,  242,   44,   80,   17,   28,   15,   11,    6
"25","28049","Hinds",43570,108,108,36263, 6215,  537,  132,  210,   54,   54,   45,   35,   25
"26","28051","Holmes", 3519, 17, 17, 2924,  453,   93,    6,    7,    6,   10,    6,    7,    7
"27","28053","Humphreys", 1865, 13, 13, 1520,  213,   90,   10,    8,    5,    7,    6,    5,    1
"28","28055","Issaquena",  219,  5,  5,  172,   28,   14,    1,    1,    1,    0,    1,    1,    0
"29","28057","Itawamba",  603, 28, 28,  454,  131,    7,    5,    1,    2,    1,    0,    0,    2
"30","28059","Jackson", 8327, 32, 32, 6632, 1422,  138,   30,   52,   12,   20,   14,    5,    2
"31","28061","Jasper", 2482, 17, 17, 2116,  236,   93,    5,    7,    2,    9,    6,    5,    3
"32","28065","Jeff Davis", 2201, 17, 17, 1839,  254,   75,    8,    8,    4,    6,    0,    5,    2
"33","28063","Jefferson", 1729, 12, 12, 1403,  242,   62,    5,    6,    2,    3,    0,    3,    3
"34","28067","Jones", 4264, 37, 37, 3560,  552,  106,    6,   14,    6,    6,    4,    5,    5
"35","28069","Kemper", 1447, 14, 14, 1249,  124,   53,    4,    3,    3,    2,    2,    3,    4
"36","28071","Lafayette", 3994, 18, 18, 2742, 1093,   62,   26,   40,    7,    8,    7,    6,    3
"37","28073","Lamar", 3316, 23, 23, 2469,  698,   78,   18,   19,    9,   11,   11,    3,    0
"38","28075","Lauderdale", 5967, 40, 40, 5151,  604,  149,   12,   17,    7,    6,    9,    4,    8
"39","28077","Lawrence", 1376, 24, 24, 1140,  161,   49,    4,    9,    1,    4,    2,    1,    5
"40","28079","Leake", 2164, 19, 19, 1735,  338,   63,    5,   11,    1,    1,    1,    7,    2
"41","28081","Lee", 5556, 36, 36, 4412,  941,  128,   14,   37,    9,    7,    4,    2,    2
"42","28083","Leflore", 3055, 18, 18, 2676,  273,   71,    3,   11,    3,    8,    3,    7,    0
