"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.no_preference"
"1","30001","Beaverhead",  929,16,16,  696,  126,   83,   24
"2","30003","Big Horn", 1194,19,19,  926,  193,   47,   28
"3","30005","Blaine",  859, 8, 8,  599,  144,   58,   58
"4","30007","Broadwater",  540, 5, 5,  426,   61,   31,   22
"5","30009","Carbon", 1651,13,13, 1324,  170,  106,   51
"6","30011","Carter",   49, 4, 4,   38,    4,    6,    1
"7","30013","Cascade",10332,23,23, 8252, 1073,  639,  368
"8","30015","Chouteau",  511, 9, 9,  396,   59,   42,   14
"9","30017","Custer", 1002,14,14,  811,   73,   87,   31
"10","30019","Daniels",  102, 4, 4,   91,    6,    3,    2
"11","30021","Dawson",  588, 7, 7,  471,   54,   40,   23
"12","30023","Deer Lodge", 2154,14,14, 1696,  202,  137,  119
"13","30025","Fallon",   69, 1, 1,   56,    7,    4,    2
"14","30027","Fergus",  997,16,16,  787,  100,   74,   36
"15","30029","Flathead",10761,42,42, 8300, 1439,  781,  241
"16","30031","Gallatin",19437,30,32,13638, 3572, 1878,  349
"17","30033","Garfield",   29, 4, 4,   24,    2,    3,    0
"18","30035","Glacier", 2100,16,16, 1444,  389,  141,  126
"19","30037","Golden Valley",   70, 2, 2,   56,    8,    5,    1
"20","30039","Granite",  387, 4, 4,  308,   46,   23,   10
"21","30041","Hill", 1914,17,17, 1482,  215,  133,   84
"22","30043","Jefferson", 1714,10,10, 1356,  188,  123,   47
"23","30045","Judith Basin",  189, 4, 4,  132,   22,   17,   18
"24","30047","Lake", 3888,22,22, 3038,  526,  244,   80
"25","30049","Lewis and Clark",12580,37,37, 9368, 1718, 1129,  365
"26","30051","Liberty",  201, 4, 4,  146,   26,   20,    9
"27","30053","Lincoln", 1879,10,14, 1489,  228,  129,   33
"28","30057","Madison", 1077, 2, 8,  866,  113,   61,   37
"29","30055","McCone",  109, 1, 3,   86,    7,    9,    7
"30","30059","Meagher",  164, 1, 1,  138,   16,    8,    2
"31","30061","Mineral",  433, 6, 6,  329,   72,   23,    9
"32","30063","Missoula",27375,43,52,18131, 5852, 2857,  535
"33","30065","Musselshell",  276, 6, 6,  214,   26,   18,   18
"34","30067","Park", 3314,11,11, 2472,  519,  265,   58
"35","30069","Petroleum",   30, 1, 1,   18,    3,    5,    4
"36","30071","Phillips",  242, 2, 2,  185,   22,   20,   15
"37","30073","Pondera",  540, 8, 8,  417,   68,   31,   24
"38","30075","Powder River",   81, 7, 7,   66,    9,    6,    0
"39","30077","Powell",  588,13,13,  428,   77,   52,   31
"40","30079","Prairie",   74, 4, 4,   56,   10,    7,    1
"41","30081","Ravalli", 5438,24,24, 4257,  661,  390,  130
"42","30083","Richland",  462,13,13,  368,   46,   33,   15
"43","30085","Roosevelt",  850,12,12,  657,  110,   49,   34
"44","30087","Rosebud",  643,12,12,  511,   66,   41,   25
"45","30089","Sanders", 1211, 9, 9,  933,  141,   95,   42
"46","30091","Sheridan",  353, 4, 6,  274,   43,   15,   21
"47","30093","Silver Bow", 8151,31,31, 6317,  918,  513,  403
"48","30095","Stillwater",  784, 8, 8,  655,   64,   43,   22
"49","30097","Sweet Grass",  329, 5, 5,  274,   26,   22,    7
"50","30099","Teton",  665, 5, 5,  533,   58,   47,   27
"51","30101","Toole",  297, 5, 5,  229,   37,   21,   10
"52","30103","Treasure",   58, 3, 3,   50,    5,    3,    0
"53","30105","Valley",  654, 3, 3,  500,   76,   50,   28
"54","30107","Wheatland",  139, 5, 5,  110,   11,   13,    5
"55","30109","Wibaux",   41, 1, 1,   36,    4,    0,    1
"56","30111","Yellowstone",18982,44,44,14880, 2255, 1261,  586
