"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt","results.write_ins"
"1","31001","Adams", 1962, 29, 29, 1483,  242,  121,   65,   51
"2","31003","Antelope",  279, 14, 14,  216,   20,   21,   22,    0
"3","31005","Arthur",   10,  1,  1,    9,    0,    0,    1,    0
"4","31007","Banner",   13,  2,  2,   12,    0,    1,    0,    0
"5","31009","Blaine",   15,  1,  1,   14,    0,    1,    0,    0
"6","31011","Boone",  360,  9,  9,  246,   29,   27,   28,   30
"7","31013","Box Butte",  558, 10, 10,  442,   57,   35,   24,    0
"8","31015","Boyd",   83,  4,  4,   60,    6,    7,    3,    7
"9","31017","Brown",   82,  3,  3,   57,   14,    6,    5,    0
"10","31019","Buffalo", 2557, 29, 29, 1900,  331,  154,   91,   81
"11","31021","Burt",  594, 12, 12,  477,   52,   35,   15,   15
"12","31023","Butler",  476, 12, 12,  352,   47,   31,   20,   26
"13","31025","Cass", 1996, 30, 30, 1584,  183,   99,   77,   53
"14","31027","Cedar",  502, 13, 13,  358,   46,   52,   46,    0
"15","31029","Chase",  117,  6,  6,   84,    8,   14,    8,    3
"16","31031","Cherry",  198, 20, 20,  147,   23,   18,   10,    0
"17","31033","Cheyenne",  399, 10, 10,  313,   45,   27,   14,    0
"18","31035","Clay",  356, 12, 12,  266,   49,   22,   19,    0
"19","31037","Colfax",  455,  6,  6,  354,   41,   32,   28,    0
"20","31039","Cuming",  398,  8,  8,  304,   23,   30,   22,   19
"21","31041","Custer",  427, 30, 30,  327,   28,   22,   27,   23
"22","31043","Dakota",  829, 14, 14,  664,   98,   38,   29,    0
"23","31045","Dawes",  547, 12, 12,  389,   91,   47,   20,    0
"24","31047","Dawson",  761, 21, 21,  562,   98,   39,   26,   36
"25","31049","Deuel",   55,  3,  3,   44,    4,    6,    1,    0
"26","31051","Dixon",  353, 13, 13,  270,   31,   26,   26,    0
"27","31053","Dodge", 2517, 34, 34, 2016,  275,  138,   88,    0
"28","31055","Douglas",63739,237,237,48603, 9821, 4019, 1296,    0
"29","31057","Dundy",   51,  4,  4,   35,    6,    8,    2,    0
"30","31059","Fillmore",  425, 10, 10,  325,   37,   31,   23,    9
"31","31061","Franklin",  158,  5,  5,  137,    7,    7,    7,    0
"32","31063","Frontier",   98,  5,  5,   80,    4,    2,    5,    7
"33","31065","Furnas",  160,  8,  8,  120,   19,   10,   11,    0
"34","31067","Gage", 1898, 11, 11, 1558,  170,   97,   73,    0
