"","fips","name","votes","reporting","precincts","results.sandersb","results.buttigiegp","results.klobuchara","results.steyert","results.warrene","results.bidenj","results.bennetm","results.delaneyj","results.gabbardt","results.patrickd","results.yanga","results.uncommitted","votes_align1","results_align1.sandersb","results_align1.klobuchara","results_align1.buttigiegp","results_align1.steyert","results_align1.warrene","results_align1.bidenj","results_align1.yanga","results_align1.gabbardt","results_align1.bennetm","results_align1.delaneyj","results_align1.patrickd","results_align1.uncommitted","votes_alignfinal","results_alignfinal.sandersb","results_alignfinal.klobuchara","results_alignfinal.buttigiegp","results_alignfinal.warrene","results_alignfinal.steyert","results_alignfinal.bidenj","results_alignfinal.yanga","results_alignfinal.gabbardt","results_alignfinal.bennetm","results_alignfinal.delaneyj","results_alignfinal.patrickd","results_alignfinal.uncommitted"
"1","32510","Carson City",  216,  26,  26,  96,  39,  33,  19,  19,  10,   0,   0,   0,   0,   0,   0, 2713,  823,  443,  421,  337,  330,  324,   17,   15,    0,    0,    0,    3, 2736, 1060,  533,  520,  245,  203,  145,    2,    1,    0,    0,    0,   27
"2","32001","Churchill",   91,  19,  19,  31,  18,   9,  13,   8,  12,   0,   0,   0,   0,   0,   0,  637,  172,   76,  119,   96,   72,   94,    1,    3,    1,    0,    0,    3,  625,  199,   63,  139,   48,   91,   85,    0,    0,    0,    0,    0,    0
"3","32003","Clark",10807,1257,1257,5293,1297, 230, 442, 917,2623,   0,   0,   3,   0,   0,   2,70417,24944, 5371,10115, 6202, 8434,14125,  478,  234,  118,    1,   82,  313,68155,29162, 2692,10468, 6833, 2398,16279,   38,   21,   36,    0,    0,  228
"4","32005","Douglas",  247,  42,  42,  76,  79,  38,  15,  26,  13,   0,   0,   0,   0,   0,   0, 2850,  632,  517,  608,  373,  292,  403,    5,    7,    4,    0,    1,    8, 2717,  707,  562,  815,  181,  235,  211,    0,    0,    0,    0,    0,    6
"5","32007","Elko",  107,  41,  41,  42,  23,  17,   0,  15,   9,   0,   0,   0,   0,   0,   1,  750,  267,  100,  169,   19,   86,   93,    2,    5,    0,    0,    0,    9,  701,  297,   93,  181,   60,    4,   59,    0,    1,    0,    0,    0,    6
"6","32009","Esmeralda",   19,   5,   5,  11,   4,   0,   0,   2,   2,   0,   0,   0,   0,   0,   0,   16,   10,    0,    2,    0,    2,    2,    0,    0,    0,    0,    0,    0,   16,   10,    0,    3,    1,    0,    2,    0,    0,    0,    0,    0,    0
"7","32011","Eureka",   18,   4,   4,  14,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   14,    9,    0,    3,    0,    1,    1,    0,    0,    0,    0,    0,    0,   14,   10,    0,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0
"8","32013","Humboldt",   87,  15,  15,  40,  18,   8,   5,   5,   9,   0,   0,   1,   0,   1,   0,  233,   87,   30,   47,   14,   14,   29,    4,    5,    0,    0,    1,    2,  228,   98,   23,   60,   10,    8,   26,    2,    1,    0,    0,    0,    0
"9","32015","Lander",   62,   9,   9,  26,   6,   5,   3,  15,   7,   0,   0,   0,   0,   0,   0,   80,   28,    9,    5,   10,   19,    9,    0,    0,    0,    0,    0,    0,   75,   28,    7,    5,   21,    6,    8,    0,    0,    0,    0,    0,    0
"10","32017","Lincoln",   57,   5,   5,  24,  25,   0,   6,   0,   2,   0,   0,   0,   0,   0,   0,   48,   15,    3,   15,    5,    2,    6,    0,    0,    0,    0,    0,    2,   46,   18,    0,   19,    0,    7,    1,    0,    0,    0,    0,    0,    1
"11","32019","Lyon",  171,  40,  40,  58,  43,  11,  19,  17,  20,   0,   0,   0,   0,   0,   3, 1496,  450,  161,  260,  215,  189,  195,    1,    6,    0,    0,    1,   18, 1461,  528,  110,  340,  138,  171,  157,    0,    1,    0,    0,    0,   16
"12","32021","Mineral",   56,  12,  12,  13,  15,   3,  16,   5,   4,   0,   0,   0,   0,   0,   0,  118,   26,   11,   30,   24,   12,   13,    0,    0,    1,    0,    0,    1,  119,   21,    5,   42,   15,   25,   11,    0,    0,    0,    0,    0,    0
"13","32023","Nye",  164,  33,  33,  41,  47,   5,  38,   7,  26,   0,   0,   0,   0,   0,   0, 1379,  298,  138,  288,  268,  125,  245,    6,    1,    5,    0,    0,    5, 1379,  308,   95,  353,   57,  310,  255,    0,    0,    0,    0,    0,    1
"14","32027","Pershing",   69,   6,   6,   9,  21,  12,  13,   5,   9,   0,   0,   0,   0,   0,   0,  115,   17,   18,   29,   21,   12,   17,    0,    1,    0,    0,    0,    0,  109,   12,   15,   35,    9,   24,   13,    0,    0,    0,    0,    0,    1
"15","32029","Storey",   74,  15,  15,  25,  15,   7,   9,   7,  11,   0,   0,   0,   0,   0,   0,  233,   67,   25,   43,   31,   28,   32,    0,    6,    1,    0,    0,    0,  235,   81,   20,   41,   26,   23,   40,    0,    0,    0,    0,    0,    4
"16","32031","Washoe", 2170, 558, 558, 959, 390, 220,  81, 354, 165,   0,   0,   0,   0,   0,   1,23644, 7760, 3183, 3912, 1880, 3809, 2821,   98,   70,   10,    0,    1,  100,22798, 8486, 3137, 4536, 4056,  609, 1876,    7,    7,    0,    0,    8,   76
"17","32033","White Pine",   76,  10,  10,  30,  29,   5,   3,   4,   5,   0,   0,   0,   0,   0,   0,  140,   47,   15,   36,    8,   11,   15,    0,    0,    0,    0,    0,    8,  129,   50,   21,   37,    3,    6,   11,    0,    0,    0,    0,    0,    1
