"","fips","name","votes","reporting","precincts","results.sandersb","results.buttigiegp","results.klobuchara","results.bidenj","results.warrene","results.steyert","results.gabbardt","results.yanga","results.total_write_ins","results.bennetm","results.ellingerm","results.patrickd","results.sestakj","results.bookerc","results.harrisk","results.krichevskyr","results.koost","results.krausl","results.boydm","results.bullocks","results.burkes","results.castroj","results.delaneyj","results.hewesh","results.williamsonm","results.dunlapj","results.gleibermanb","results.sloans","results.torgesent","results.wellsr","results.de_la_fuente_iiir","results.greensteinm","results.morozr","results.thistled"
"1","33001","Belknap",11459,16,16, 2688, 2812, 2438, 1126,  840,  479,  410,  257,  230,   48,   38,   35,   15,    8,    6,    4,    3,    3,    2,    2,    2,    2,    2,    2,    2,    1,    1,    1,    1,    1,    0,    0,    0,    0
"2","33003","Carroll",11136,19,19, 2605, 2813, 2464, 1020,  903,  323,  403,  229,  252,   31,    0,   43,    5,   13,    8,    0,    1,    2,    2,    1,    1,    3,    2,    2,    6,    0,    0,    0,    1,    1,    1,    0,    0,    1
"3","33005","Cheshire",19012,27,27, 5973, 4053, 3616, 1264, 1816,  651,  582,  597,  270,   43,    9,   54,    9,    6,   10,    1,    4,    0,    1,    4,    9,    7,    2,    6,    7,    1,    4,    0,    4,    0,    1,    3,    0,    5
"4","33007","Coos", 5354,25,25, 1561, 1094,  909,  566,  395,  231,  206,  149,  145,    7,    0,   17,   15,    4,    3,    1,    5,    0,    1,    1,    5,    1,    3,   14,    6,    0,    7,    1,    2,    0,    0,    1,    0,    4
"5","33009","Grafton",24347,41,41, 6598, 5815, 4274, 1685, 3322,  548,  559,  872,  456,   55,    5,   85,    5,   13,    6,    0,    2,    2,    0,    7,    6,    2,    4,    2,    4,    0,    5,    1,    3,    2,    1,    0,    1,    7
"6","33011","Hillsborough",84032,50,50,21604,20523,16698, 7357, 7243, 3165, 3051, 2382,  937,  302,    5,  393,   46,   36,   27,   13,   22,    9,    5,   19,   21,   30,   24,    7,   29,    3,    8,   14,    5,   17,    1,   11,    5,   20
"7","33013","Merrimack",35237,38,38, 8632, 8465, 7852, 2862, 3171, 1332, 1162,  898,  394,  182,    0,  164,   15,   17,    7,    1,    7,    1,    5,   12,    6,    7,   13,    1,    5,    1,    1,    8,    3,    7,    1,    2,    0,    3
"8","33015","Rockingham",67413,41,41,15331,17936,13743, 6071, 5930, 2660, 2083, 1740, 1132,  177,    4,  324,   14,   44,   26,    0,   13,    4,   14,   11,   24,   24,   15,   15,   29,    1,    3,    5,    8,   12,    5,    6,    2,    7
"9","33017","Strafford",29780,27,27, 8912, 6758, 5176, 2246, 2929, 1074,  885,  953,  483,   84,    3,  128,   13,   11,   11,    2,   10,    0,    2,    4,    6,    4,   16,    2,    5,    4,    2,    2,    2,   40,    1,    6,    1,    5
"10","33019","Sullivan", 8852,17,17, 2420, 2188, 1626,  724,  838,  264,  314,  238,  150,   34,    1,   23,    6,    3,    0,    1,    3,    0,    0,    2,    5,    1,    1,    3,    2,    0,    0,    1,    1,    1,    1,    0,    0,    1
