"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.yanga","results.gabbardt","results.patrickd","results.uncommitted"
"1","35001","Bernalillo",87954,607,607,63565,14515, 5768, 1367,  836,  247, 1656
"2","35003","Catron",  345,  9,  9,  232,   56,   28,    6,    7,    5,   11
"3","35005","Chaves", 2672, 63, 63, 1981,  339,  126,   54,   35,   15,  122
"4","35006","Cibola", 2908, 29, 29, 2079,  356,  131,   93,   47,   24,  178
"5","35007","Colfax", 1940, 21, 21, 1444,  171,   86,   53,   46,   24,  116
"6","35009","Curry", 1727, 37, 37, 1268,  181,   56,   35,   27,   37,  123
"7","35011","DeBaca",  201,  4,  4,  140,   14,    8,    6,    2,    8,   23
"8","35013","Dona Ana",16057,170,170,12271, 2205,  783,  242,  159,   52,  345
"9","35015","Eddy", 3018, 41, 41, 2219,  309,  108,   77,   48,   30,  227
"10","35017","Grant", 5347, 39, 39, 3677,  889,  315,  116,   89,   38,  223
"11","35019","Guadalupe", 1261,  5,  5,  857,  246,   27,   30,   25,    6,   70
"12","35021","Harding",  135,  3,  3,  104,   14,    4,    2,    6,    1,    4
"13","35023","Hidalgo",  738,  6,  6,  520,   98,   36,   20,   17,    7,   40
"14","35025","Lea", 1605, 49, 49, 1132,  172,   74,   38,   37,   23,  129
"15","35027","Lincoln", 1315, 22, 22, 1041,  143,   61,   14,   11,    3,   42
"16","35028","Los Alamos", 3727, 21, 21, 2506,  572,  441,   93,   59,    8,   48
"17","35029","Luna", 2035, 17, 17, 1460,  265,  106,   36,   47,   13,  108
"18","35031","McKinley", 7912, 65, 65, 5511, 1398,  388,  172,  104,   67,  272
"19","35033","Mora", 1596, 11, 11, 1173,  251,   49,   31,   23,   10,   59
"20","35035","Otero", 3439, 59, 59, 2695,  391,  131,   59,   45,   19,   99
"21","35037","Quay",  799, 12, 12,  593,   78,   29,   16,    9,   10,   64
"22","35039","Rio Arriba", 7863, 46, 46, 5930, 1066,  308,  120,  120,   42,  277
"23","35041","Roosevelt",  510, 19, 19,  353,   62,   41,   15,    9,    3,   27
"24","35045","San Juan", 7325, 77, 77, 5266, 1081,  386,  162,   75,   62,  293
"25","35047","San Miguel", 6286, 29, 29, 4742,  928,  267,   72,   76,   21,  180
"26","35043","Sandoval",18851,139,139,14577, 2420,  902,  312,  183,   45,  412
"27","35049","Santa Fe",23947,136,154,18000, 3361, 1696,  263,  209,   37,  381
"28","35051","Sierra", 1249,  9,  9,  902,  188,   70,   24,   18,   11,   36
"29","35053","Socorro", 1485, 27, 27,  984,  270,  123,   23,   30,    9,   46
"30","35055","Taos", 8511, 47, 47, 5778, 1833,  504,   99,   88,   23,  186
"31","35057","Torrance", 1409, 19, 19, 1016,  192,   70,   32,   16,   11,   72
"32","35059","Union",  300,  6,  6,  199,   37,   17,   10,    5,    2,   30
"33","35061","Valencia", 7657, 62, 62, 5879,  866,  312,  136,   98,   42,  324
