"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.buttigiegp","results.yanga","results.gabbardt","results.klobuchara","results.bloombergm","results.patrickd","results.steyert","results.bennetm"
"1","36001","Albany", 13285, 316, 319,  8828,  2526,   511,   393,   295,   212,   212,   183,    61,    38,    26
"2","36003","Allegany",   207,  29,  29,   120,    56,    12,     8,     1,     2,     4,     1,     2,     1,     0
"3","36005","Bronx", 76706, 999, 999, 51798, 14830,  2222,   742,   826,   462,   513,  4501,   158,   143,   511
"4","36047","Brooklyn",159808,1843,1843,101311, 34489,  9505,  1616,  2945,  1047,  1049,  6646,   458,   271,   471
"5","36007","Broome",  3727, 141, 141,  2278,   916,   144,   118,    68,    42,    71,    37,    23,    21,     9
"6","36009","Cattaraugus",   943,  55,  55,   579,   169,    37,    36,    24,    14,    30,    21,    16,    12,     5
"7","36011","Cayuga",  1148,  47,  47,   778,   228,    39,    37,    22,     7,    18,    11,     3,     2,     3
"8","36013","Chautauqua",  1351,  49,  49,   856,   315,    53,    36,    29,    12,    16,    11,    12,     7,     4
"9","36015","Chemung",  1752,  89,  89,  1236,   310,    56,    41,    28,    18,    20,    17,    14,     9,     3
"10","36017","Chenango",   323,  26,  26,   180,   102,    13,     6,     9,     1,     4,     4,     1,     2,     1
"11","36019","Clinton",  1403,  51,  51,   837,   409,    47,    42,    25,    15,     7,    14,     3,     2,     2
"12","36021","Columbia",  1827,  50,  50,  1206,   445,    93,    34,    20,     9,     7,     8,     3,     2,     0
"13","36023","Cortland",   786,  33,  51,   499,   182,    43,    27,     8,     6,     7,     9,     3,     2,     0
"14","36025","Delaware",   698,  55,  55,   443,   149,    41,    14,    15,    10,     8,     6,     6,     5,     1
"15","36027","Dutchess",  5770,  26,  26,  3847,  1324,   263,   106,    73,    25,    36,    69,    11,     9,     7
"16","36029","Erie", 27322, 328, 336, 18253,  5023,  1056,   732,   668,   465,   396,   300,   220,   129,    80
"17","36031","Essex",   563,  42,  42,   341,   156,    25,    13,     9,     6,     6,     5,     1,     0,     1
"18","36033","Franklin",   821,  20,  20,   521,   216,    22,    29,     9,     9,     8,     3,     1,     3,     0
"19","36035","Fulton",   441,  42,  42,   293,    91,    12,     9,    10,     2,    11,     6,     3,     3,     1
"20","36037","Genesee",  1174,  52,  52,   716,   215,    54,    50,    32,    20,    30,    22,    14,    15,     6
"21","36039","Greene",   897,  52,  52,   577,   219,    49,    15,    14,     4,     9,     5,     2,     3,     0
"22","36041","Hamilton",    82,  11,  11,    60,    14,     3,     2,     0,     0,     2,     0,     1,     0,     0
"23","36043","Herkimer",   555,  32,  32,   312,   144,    22,    24,     6,     4,    18,    12,     5,     4,     4
"24","36045","Jefferson",   905,  69,  69,   598,   200,    27,    32,    11,     9,    11,     7,     5,     3,     2
"25","36049","Lewis",   237,  17,  17,   145,    53,    14,    10,     4,     1,     4,     0,     1,     3,     2
"26","36051","Livingston",  1703,  18,  18,  1130,   316,    69,    66,    37,    24,    26,    14,    10,     8,     3
"27","36053","Madison",  1165,   1,   1,   783,   223,    45,    51,    10,    17,    10,     6,     5,     6,     9
"28","36061","Manhattan", 82211,1298,1298, 55594, 14592,  5213,  1240,  1314,   442,   500,  2935,   149,    71,   161
"29","36055","Monroe", 28107, 127, 127, 20246,  4929,  1163,   577,   404,   177,   245,   192,    57,    63,    54
"30","36057","Montgomery",   729,   2,   2,   481,   137,    12,    35,    20,    14,     9,     8,     7,     3,     3
"31","36059","Nassau", 32595,1205,1205, 25421,  4904,   607,   509,   349,   163,    12,   510,    57,    26,    37
"32","36063","Niagara",  6669,  41,  41,  4437,   971,   228,   210,   169,   152,   157,   127,    97,    56,    65
"33","36065","Oneida",  2978, 192, 192,  1911,   658,   131,    95,    47,    26,    48,    24,    17,     8,    13
"34","36067","Onondaga", 13571, 164, 164,  9679,  2393,   544,   348,   175,   113,   130,   103,    35,    31,    20
"35","36069","Ontario",  2802,  40,  92,  1836,   489,   189,    68,    96,    25,    45,    16,    17,    12,     9
"36","36071","Orange",  7209,  41,  48,  5307,  1300,   185,   114,    66,    50,    39,   109,    20,     8,    11
"37","36073","Orleans",   484,  14,  14,   338,    67,    18,    17,     9,     5,    11,     8,     5,     3,     3
"38","36075","Oswego",  1273, 110, 110,   805,   294,    45,    58,    15,    10,    14,    10,    13,     8,     1
"39","36077","Otsego",  1205,  49,  49,   779,   248,    81,    33,    20,    11,    11,     5,     9,     2,     6
"40","36079","Putnam",  2133,  44,  44,  1485,   432,    87,    37,    25,    24,     6,    30,     2,     1,     4
"41","36081","Queens",110465,1434,1434, 72773, 20833,  4424,  1317,  2522,  1124,   778,  5969,   256,   180,   289
"42","36083","Rensselaer",  3621,  17,  17,  2258,   912,   193,    75,    61,    30,    40,    25,    12,     9,     6
"43","36087","Rockland", 13590,  44,  44,  9771,  1833,   406,   293,   295,   161,   156,   538,    66,    40,    31
"44","36089","Saint Lawrence",  1764,  81,  81,  1054,   424,    64,    75,    49,    17,    23,    21,    20,    10,     7
"45","36091","Saratoga",  3826,  23,  23,  2507,   862,   185,   120,    61,    25,    30,    16,    10,     9,     1
"46","36093","Schenectady",  4164,  59,  59,  2842,   811,   186,   113,    87,    39,    36,    32,     8,     4,     6
"47","36095","Schoharie",   415,  22,  22,   272,    80,    24,    14,     6,     6,     7,     2,     2,     2,     0
"48","36097","Schuyler",   377,  19,  20,   241,    79,    20,    12,     4,     4,     5,     3,     6,     2,     1
"49","36099","Seneca",   358,  27,  27,   218,    95,    17,     4,     8,     4,     2,     8,     2,     0,     0
