"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.no_preference","results.steyert","results.gabbardt","results.yanga","results.bookerc","results.bennetm","results.delaneyj","results.castroj","results.patrickd","results.williamsonm"
"1","37001","Alamance", 17540, 37, 37, 7654, 4346, 2296, 1630,  600,  379,  260,  111,   85,   42,   29,   27,   24,   23,   17,   17
"2","37003","Alexander",  2298, 10, 10,  931,  431,  430,  134,   87,   81,   90,   50,   20,   16,    8,    3,    5,    3,    6,    3
"3","37005","Alleghany",  1067,  4,  4,  357,  207,  241,   52,   52,   61,   53,   10,   10,    2,    1,   10,    3,    3,    3,    2
"4","37007","Anson",  3321, 13, 13, 2070,  427,  364,   87,   32,   54,  177,   37,   12,    9,   10,   23,    4,    1,    9,    5
"5","37009","Ashe",  2381, 17, 17,  964,  528,  373,  229,  100,   72,   62,   13,   21,    5,    2,    6,    2,    2,    1,    1
"6","37011","Avery",  1013, 20, 20,  450,  263,  126,   82,   20,   39,   16,    5,    7,    0,    1,    1,    2,    0,    1,    0
"7","37013","Beaufort",  5260, 23, 23, 2752,  770,  876,  267,  136,  146,  145,   38,   43,   12,   13,   23,   12,    5,   10,   12
"8","37015","Bertie",  3163, 12, 12, 1794,  508,  459,   74,   29,   58,  119,   18,   38,   13,    7,   18,   11,    3,   10,    4
"9","37017","Bladen",  4206, 16, 16, 2488,  578,  511,  136,   40,   71,  233,   42,   41,   12,   14,   14,    5,    4,    7,   10
"10","37019","Brunswick", 17180, 26, 26, 7745, 2572, 3538, 1076, 1026,  767,  169,  124,   68,   13,   16,   21,    7,    5,   17,   16
"11","37021","Buncombe", 61827, 78, 78,15433,23227, 4901,10582, 3058, 2383,  400, 1188,  365,  108,   31,   47,   22,   22,   20,   40
"12","37023","Burke",  6849, 33, 33, 3007, 1483, 1033,  473,  224,  221,  209,   74,   45,   21,   20,   14,   11,    4,    5,    5
"13","37025","Cabarrus", 21135, 52, 52,10585, 5285, 2335, 1656,  387,  274,  243,  108,  106,   44,   35,   28,   10,   14,   13,   12
"14","37027","Caldwell",  4425, 23, 23, 1849, 1036,  680,  297,  186,  116,  133,   39,   31,   17,   10,    8,    5,    3,    8,    7
"15","37029","Camden",   780,  4,  4,  403,  116,  125,   53,   29,   13,   27,    4,    3,    0,    1,    0,    2,    0,    3,    1
"16","37031","Carteret",  6762, 30, 30, 2948, 1237, 1231,  497,  286,  242,  151,   57,   52,   17,   10,    8,    5,    6,    5,   10
"17","37033","Caswell",  3053,  9,  9, 1469,  566,  476,  142,   46,   53,  203,   27,   21,    7,    8,   10,    2,    4,    6,   13
