"","fips","name","votes","reporting","precincts","results.bennetm","results.bidenj","results.bloombergm","results.buttigiegp","results.delaneyj","results.gabbardt","results.klobuchara","results.patrickd","results.sandersb","results.steyert","results.warrene","results.yanga"
"1","belcourt-caucus","Belcourt Caucus",0,0, 10,0,0,0,0,0,0,0,0,0,0,0,0
"2","bismarck-caucus","Bismarck Caucus",0,0,225,0,0,0,0,0,0,0,0,0,0,0,0
"3","cannonball-caucus","Cannonball Caucus",0,0, 10,0,0,0,0,0,0,0,0,0,0,0,0
"4","devils-lake-caucus","Devils Lake Caucus",0,0, 10,0,0,0,0,0,0,0,0,0,0,0,0
"5","dickinson-caucus","Dickinson Caucus",0,0, 35,0,0,0,0,0,0,0,0,0,0,0,0
"6","fargo-caucus","Fargo Caucus",0,0,225,0,0,0,0,0,0,0,0,0,0,0,0
"7","fort-totten-caucus","Fort Totten Caucus",0,0, 10,0,0,0,0,0,0,0,0,0,0,0,0
"8","grand-forks-caucus","Grand Forks Caucus",0,0,175,0,0,0,0,0,0,0,0,0,0,0,0
"9","jamestown-caucus","Jamestown Caucus",0,0, 35,0,0,0,0,0,0,0,0,0,0,0,0
"10","minot-caucus","Minot Caucus",0,0, 75,0,0,0,0,0,0,0,0,0,0,0,0
"11","new-town-caucus","New Town Caucus",0,0, 10,0,0,0,0,0,0,0,0,0,0,0,0
"12","valley-city-caucus","Valley City Caucus",0,0, 10,0,0,0,0,0,0,0,0,0,0,0,0
"13","vote-by-mail-caucus","Vote By Mail Caucus",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"14","wahpeton-caucus","Wahpeton Caucus",0,0, 35,0,0,0,0,0,0,0,0,0,0,0,0
"15","williston-caucus","Williston Caucus",0,0, 35,0,0,0,0,0,0,0,0,0,0,0,0
