"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.gabbardt","results.klobuchara","results.steyert","results.patrickd","results.bennetm","results.bookerc","results.write_ins"
"1","39001","Adams",   812, 21, 21,  620,  108,   33,   21,   10,    9,    7,    3,    1,    0,    0,    0
"2","39003","Allen",  4588, 88, 88, 3497,  587,  138,  152,   89,   12,   59,   31,    9,   14,    0,    0
"3","39005","Ashland",  2017, 39, 39, 1417,  311,  110,   57,   48,   17,   38,   13,    0,    5,    0,    1
"4","39007","Ashtabula",  6160,104,104, 4544,  758,  276,  176,  164,   34,  125,   26,   11,   19,   15,   12
"5","39009","Athens",  6379, 56, 56, 3758, 1986,   90,  280,   65,   52,   89,   20,    1,   10,    0,   28
"6","39011","Auglaize",  1551, 39, 39, 1174,  194,   41,   44,   29,   10,   30,   11,    2,    6,    1,    9
"7","39013","Belmont",  4607, 70, 70, 3227,  636,  165,  126,  142,   80,  118,   29,    8,   37,    0,   39
"8","39015","Brown",  1652, 32, 32, 1284,  185,   68,   45,   18,    8,   24,   13,    2,    4,    0,    1
"9","39017","Butler", 17184,282,282,12786, 3017,  372,  490,  222,   50,  195,   23,    9,   20,    0,    0
"10","39019","Carroll",  1386, 23, 23, 1056,  169,   41,   35,   25,    8,   21,   11,    1,   11,    0,    8
"11","39021","Champaign",  1793, 28, 28, 1274,  302,   77,   47,   47,    6,   25,    8,    5,    2,    0,    0
"12","39023","Clark",  8203, 90, 90, 6226, 1140,  285,  225,  126,   30,  107,   27,    8,   29,    0,    0
"13","39025","Clermont", 10356,166,166, 7450, 1887,  280,  320,  190,   59,  117,   27,    5,   21,    0,    0
"14","39027","Clinton",  1370, 36, 36,  976,  268,   34,   39,   20,    5,   18,    1,    2,    7,    0,    0
"15","39029","Columbiana",  4807, 87, 87, 3584,  600,  170,  129,  119,   32,   96,   23,    7,   16,   14,   17
"16","39031","Coshocton",  1866, 23, 23, 1314,  274,   96,   64,   49,    8,   23,   16,    9,   13,    0,    0
"17","39033","Crawford",  1802, 35, 35, 1287,  246,   95,   68,   39,   10,   31,   12,    4,   10,    0,    0
"18","39035","Cuyahoga",136019,975,975,95606,21930, 6794, 5664, 2533,  625, 1777,  293,  100,  303,    0,  394
"19","39037","Darke",  1785, 43, 43, 1338,  244,   56,   48,   50,   10,   27,    6,    0,    6,    0,    0
"20","39039","Defiance",  2109, 33, 33, 1523,  293,  108,   66,   45,    6,   40,   19,    1,    8,    0,    0
"21","39041","Delaware", 16637,165,165,12729, 2529,  351,  471,  308,   70,  148,   15,    3,   13,    0,    0
"22","39043","Erie",  6442, 62, 62, 4824,  872,  240,  183,  127,   28,  116,   29,    5,   18,    0,    0
"23","39045","Fairfield",  8337,107,107, 6244, 1345,  257,  211,  122,   35,   81,   25,    3,   14,    0,    0
"24","39047","Fayette",   920, 25, 25,  661,  173,   41,   19,   11,    3,    5,    5,    1,    1,    0,    0
"25","39049","Franklin",117577,884,884,80219,26576, 2503, 4912, 1508,  333, 1052,  181,   58,  183,    0,   52
"26","39051","Fulton",  1874, 29, 29, 1428,  261,   44,   44,   43,    6,   22,   14,    2,    2,    0,    8
"27","39053","Gallia",  1059, 26, 26,  762,  185,   22,   37,   21,    7,   14,    5,    2,    4,    0,    0
"28","39055","Geauga",  6524, 78, 78, 4938,  920,  205,  176,  140,   24,   86,   11,    1,   11,    0,   12
"29","39057","Greene", 10467,146,146, 7406, 1945,  238,  420,  218,   54,  147,   19,    7,   13,    0,    0
"30","39059","Guernsey",  1852, 35, 35, 1409,  226,   72,   46,   33,    9,   31,   11,    2,   13,    0,    0
"31","39061","Hamilton", 77155,563,563,55956,13721, 1822, 3164,  987,  332,  788,  148,   86,  151,    0,    0
