"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.klobuchara","results.gabbardt","results.steyert","results.buttigiegp","results.bennetm","results.williamsonm","results.bookerc","results.yanga","results.patrickd","results.castroj"
"1","40001","Adair", 1129, 17, 17,  422,  233,  181,   99,   50,   36,   23,   20,   17,   16,   12,    9,    7,    4
"2","40003","Alfalfa",  202,  8,  8,   73,   31,   46,   24,    7,    4,    1,    6,    0,    2,    5,    2,    1,    0
"3","40005","Atoka",  804, 17, 17,  271,  117,  148,   70,   33,   45,   30,   23,   16,    7,   18,   13,    5,    8
"4","40007","Beaver",  118,  7,  7,   42,   13,   25,   12,    4,    5,    2,    6,    1,    2,    3,    0,    2,    1
"5","40009","Beckham",  928, 13, 13,  315,  163,  144,  115,   47,   38,   19,   17,    8,   12,   16,   20,    5,    9
"6","40011","Blaine",  589, 11, 11,  222,   98,  116,   63,   24,   22,    7,   16,    3,    6,    3,    5,    1,    3
"7","40013","Bryan", 2410, 22, 22,  901,  554,  389,  233,   71,   63,   48,   41,   31,   23,   10,   31,    5,   10
"8","40015","Caddo", 2119, 21, 21,  777,  434,  367,  202,  101,   57,   34,   43,   16,   19,   14,   29,   17,    9
"9","40017","Canadian", 9057, 50, 50, 3459, 2487, 1120, 1320,  168,  151,   39,  141,   42,   20,   21,   46,   21,   22
"10","40019","Carter", 2819, 25, 25, 1161,  506,  499,  241,   99,   63,   41,   65,   29,   32,   35,   26,   11,   11
"11","40021","Cherokee", 4317, 24, 24, 1469, 1188,  657,  446,  177,  101,   52,  104,   24,   23,   26,   28,   15,    7
"12","40023","Choctaw",  872, 17, 17,  323,  148,  129,   82,   37,   43,   18,   29,   14,    8,   14,   12,    6,    9
"13","40025","Cimarron",   87,  6,  6,   20,    8,   16,    5,    9,    6,    3,    3,    2,    1,    9,    2,    0,    3
"14","40027","Cleveland",29281, 84, 84, 9993, 9604, 2868, 5215,  420,  308,   93,  470,   44,   49,   54,  127,   16,   20
"15","40029","Coal",  400,  9,  9,  137,   72,   67,   37,   10,   32,   10,    6,    9,    3,    5,   10,    2,    0
"16","40031","Comanche", 6501, 40, 40, 2996, 1598,  843,  551,  101,   81,   48,  104,   21,   39,   30,   47,   27,   15
"17","40033","Cotton",  362,  9,  9,  128,   49,   75,   38,   15,    9,   12,   11,    2,    4,    4,    6,    6,    3
"18","40035","Craig", 1251, 12, 12,  458,  208,  202,  131,   65,   52,   27,   36,   12,    7,   12,   27,   10,    4
"19","40037","Creek", 4564, 35, 35, 1737,  981,  890,  499,  137,   96,   25,   82,   18,   27,   22,   29,   11,   10
"20","40039","Custer", 1584, 13, 13,  571,  392,  236,  207,   45,   43,    8,   29,   15,    9,    7,   12,    3,    7
"21","40041","Delaware", 2516, 22, 22, 1110,  377,  492,  209,   96,   60,   28,   51,   20,   12,   13,   26,   13,    9
"22","40043","Dewey",  265,  9,  9,   89,   32,   50,   41,   15,   10,    3,    7,    3,    1,    6,    3,    3,    2
"23","40045","Ellis",  182,  7,  7,   55,   23,   31,   34,    7,   11,    6,    6,    1,    4,    1,    0,    2,    1
"24","40047","Garfield", 3016, 30, 30, 1215,  638,  505,  385,   66,   47,   18,   70,   15,   12,   12,   16,    4,   13
"25","40049","Garvin", 1703, 17, 17,  635,  289,  292,  198,   89,   49,   23,   39,   19,   12,   15,   22,    9,   12
"26","40051","Grady", 3200, 28, 28, 1229,  625,  474,  423,  121,   81,   37,   71,   21,   31,   26,   33,   13,   15
"27","40053","Grant",  230,  7,  7,   98,   37,   34,   28,   12,    4,    5,    5,    0,    3,    2,    0,    2,    0
