"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt"
"1","41001","Baker",  1109, 13, 17,   823,   171,    64,    51
"2","41003","Benton", 16844, 19, 23, 10719,  3920,  1968,   237
"3","41005","Clackamas", 60330,113,117, 44439, 10144,  4510,  1237
"4","41007","Clatsop",  6234, 26, 33,  4541,  1159,   401,   133
"5","41009","Columbia",  6982, 26, 33,  5098,  1133,   485,   266
"6","41011","Coos",  7132, 13, 18,  5252,  1107,   504,   269
"7","41013","Crook",  1774, 12, 17,  1424,   183,    97,    70
"8","41015","Curry",  2762, 22, 27,  2175,   347,   169,    71
"9","41017","Deschutes", 25596, 44, 50, 19571,  3840,  1839,   346
"10","41019","Douglas",  8493, 21, 28,  6300,  1321,   563,   309
"11","41021","Gilliam",   149,  2,  3,   116,    19,     6,     8
"12","41023","Grant",   470,  3,  5,   322,    86,    44,    18
"13","41025","Harney",   467,  2,  3,   339,    52,    54,    22
"14","41027","Hood River",  3911, 11, 13,  2741,   755,   352,    63
"15","41029","Jackson", 27732, 40, 45, 19849,  5280,  2076,   527
"16","41031","Jefferson",  1677, 12, 15,  1359,   174,    97,    47
"17","41033","Josephine",  8002, 43, 47,  5981,  1433,   420,   168
"18","41035","Klamath",  4330, 34, 43,  3174,   681,   323,   152
"19","41037","Lake",   332, 15, 19,   239,    45,    29,    19
"20","41039","Lane", 62618, 75, 80, 41453, 14504,  5515,  1146
"21","41041","Lincoln",  8793, 29, 32,  6563,  1453,   595,   182
"22","41043","Linn", 11154, 72, 90,  7990,  2070,   767,   327
"23","41045","Malheur",  1020, 21, 24,   766,   162,    55,    37
"24","41047","Marion", 31674,101,123, 22971,  5689,  2339,   675
"25","41049","Morrow",   547,  4,  5,   380,   106,    33,    28
"26","41051","Multnomah",177149, 94,113,103742, 46474, 25013,  1920
"27","41053","Polk",  9460, 13, 16,  7014,  1583,   662,   201
"28","41055","Sherman",   143,  3,  5,   105,    14,    14,    10
"29","41057","Tillamook",  4041, 23, 29,  3080,   593,   278,    90
"30","41059","Umatilla",  3737, 43, 45,  2783,   597,   245,   112
"31","41061","Union",  2195, 15, 19,  1573,   363,   173,    86
"32","41063","Wallowa",   804, 10, 12,   607,   113,    68,    16
"33","41065","Wasco",  3003, 13, 14,  2140,   526,   222,   115
"34","41067","Washington", 81863,126,145, 57874, 15581,  7114,  1294
"35","41069","Wheeler",   115,  2,  3,    80,    23,     3,     9
"36","41071","Yamhill", 11319, 16, 22,  8149,  1985,   948,   237
