"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.gabbardt"
"1","42001","Adams",  7301,  50,  50,  5869,  1215,   217
"2","42003","Allegheny",214998,1323,1323,164447, 43751,  6800
"3","42005","Armstrong",  1956,  62,  62,  1272,   448,   236
"4","42007","Beaver",  7336, 129, 129,  5166,  1539,   631
"5","42009","Bedford",  2038,  40,  40,  1626,   319,    93
"6","42011","Berks", 37714, 202, 202, 29210,  7255,  1249
"7","42013","Blair",  2585,  93,  93,  1704,   690,   191
"8","42015","Bradford",  2259,  61,  61,  1740,   418,   101
"9","42017","Bucks", 39877, 306, 306, 31326,  7335,  1216
"10","42019","Butler", 15671,  89,  89, 12478,  2465,   728
"11","42021","Cambria", 12878, 125, 125,  9490,  2313,  1075
"12","42023","Cameron",   290,  10,  10,   204,    64,    22
"13","42025","Carbon",  1951,  51,  51,  1371,   435,   145
"14","42027","Centre",  4044,  90,  90,  2596,  1236,   212
"15","42029","Chester", 44436, 230, 232, 36730,  7028,   678
"16","42031","Clarion",  1033,  41,  41,   678,   231,   124
"17","42033","Clearfield",  5221,  70,  70,  3914,   924,   383
"18","42035","Clinton",  1070,  34,  34,   749,   232,    89
"19","42037","Columbia",  4517,  42,  42,  3367,   919,   231
"20","42039","Crawford",  3333,  68,  68,  2428,   714,   191
"21","42041","Cumberland",  6638, 118, 118,  4529,  1725,   384
"22","42043","Dauphin", 16662, 159, 159, 13036,  3170,   456
"23","42045","Delaware", 42386, 295, 429, 35139,  6712,   535
"24","42047","Elk",  2668,  29,  29,  1975,   475,   218
"25","42049","Erie", 14495, 149, 149, 10384,  3435,   676
"26","42051","Fayette", 10772,  77,  77,  8727,  1444,   601
"27","42053","Forest",   362,   9,   9,   313,    32,    17
"28","42055","Franklin",  2592,  73,  73,  1769,   647,   176
"29","42057","Fulton",   502,  13,  13,   387,    87,    28
"30","42059","Greene",  1207,  42,  42,   789,   294,   124
"31","42061","Huntingdon",  2289,  58,  58,  1726,   457,   106
"32","42063","Indiana",  6475,  69,  69,  5037,  1132,   306
"33","42065","Jefferson",  2170,  37,  37,  1633,   398,   139
"34","42067","Juniata",   466,  18,  18,   297,   111,    58
"35","42069","Lackawanna", 30252, 163, 163, 25016,  4121,  1115
"36","42071","Lancaster",  9138, 242, 242,  6186,  2604,   348
"37","42073","Lawrence",  7850,  75,  75,  6329,  1167,   354
"38","42075","Lebanon",  2429,  60,  60,  1684,   569,   176
"39","42077","Lehigh", 21616, 159, 159, 16596,  4432,   588
"40","42079","Luzerne", 32085, 186, 187, 25365,  5291,  1429
"41","42081","Lycoming",  6818,  81,  81,  5073,  1419,   326
"42","42083","McKean",   864,  42,  42,   599,   203,    62
"43","42085","Mercer",  3729,  90,  90,  2935,   658,   136
"44","42087","Mifflin",  1929,  26,  26,  1449,   351,   129
"45","42089","Monroe",  5317,  51,  51,  3944,  1209,   164
"46","42091","Montgomery", 52386, 431, 431, 40920, 10227,  1239
"47","42093","Montour",   559,  15,  15,   394,   114,    51
"48","42095","Northampton", 34817, 154, 154, 27624,  6265,   928
"49","42097","Northumberland",  5307,  74,  74,  4029,   984,   294
"50","42099","Perry",  2657,  31,  31,  1988,   513,   156
"51","42101","Philadelphia",143256,1696,1703,114919, 25361,  2976
"52","42103","Pike",  4401,  18,  18,  3603,   717,    81
"53","42105","Potter",   747,  32,  32,   588,   119,    40
"54","42107","Schuylkill",  9804, 125, 125,  7363,  1818,   623
"55","42109","Snyder",  1993,  25,  25,  1550,   370,    73
"56","42111","Somerset",  4552,  68,  68,  3483,   733,   336
"57","42113","Sullivan",   477,  15,  15,   378,    71,    28
"58","42115","Susquehanna",  2483,  41,  41,  1974,   403,   106
"59","42117","Tioga",   863,  41,  41,   605,   196,    62
"60","42119","Union",  2920,  27,  27,  2292,   564,    64
"61","42121","Venango",  3342,  44,  44,  2622,   538,   182
"62","42123","Warren",  2444,  33,  33,  2039,   334,    71
"63","42125","Washington", 10373, 180, 180,  7610,  1912,   851
"64","42127","Wayne",  3786,  36,  36,  2961,   705,   120
"65","42129","Westmoreland", 39351, 307, 307, 30948,  6214,  2189
"66","42131","Wyoming",  2036,  28,  28,  1610,   356,    70
"67","42133","York", 33339, 160, 160, 26529,  5792,  1018
