"","fips","name","votes","reporting","precincts","results.bidenj","results.steyert","results.sandersb","results.buttigiegp","results.warrene","results.klobuchara","results.gabbardt","results.bookerc","results.yanga","results.bennetm","results.delaneyj","results.patrickd"
"1","45001","Abbeville", 1957, 15, 15, 1129,  312,  286,   80,   60,   42,   26,    6,    6,    5,    3,    2
"2","45003","Aiken",15105, 84, 84, 6769, 1988, 3169, 1246, 1030,  607,  194,   20,   39,   29,    8,    6
"3","45005","Allendale",  947,  8,  8,  552,  241,  119,    9,   17,    2,    2,    2,    1,    2,    0,    0
"4","45007","Anderson",13302, 79, 79, 5564, 1808, 3124,  988,  984,  524,  230,   26,   34,    9,    8,    3
"5","45009","Bamberg", 1870, 13, 13, 1099,  387,  277,   26,   43,   19,    4,    5,    2,    5,    3,    0
"6","45011","Barnwell", 1791, 15, 15, 1068,  308,  274,   32,   49,   26,   13,    4,    0,    8,    5,    4
"7","45013","Beaufort",24623, 92, 92,11287, 3009, 3750, 3070, 1701, 1373,  290,   32,   46,   41,   13,   11
"8","45015","Berkeley",21542, 96, 96,10573, 2030, 4598, 1793, 1495,  527,  383,   27,   57,   31,   13,   15
"9","45017","Calhoun", 1867, 12, 12, 1118,  302,  288,   47,   42,   34,   25,    1,    1,    6,    2,    1
"10","45019","Charleston",63864,182,182,28292, 4734,12245, 8078, 6932, 2302, 1013,   51,  125,   50,   20,   22
"11","45021","Cherokee", 3171, 29, 29, 1812,  347,  673,  104,  106,   66,   38,    3,    5,   10,    5,    2
"12","45023","Chester", 3188, 21, 21, 2033,  223,  633,  102,   88,   58,   23,    5,    5,   12,    4,    2
"13","45025","Chesterfield", 2849, 25, 25, 1825,  225,  537,   90,   76,   44,   26,    2,   10,    7,    4,    3
"14","45027","Clarendon", 3933, 25, 25, 2694,  434,  487,   97,   83,   62,   36,    6,    3,   14,   12,    5
"15","45029","Colleton", 4013, 32, 32, 2318,  526,  679,  153,  174,   73,   64,    7,   10,    5,    3,    1
"16","45031","Darlington", 6924, 32, 32, 4231,  911, 1105,  287,  208,   86,   55,    7,   10,   13,    7,    4
"17","45033","Dillon", 2317, 19, 19, 1485,  319,  362,   39,   39,   38,    8,    5,    7,    8,    6,    1
"18","45035","Dorchester",16102, 81, 81, 7657, 1509, 3494, 1457, 1189,  403,  316,   16,   26,   20,    6,    9
"19","45037","Edgefield", 2375, 12, 12, 1327,  370,  419,   77,   89,   44,   20,    6,    9,    7,    6,    1
"20","45039","Fairfield", 3850, 22, 22, 2352,  773,  428,   84,   88,   47,   50,    8,    4,    8,    5,    3
"21","45041","Florence",14750, 63, 63, 8676, 1877, 2635,  569,  607,  221,   83,   17,   19,   23,   16,    7
"22","45043","Georgetown", 8934, 34, 34, 4776, 1018, 1574,  697,  376,  327,  114,   12,   15,   15,    5,    5
"23","45045","Greenville",54063,151,151,20628, 5769,13364, 5684, 5202, 2351,  830,   43,  114,   49,   11,   18
"24","45047","Greenwood", 5624, 50, 50, 2693, 1091, 1060,  278,  241,  165,   57,    6,    8,   10,    5,   10
"25","45049","Hampton", 2102, 18, 18, 1116,  541,  319,   33,   40,   18,   12,    5,    4,    7,    5,    2
"26","45051","Horry",30311,124,124,13281, 3841, 6757, 2877, 1724, 1269,  387,   27,   74,   38,   16,   20
