"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb"
"1","46003","Aurora",  142, 5, 5,  115,   27
"2","46005","Beadle",  889,10,10,  770,  119
"3","46007","Bennett",  176, 4, 4,  121,   55
"4","46009","Bon Homme",  352, 5, 5,  272,   80
"5","46011","Brookings", 1851, 8, 8, 1395,  456
"6","46013","Brown", 2446,12,12, 2024,  422
"7","46015","Brule",  294, 5, 5,  237,   57
"8","46017","Buffalo",   98, 3, 3,   59,   39
"9","46019","Butte",  353,16,16,  264,   89
"10","46021","Campbell",   37, 5, 5,   26,   11
"11","46023","Charles Mix",  488,13,13,  352,  136
"12","46025","Clark",  130,13,13,  111,   19
"13","46027","Clay", 1422, 7, 7, 1091,  331
"14","46029","Codington", 1304,16,16, 1097,  207
"15","46031","Corson",  223,14,14,  126,   97
"16","46033","Custer",  553,10,10,  461,   92
"17","46035","Davison", 1034, 6, 6,  839,  195
"18","46037","Day",  477,14,14,  416,   61
"19","46039","Deuel",  183,10,10,  145,   38
"20","46041","Dewey",  494,11,11,  301,  193
"21","46043","Douglas",   74, 5, 5,   64,   10
"22","46045","Edmunds",  205, 6, 6,  170,   35
"23","46047","Fall River",  415, 9, 9,  326,   89
"24","46049","Faulk",   80, 7, 7,   62,   18
"25","46051","Grant",  370,18,18,  307,   63
"26","46053","Gregory",  279, 3, 3,  215,   64
"27","46055","Haakon",   52, 6, 6,   39,   13
"28","46057","Hamlin",  213, 7, 7,  178,   35
"29","46059","Hand",  179,12,12,  151,   28
"30","46061","Hanson",  196, 5, 5,  157,   39
"31","46063","Harding",   29, 8, 8,   17,   12
"32","46065","Hughes",  906, 4, 4,  701,  205
"33","46067","Hutchinson",  253, 1, 1,  210,   43
"34","46069","Hyde",   53, 1, 1,   43,   10
"35","46071","Jackson",  112, 8, 8,   76,   36
"36","46073","Jerauld",  189, 5, 5,  162,   27
"37","46075","Jones",   53, 3, 3,   40,   13
"38","46077","Kingsbury",  265, 7, 7,  210,   55
"39","46079","Lake", 1023,10,10,  806,  217
"40","46081","Lawrence", 1720, 3, 3, 1305,  415
"41","46083","Lincoln", 3544,31,31, 2883,  661
"42","46085","Lyman",  186, 7, 7,  113,   73
"43","46091","Marshall",  536, 9, 9,  447,   89
"44","46087","McCook",  220, 6, 6,  177,   43
"45","46089","McPherson",  106, 6, 6,   78,   28
"46","46093","Meade", 1124,37,37,  916,  208
"47","46095","Mellette",  149, 4, 4,   93,   56
"48","46097","Miner",  151, 8, 8,  121,   30
"49","46099","Minnehaha",13191,71,71,10024, 3167
"50","46101","Moody",  382, 6, 6,  297,   85
"51","46102","Oglala Lakota",  710, 9, 9,  413,  297
"52","46103","Pennington", 6975,47,47, 5279, 1696
"53","46105","Perkins",  109,10,10,   83,   26
"54","46107","Potter",   69, 3, 3,   54,   15
"55","46109","Roberts",  901,12,12,  691,  210
"56","46111","Sanborn",   88, 4, 4,   73,   15
"57","46115","Spink",  338, 9, 9,  305,   33
"58","46117","Stanley",  138, 3, 3,  116,   22
"59","46119","Sully",   84, 4, 4,   67,   17
"60","46121","Todd",  790, 9, 9,  453,  337
"61","46123","Tripp",  202,13,13,  170,   32
"62","46125","Turner",  354, 8, 8,  283,   71
"63","46127","Union",  824,13,13,  677,  147
"64","46129","Walworth",  186,10,10,  145,   41
"65","46135","Yankton", 1475, 7, 7, 1246,  229
"66","46137","Ziebach",  206, 6, 6,  123,   83
