"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.gabbardt","results.steyert","results.bennetm","results.yanga","results.bookerc","results.castroj","results.williamsonm","results.patrickd","results.delaneyj","results.write_ins","results.uncommitted"
"1","47001","Anderson",  6084, 27, 27, 2221, 1699,  886,  702,  250,  209,   35,   25,   19,   15,    7,    2,    2,    1,    0,    0,   11
"2","47003","Bedford",  1849, 11, 11,  798,  446,  284,  130,   60,   65,   15,   18,    8,    5,    5,    1,    2,    2,    3,    6,    1
"3","47005","Benton",   816,  6,  6,  402,  160,  129,   41,   39,   21,    3,   10,    4,    3,    0,    0,    2,    0,    1,    0,    1
"4","47007","Bledsoe",   578, 12, 12,  311,  102,   85,   27,   17,   17,    5,    0,    2,    5,    1,    0,    0,    1,    0,    0,    5
"5","47009","Blount",  8333, 36, 36, 3168, 2238, 1295,  865,  391,  257,   45,   20,   11,   13,    9,    3,    5,    1,    2,    0,   10
"6","47011","Bradley",  4504, 17, 17, 1762, 1239,  706,  360,  174,  155,   29,   19,    8,   12,   11,    2,    1,    0,    4,   10,   12
"7","47013","Campbell",  1119, 20, 20,  525,  255,  205,   83,   15,   13,    3,    3,    3,    3,    4,    1,    0,    1,    2,    0,    3
"8","47015","Cannon",   674,  9,  9,  281,  182,  105,   55,   18,   20,    5,    3,    2,    1,    0,    0,    0,    1,    0,    0,    1
"9","47017","Carroll",  1051, 19, 19,  548,  220,  162,   49,   28,   16,    2,    7,   10,    1,    2,    2,    1,    0,    1,    0,    2
"10","47019","Carter",  2308, 23, 23,  823,  766,  344,  219,   72,   36,   13,    9,    4,    5,    1,    1,    0,    1,    7,    0,    7
"11","47021","Cheatham",  2671,  8,  8,  880,  759,  494,  304,  120,   70,   14,   13,    5,    2,    4,    1,    2,    0,    2,    0,    1
"12","47023","Chester",   597, 11, 11,  296,  139,   64,   53,   13,   12,    4,    6,    3,    2,    0,    0,    1,    1,    1,    2,    0
"13","47025","Claiborne",  1035, 17, 17,  444,  272,  166,   67,   24,   35,    6,    6,    3,    2,    1,    0,    2,    0,    1,    0,    6
"14","47027","Clay",   335,  7,  7,  149,   77,   65,   16,    8,   11,    1,    2,    2,    0,    1,    1,    0,    0,    1,    0,    1
"15","47029","Cocke",  1155, 17, 17,  445,  324,  209,   74,   43,   38,    2,    6,    2,    2,    4,    0,    1,    1,    3,    0,    1
"16","47031","Coffee",  2760, 23, 23, 1124,  671,  473,  196,  116,   83,   15,   14,    9,   14,    8,    5,   12,    1,    1,    5,   13
